Respuesta,Frecuencia,Asociación
4,3,0.018633540372670808
edad,3,0.018633540372670808
ciento,3,0.018633540372670808
soltero,3,0.018633540372670808
año,2,0.012422360248447204
relación_sexual,2,0.012422360248447204
sentir,2,0.012422360248447204
11,2,0.012422360248447204
mujer,2,0.012422360248447204
hombre,2,0.012422360248447204
p,2,0.012422360248447204
reportar,2,0.012422360248447204
n,2,0.012422360248447204
sexualidad,1,0.006211180124223602
estudiar,1,0.006211180124223602
seguir,1,0.006211180124223602
método,1,0.006211180124223602
perspectiva,1,0.006211180124223602
abordar,1,0.006211180124223602
humano,1,0.006211180124223602
contar,1,0.006211180124223602
permitir,1,0.006211180124223602
existir,1,0.006211180124223602
responder,1,0.006211180124223602
actual,1,0.006211180124223602
atender,1,0.006211180124223602
ingresar,1,0.006211180124223602
presentar,1,0.006211180124223602
estudio,1,0.006211180124223602
componer,1,0.006211180124223602
corresponder,1,0.006211180124223602
énfasis,1,0.006211180124223602
joven,1,0.006211180124223602
1,1,0.006211180124223602
utilizar,1,0.006211180124223602
establecer,1,0.006211180124223602
diversidad,1,0.006211180124223602
instituto,1,0.006211180124223602
cincar,1,0.006211180124223602
actividad_sexual,1,0.006211180124223602
dedicar,1,0.006211180124223602
relación,1,0.006211180124223602
familia,1,0.006211180124223602
pregunta,1,0.006211180124223602
emplear,1,0.006211180124223602
sistema,1,0.006211180124223602
activo,1,0.006211180124223602
vivir,1,0.006211180124223602
embarazo,1,0.006211180124223602
recibir,1,0.006211180124223602
devolver,1,0.006211180124223602
15,1,0.006211180124223602
gestación,1,0.006211180124223602
22,1,0.006211180124223602
21,1,0.006211180124223602
muestra,1,0.006211180124223602
23,1,0.006211180124223602
20,1,0.006211180124223602
14,1,0.006211180124223602
inicio,1,0.006211180124223602
preguntar,1,0.006211180124223602
exclusivamente,1,0.006211180124223602
deseo,1,0.006211180124223602
infección,1,0.006211180124223602
genital,1,0.006211180124223602
participar,1,0.006211180124223602
escolar,1,0.006211180124223602
aspecto,1,0.006211180124223602
fundamental,1,0.006211180124223602
padre,1,0.006211180124223602
hijo,1,0.006211180124223602
actualidad,1,0.006211180124223602
aceptar,1,0.006211180124223602
esperar,1,0.006211180124223602
sexualmente,1,0.006211180124223602
significado,1,0.006211180124223602
familiar,1,0.006211180124223602
tendencia,1,0.006211180124223602
diagnóstico,1,0.006211180124223602
16,1,0.006211180124223602
grado,1,0.006211180124223602
proporción,1,0.006211180124223602
cursar,1,0.006211180124223602
2003,1,0.006211180124223602
100,1,0.006211180124223602
sensación,1,0.006211180124223602
limitar,1,0.006211180124223602
planificación,1,0.006211180124223602
extremo,1,0.006211180124223602
vih,1,0.006211180124223602
reproducción,1,0.006211180124223602
alcanzar,1,0.006211180124223602
17,1,0.006211180124223602
madre,1,0.006211180124223602
restante,1,0.006211180124223602
comparación,1,0.006211180124223602
demanda,1,0.006211180124223602
declarar,1,0.006211180124223602
condón,1,0.006211180124223602
80,1,0.006211180124223602
pobre,1,0.006211180124223602
40,1,0.006211180124223602
proteger,1,0.006211180124223602
9,1,0.006211180124223602
25,1,0.006211180124223602
miembro,1,0.006211180124223602
24,1,0.006211180124223602
promedio,1,0.006211180124223602
paciente,1,0.006211180124223602
paridad,1,0.006211180124223602
0,1,0.006211180124223602
149,1,0.006211180124223602
389,1,0.006211180124223602
13,1,0.006211180124223602
docente,1,0.006211180124223602
hernández,1,0.006211180124223602
144,1,0.006211180124223602
73,1,0.006211180124223602
antigüedad,1,0.006211180124223602
doble,1,0.006211180124223602
plaza,1,0.006211180124223602
105,1,0.006211180124223602
n7,1,0.006211180124223602
433,1,0.006211180124223602
ascendente,1,0.006211180124223602
utilizándolo,1,0.006211180124223602
94,1,0.006211180124223602
31,1,0.006211180124223602
contestar,1,0.006211180124223602
satisfacer,1,0.006211180124223602
molesto,1,0.006211180124223602
hogar,1,0.006211180124223602
539,1,0.006211180124223602
profesionista,1,0.006211180124223602
matiz,1,0.006211180124223602
sociocultural,1,0.006211180124223602
peña,1,0.006211180124223602
intensión,1,0.006211180124223602
perfil,1,0.006211180124223602
definitivamente,1,0.006211180124223602
infectólogos,1,0.006211180124223602
inper,1,0.006211180124223602
seropositivo,1,0.006211180124223602
958,1,0.006211180124223602
