Respuesta,Frecuencia,Asociación
aborto,4,0.029411764705882353
embarazo,3,0.022058823529411766
píldora,3,0.022058823529411766
semana,3,0.022058823529411766
facilitar,2,0.014705882352941176
ciencia,2,0.014705882352941176
acceso,2,0.014705882352941176
1,2,0.014705882352941176
xx,2,0.014705882352941176
xix,2,0.014705882352941176
gobierno,2,0.014705882352941176
interrumpir,2,0.014705882352941176
xxi,2,0.014705882352941176
anticonceptivo,2,0.014705882352941176
condón,2,0.014705882352941176
diafragma,2,0.014705882352941176
ru486,2,0.014705882352941176
medicamento,2,0.014705882352941176
farmacológico,2,0.014705882352941176
artículo,1,0.007352941176470588
término,1,0.007352941176470588
pretender,1,0.007352941176470588
tema,1,0.007352941176470588
encontrar,1,0.007352941176470588
actual,1,0.007352941176470588
necesidad,1,0.007352941176470588
riesgo,1,0.007352941176470588
constituir,1,0.007352941176470588
plan,1,0.007352941176470588
acción,1,0.007352941176470588
voluntario,1,0.007352941176470588
estudio,1,0.007352941176470588
relevante,1,0.007352941176470588
contener,1,0.007352941176470588
pensar,1,0.007352941176470588
publicar,1,0.007352941176470588
búsqueda,1,0.007352941176470588
referente,1,0.007352941176470588
efectividad,1,0.007352941176470588
posterior,1,0.007352941176470588
decidir,1,0.007352941176470588
número,1,0.007352941176470588
cincar,1,0.007352941176470588
psicológico,1,0.007352941176470588
vía,1,0.007352941176470588
alto,1,0.007352941176470588
ejemplo,1,0.007352941176470588
mil,1,0.007352941176470588
manejo,1,0.007352941176470588
costo,1,0.007352941176470588
adolescente,1,0.007352941176470588
interrupción,1,0.007352941176470588
asistir,1,0.007352941176470588
gestación,1,0.007352941176470588
abortar,1,0.007352941176470588
siglo,1,0.007352941176470588
norma,1,0.007352941176470588
inglés,1,0.007352941176470588
mujer,1,0.007352941176470588
demostrar,1,0.007352941176470588
esperar,1,0.007352941176470588
unir,1,0.007352941176470588
reducir,1,0.007352941176470588
ginecólogo,1,0.007352941176470588
quirúrgico,1,0.007352941176470588
marcha,1,0.007352941176470588
sobrevolar,1,0.007352941176470588
legalmente,1,0.007352941176470588
política,1,0.007352941176470588
españa,1,0.007352941176470588
seguro,1,0.007352941176470588
plazo,1,0.007352941176470588
12,1,0.007352941176470588
visita,1,0.007352941176470588
90,1,0.007352941176470588
ru,1,0.007352941176470588
486,1,0.007352941176470588
empezar,1,0.007352941176470588
ocurrir,1,0.007352941176470588
especialmente,1,0.007352941176470588
latinoamérica,1,0.007352941176470588
postura,1,0.007352941176470588
distar,1,0.007352941176470588
ejemplificar,1,0.007352941176470588
precisamente,1,0.007352941176470588
vínculo,1,0.007352941176470588
cerrar,1,0.007352941176470588
veloz,1,0.007352941176470588
xviii,1,0.007352941176470588
95,1,0.007352941176470588
aborto_inducir,1,0.007352941176470588
exitoso,1,0.007352941176470588
mifepristona,1,0.007352941176470588
sustancia,1,0.007352941176470588
provocar,1,0.007352941176470588
bloquear,1,0.007352941176470588
progesterona,1,0.007352941176470588
dosis,1,0.007352941176470588
prostaglandina,1,0.007352941176470588
pista,1,0.007352941176470588
fundamentalista,1,0.007352941176470588
europa,1,0.007352941176470588
sustancial,1,0.007352941176470588
reino,1,0.007352941176470588
80,1,0.007352941176470588
británico,1,0.007352941176470588
piloto,1,0.007352941176470588
acortar,1,0.007352941176470588
secuela,1,0.007352941176470588
post,1,0.007352941176470588
castellano,1,0.007352941176470588
descriptor,1,0.007352941176470588
