Respuesta,Frecuencia,Asociación
mujer,102,0.021692896639727774
médico,38,0.008081667375584857
caso,37,0.007868991918332624
embarazo,35,0.007443641003828158
ley,32,0.006805614632071459
méxico,30,0.0063802637175669925
año,30,0.0063802637175669925
país,29,0.00616758826031476
salud,29,0.00616758826031476
deber,27,0.0057422373458102935
atención,24,0.005104210974053594
derecho,23,0.004891535516801361
público,22,0.004678860059549128
legal,20,0.004253509145044662
servicio,19,0.004040833687792429
necesidad,17,0.0036154827732879625
provocar,17,0.0036154827732879625
feminista,17,0.0036154827732879625
federal,17,0.0036154827732879625
adolescente,16,0.0034028073160357296
violación,16,0.0034028073160357296
problema,15,0.0031901318587834963
importante,15,0.0031901318587834963
debate,15,0.0031901318587834963
educación,14,0.0029774564015312634
practicar,14,0.0029774564015312634
existir,13,0.00276478094427903
1,13,0.00276478094427903
abortar,13,0.00276478094427903
decisión,13,0.00276478094427903
grave,13,0.00276478094427903
mayoría,12,0.002552105487026797
riesgo,12,0.002552105487026797
relacionar,12,0.002552105487026797
implicar,12,0.002552105487026797
decidir,12,0.002552105487026797
ofrecer,12,0.002552105487026797
reforma,12,0.002552105487026797
católico,12,0.002552105487026797
garantizar,12,0.002552105487026797
medicina,11,0.002339430029774564
incluir,11,0.002339430029774564
práctica,11,0.002339430029774564
vida,11,0.002339430029774564
hijo,11,0.002339430029774564
interrumpir,11,0.002339430029774564
quedar,11,0.002339430029774564
hospital,11,0.002339430029774564
sexual,10,0.002126754572522331
interrupción,10,0.002126754572522331
muerte,10,0.002126754572522331
causa,10,0.002126754572522331
frente,10,0.002126754572522331
distrito,10,0.002126754572522331
proceso,9,0.0019140791152700979
desarrollo,9,0.0019140791152700979
estudio,9,0.0019140791152700979
acceso,9,0.0019140791152700979
joven,9,0.0019140791152700979
ejemplo,9,0.0019140791152700979
consecuencia,9,0.0019140791152700979
calidad,9,0.0019140791152700979
latinoamericano,9,0.0019140791152700979
latino,9,0.0019140791152700979
circunstancia,9,0.0019140791152700979
tema,8,0.0017014036580178648
encontrar,8,0.0017014036580178648
social,8,0.0017014036580178648
permitir,8,0.0017014036580178648
ámbito,8,0.0017014036580178648
acción,8,0.0017014036580178648
distinto,8,0.0017014036580178648
incorporar,8,0.0017014036580178648
desear,8,0.0017014036580178648
resultado,8,0.0017014036580178648
madre,8,0.0017014036580178648
seguro,8,0.0017014036580178648
semana,8,0.0017014036580178648
embarazar,8,0.0017014036580178648
procedimiento,8,0.0017014036580178648
política,8,0.0017014036580178648
