Respuesta,Frecuencia,Asociación
relación_sexual,3,0.02727272727272727
físico,2,0.01818181818181818
suceder,2,0.01818181818181818
caricia,2,0.01818181818181818
beso,2,0.01818181818181818
trabajador_sexual,2,0.01818181818181818
seguir,1,0.00909090909090909
palabra,1,0.00909090909090909
encontrar,1,0.00909090909090909
permitir,1,0.00909090909090909
estructurar,1,0.00909090909090909
responder,1,0.00909090909090909
tender,1,0.00909090909090909
acción,1,0.00909090909090909
ingeniería,1,0.00909090909090909
año,1,0.00909090909090909
cualquiera,1,0.00909090909090909
énfasis,1,0.00909090909090909
tipo,1,0.00909090909090909
estudiante,1,0.00909090909090909
preparatorio,1,0.00909090909090909
límite,1,0.00909090909090909
tomar,1,0.00909090909090909
cuerpo,1,0.00909090909090909
orgasmo,1,0.00909090909090909
anal,1,0.00909090909090909
placer,1,0.00909090909090909
atracción,1,0.00909090909090909
pareja,1,0.00909090909090909
función,1,0.00909090909090909
edad,1,0.00909090909090909
persona,1,0.00909090909090909
facilidad,1,0.00909090909090909
acercamiento,1,0.00909090909090909
sentir,1,0.00909090909090909
mano,1,0.00909090909090909
adolescente,1,0.00909090909090909
conducta,1,0.00909090909090909
imagen,1,0.00909090909090909
fruto,1,0.00909090909090909
convertir,1,0.00909090909090909
15,1,0.00909090909090909
11,1,0.00909090909090909
afectivo,1,0.00909090909090909
preguntar,1,0.00909090909090909
practicar,1,0.00909090909090909
rechazar,1,0.00909090909090909
deseo,1,0.00909090909090909
vida,1,0.00909090909090909
fantasía,1,0.00909090909090909
demostrar,1,0.00909090909090909
manifestar,1,0.00909090909090909
excepción,1,0.00909090909090909
participar,1,0.00909090909090909
mitad,1,0.00909090909090909
detener,1,0.00909090909090909
experimentar,1,0.00909090909090909
erótico,1,0.00909090909090909
especial,1,0.00909090909090909
amor,1,0.00909090909090909
penetración,1,0.00909090909090909
afirmar,1,0.00909090909090909
personal,1,0.00909090909090909
mirada,1,0.00909090909090909
remitir,1,0.00909090909090909
aprobar,1,0.00909090909090909
preocupar,1,0.00909090909090909
imaginar,1,0.00909090909090909
piel,1,0.00909090909090909
contacto,1,0.00909090909090909
19,1,0.00909090909090909
frecuencia,1,0.00909090909090909
x,1,0.00909090909090909
ideal,1,0.00909090909090909
emotivo,1,0.00909090909090909
erotismo,1,0.00909090909090909
afecto,1,0.00909090909090909
alerta,1,0.00909090909090909
fantasma,1,0.00909090909090909
atravesar,1,0.00909090909090909
visibilidad,1,0.00909090909090909
amante,1,0.00909090909090909
recuerdo,1,0.00909090909090909
dulce,1,0.00909090909090909
noviazgo,1,0.00909090909090909
computación,1,0.00909090909090909
ocasionalmente,1,0.00909090909090909
incluyéndolas,1,0.00909090909090909
usual,1,0.00909090909090909
delvoye,1,0.00909090909090909
rayo,1,0.00909090909090909
danza,1,0.00909090909090909
mortuorio,1,0.00909090909090909
transparente,1,0.00909090909090909
esqueleto,1,0.00909090909090909
comprándole,1,0.00909090909090909
refresco,1,0.00909090909090909
parque,1,0.00909090909090909
ligero,1,0.00909090909090909
policía,1,0.00909090909090909
coterráneo,1,0.00909090909090909
lugareño,1,0.00909090909090909
turista,1,0.00909090909090909
