Respuesta,Frecuencia,Asociación
sexual,23,0.018837018837018837
violencia,23,0.018837018837018837
estudio,14,0.011466011466011465
adulto,14,0.011466011466011465
mujer,12,0.009828009828009828
encontrar,11,0.009009009009009009
vida,10,0.00819000819000819
edad,10,0.00819000819000819
niñez,9,0.007371007371007371
niño,8,0.006552006552006552
relación,8,0.006552006552006552
social,7,0.005733005733005733
persona,7,0.005733005733005733
violación,7,0.005733005733005733
año,6,0.004914004914004914
pareja,6,0.004914004914004914
físico,6,0.004914004914004914
sufrir,6,0.004914004914004914
adolescente,6,0.004914004914004914
referir,6,0.004914004914004914
presente,5,0.004095004095004095
tipo,5,0.004095004095004095
frecuente,5,0.004095004095004095
problema,4,0.003276003276003276
diverso,4,0.003276003276003276
actual,4,0.003276003276003276
contexto,4,0.003276003276003276
mostrar,4,0.003276003276003276
posibilidad,4,0.003276003276003276
víctima,4,0.003276003276003276
15,4,0.003276003276003276
proteger,4,0.003276003276003276
derecho,4,0.003276003276003276
proceso,3,0.002457002457002457
existir,3,0.002457002457002457
salud,3,0.002457002457002457
investigación,3,0.002457002457002457
cualquiera,3,0.002457002457002457
acceso,3,0.002457002457002457
1,3,0.002457002457002457
idea,3,0.002457002457002457
asociación,3,0.002457002457002457
caso,3,0.002457002457002457
16,3,0.002457002457002457
imponer,3,0.002457002457002457
hombre,3,0.002457002457002457
medida,3,0.002457002457002457
experimentar,3,0.002457002457002457
vulnerabilidad,3,0.002457002457002457
familiar,3,0.002457002457002457
revisar,3,0.002457002457002457
porcentaje,3,0.002457002457002457
ilegal,3,0.002457002457002457
incesto,3,0.002457002457002457
experiencia,3,0.002457002457002457
embarazo,3,0.002457002457002457
desear,3,0.002457002457002457
prostitución,3,0.002457002457002457
positivo,3,0.002457002457002457
sexualidad,2,0.001638001638001638
etcétera,2,0.001638001638001638
tratar,2,0.001638001638001638
resolver,2,0.001638001638001638
humano,2,0.001638001638001638
país,2,0.001638001638001638
deber,2,0.001638001638001638
información,2,0.001638001638001638
ejercicio,2,0.001638001638001638
educación,2,0.001638001638001638
forma,2,0.001638001638001638
riesgo,2,0.001638001638001638
constituir,2,0.001638001638001638
acción,2,0.001638001638001638
representativo,2,0.001638001638001638
presentar,2,0.001638001638001638
grupo,2,0.001638001638001638
etapa,2,0.001638001638001638
objetivo,2,0.001638001638001638
principal,2,0.001638001638001638
español,2,0.001638001638001638
3,2,0.001638001638001638
4,2,0.001638001638001638
indicar,2,0.001638001638001638
derivar,2,0.001638001638001638
distinto,2,0.001638001638001638
psicológico,2,0.001638001638001638
incluir,2,0.001638001638001638
masculino,2,0.001638001638001638
desarrollar,2,0.001638001638001638
