Respuesta,Frecuencia,Asociación
mujer,21,0.01390728476821192
año,16,0.010596026490066225
hombre,15,0.009933774834437087
edad,13,0.008609271523178808
sexualidad,12,0.007947019867549669
sexual,10,0.006622516556291391
porcentaje,9,0.005960264900662252
soltero,8,0.005298013245033113
relación,7,0.004635761589403974
pasivo,7,0.004635761589403974
población,6,0.003973509933774834
mostrar,6,0.003973509933774834
considerar,6,0.003973509933774834
encuesta,6,0.003973509933774834
p,6,0.003973509933774834
método,5,0.0033112582781456954
vivir,5,0.0033112582781456954
proporción,5,0.0033112582781456954
social,4,0.0026490066225165563
deber,4,0.0026490066225165563
grupo,4,0.0026490066225165563
papel,4,0.0026490066225165563
1,4,0.0026490066225165563
integrar,4,0.0026490066225165563
región,4,0.0026490066225165563
diferencia,4,0.0026490066225165563
actividad,4,0.0026490066225165563
cambio,4,0.0026490066225165563
actitud,4,0.0026490066225165563
ejercer,4,0.0026490066225165563
sexualmente,4,0.0026490066225165563
0,4,0.0026490066225165563
principio,3,0.001986754966887417
contar,3,0.001986754966887417
información,3,0.001986754966887417
necesidad,3,0.001986754966887417
educación,3,0.001986754966887417
riesgo,3,0.001986754966887417
2000,3,0.001986754966887417
mencionar,3,0.001986754966887417
estudio,3,0.001986754966887417
abrir,3,0.001986754966887417
dato,3,0.001986754966887417
obra,3,0.001986754966887417
implicar,3,0.001986754966887417
3,3,0.001986754966887417
adoptar,3,0.001986754966887417
número,3,0.001986754966887417
exponer,3,0.001986754966887417
variar,3,0.001986754966887417
evitar,3,0.001986754966887417
actividad_sexual,3,0.001986754966887417
relación_sexual,3,0.001986754966887417
femenino,3,0.001986754966887417
comportamiento,3,0.001986754966887417
familia,3,0.001986754966887417
posibilidad,3,0.001986754966887417
persona,3,0.001986754966887417
do,3,0.001986754966887417
expresar,3,0.001986754966887417
deseo,3,0.001986754966887417
creador,3,0.001986754966887417
actor,3,0.001986754966887417
observar,3,0.001986754966887417
casar,3,0.001986754966887417
américa,3,0.001986754966887417
latino,3,0.001986754966887417
minoría,3,0.001986754966887417
paciente,3,0.001986754966887417
físico,3,0.001986754966887417
anticonceptivo,3,0.001986754966887417
vida,3,0.001986754966887417
masculinidad,3,0.001986754966887417
distinción,3,0.001986754966887417
permanecer,3,0.001986754966887417
sonoro,3,0.001986754966887417
1995,3,0.001986754966887417
básico,2,0.0013245033112582781
área,2,0.0013245033112582781
proceso,2,0.0013245033112582781
tratar,2,0.0013245033112582781
intentar,2,0.0013245033112582781
