Respuesta,Frecuencia,Asociación
sexual,18,0.011036174126302882
infancia,18,0.011036174126302882
año,15,0.009196811771919068
adolescente,12,0.007357449417535254
edad,11,0.00674432863274065
relación,10,0.0061312078479460455
vida,10,0.0061312078479460455
sexualidad,9,0.005518087063151441
desarrollo,9,0.005518087063151441
etapa,9,0.005518087063151441
social,7,0.004291845493562232
embarazo,7,0.004291845493562232
conducta,7,0.004291845493562232
sexo,7,0.004291845493562232
relacionar,6,0.003678724708767627
niño,6,0.003678724708767627
iniciar,6,0.003678724708767627
encontrar,5,0.0030656039239730227
salud,5,0.0030656039239730227
fase,5,0.0030656039239730227
práctica,5,0.0030656039239730227
padre,5,0.0030656039239730227
hijo,5,0.0030656039239730227
pubertad,5,0.0030656039239730227
frecuencia,5,0.0030656039239730227
trabajo,4,0.002452483139178418
proceso,4,0.002452483139178418
permitir,4,0.002452483139178418
deber,4,0.002452483139178418
información,4,0.002452483139178418
momento,4,0.002452483139178418
2,4,0.002452483139178418
importante,4,0.002452483139178418
definir,4,0.002452483139178418
joven,4,0.002452483139178418
adulto,4,0.002452483139178418
género,4,0.002452483139178418
cuerpo,4,0.002452483139178418
aprender,4,0.002452483139178418
menor,4,0.002452483139178418
ocurrir,4,0.002452483139178418
niñez,4,0.002452483139178418
mujer,4,0.002452483139178418
20,4,0.002452483139178418
interés,4,0.002452483139178418
derecho,4,0.002452483139178418
problema,3,0.0018393623543838135
humano,3,0.0018393623543838135
existir,3,0.0018393623543838135
forma,3,0.0018393623543838135
factor,3,0.0018393623543838135
organización,3,0.0018393623543838135
fuente,3,0.0018393623543838135
necesitar,3,0.0018393623543838135
contexto,3,0.0018393623543838135
obtener,3,0.0018393623543838135
mostrar,3,0.0018393623543838135
1,3,0.0018393623543838135
rasgo,3,0.0018393623543838135
caso,3,0.0018393623543838135
cumplir,3,0.0018393623543838135
influir,3,0.0018393623543838135
objeto,3,0.0018393623543838135
psicológico,3,0.0018393623543838135
relación_sexual,3,0.0018393623543838135
sujeto,3,0.0018393623543838135
femenino,3,0.0018393623543838135
psicosocial,3,0.0018393623543838135
individuo,3,0.0018393623543838135
escuela,3,0.0018393623543838135
familia,3,0.0018393623543838135
persona,3,0.0018393623543838135
fenómeno,3,0.0018393623543838135
do,3,0.0018393623543838135
resultado,3,0.0018393623543838135
profundizar,3,0.0018393623543838135
torno,3,0.0018393623543838135
afectivosexuales,3,0.0018393623543838135
afectivo,3,0.0018393623543838135
asociar,3,0.0018393623543838135
aparecer,3,0.0018393623543838135
familiar,3,0.0018393623543838135
amigo,3,0.0018393623543838135
1998,3,0.0018393623543838135
hombre,3,0.0018393623543838135
corroborar,3,0.0018393623543838135
cronológico,3,0.0018393623543838135
fundamental,3,0.0018393623543838135
reproductividad,3,0.0018393623543838135
funcionar,3,0.0018393623543838135
conflicto,3,0.0018393623543838135
preparar,3,0.0018393623543838135
infantil,3,0.0018393623543838135
cerca,3,0.0018393623543838135
mitad,3,0.0018393623543838135
integral,3,0.0018393623543838135
atención,3,0.0018393623543838135
confidencialidad,3,0.0018393623543838135
culminación,3,0.0018393623543838135
establecimiento,3,0.0018393623543838135
ley,3,0.0018393623543838135
homosexualidad,3,0.0018393623543838135
trastorno,3,0.0018393623543838135
término,2,0.001226241569589209
etcétera,2,0.001226241569589209
diverso,2,0.001226241569589209
cultural,2,0.001226241569589209
construcción,2,0.001226241569589209
conocimiento,2,0.001226241569589209
acercar,2,0.001226241569589209
especialista,2,0.001226241569589209
general,2,0.001226241569589209
necesario,2,0.001226241569589209
mayoría,2,0.001226241569589209
actual,2,0.001226241569589209
suponer,2,0.001226241569589209
necesidad,2,0.001226241569589209
programa,2,0.001226241569589209
educación_sexual,2,0.001226241569589209
impartir,2,0.001226241569589209
riesgo,2,0.001226241569589209
mundial,2,0.001226241569589209
2000,2,0.001226241569589209
presentar,2,0.001226241569589209
tarea,2,0.001226241569589209
estudio,2,0.001226241569589209
cualquiera,2,0.001226241569589209
producto,2,0.001226241569589209
objetivo,2,0.001226241569589209
corresponder,2,0.001226241569589209
carácter,2,0.001226241569589209
pensar,2,0.001226241569589209
tipo,2,0.001226241569589209
estudiante,2,0.001226241569589209
secundario,2,0.001226241569589209
punto,2,0.001226241569589209
descartar,2,0.001226241569589209
parámetro,2,0.001226241569589209
autor,2,0.001226241569589209
albergar,2,0.001226241569589209
3,2,0.001226241569589209
modificar,2,0.001226241569589209
adoptar,2,0.001226241569589209
pasar,2,0.001226241569589209
complicar,2,0.001226241569589209
establecer,2,0.001226241569589209
tomar,2,0.001226241569589209
querer,2,0.001226241569589209
comprender,2,0.001226241569589209
distinto,2,0.001226241569589209
expresión,2,0.001226241569589209
cuestión,2,0.001226241569589209
orgasmo,2,0.001226241569589209
fantasía_sexual,2,0.001226241569589209
placer,2,0.001226241569589209
identidad,2,0.001226241569589209
masculino,2,0.001226241569589209
desarrollar,2,0.001226241569589209
enfermedad,2,0.001226241569589209
transmisión,2,0.001226241569589209
prevención,2,0.001226241569589209
pareja,2,0.001226241569589209
opción,2,0.001226241569589209
reconocer,2,0.001226241569589209
educativo,2,0.001226241569589209
característica,2,0.001226241569589209
peso,2,0.001226241569589209
ejemplo,2,0.001226241569589209
porcentaje,2,0.001226241569589209
significar,2,0.001226241569589209
frecuente,2,0.001226241569589209
determinar,2,0.001226241569589209
variable,2,0.001226241569589209
valor,2,0.001226241569589209
consecuencia,2,0.001226241569589209
asimismo,2,0.001226241569589209
recordar,2,0.001226241569589209
sistema,2,0.001226241569589209
futuro,2,0.001226241569589209
mil,2,0.001226241569589209
cambio,2,0.001226241569589209
mensaje,2,0.001226241569589209
cualitativo,2,0.001226241569589209
actitud,2,0.001226241569589209
hipótesis,2,0.001226241569589209
producir,2,0.001226241569589209
freud,2,0.001226241569589209
considerar,2,0.001226241569589209
múltiple,2,0.001226241569589209
físico,2,0.001226241569589209
ciclo,2,0.001226241569589209
juventud,2,0.001226241569589209
unir,2,0.001226241569589209
prolongar,2,0.001226241569589209
dificultad,2,0.001226241569589209
psicobiológico,2,0.001226241569589209
liberación,2,0.001226241569589209
diagnóstico,2,0.001226241569589209
concreto,2,0.001226241569589209
moral,2,0.001226241569589209
reproducción,2,0.001226241569589209
margaret,2,0.001226241569589209
mear,2,0.001226241569589209
samoano,2,0.001226241569589209
envejecimiento,2,0.001226241569589209
prematuro,2,0.001226241569589209
historia,2,0.001226241569589209
indagar,2,0.001226241569589209
personal,2,0.001226241569589209
escuchar,2,0.001226241569589209
causa,2,0.001226241569589209
13,2,0.001226241569589209
30,2,0.001226241569589209
29,2,0.001226241569589209
adquirir,2,0.001226241569589209
virus,2,0.001226241569589209
determinante,2,0.001226241569589209
transformación,2,0.001226241569589209
planear,2,0.001226241569589209
19,2,0.001226241569589209
sentimiento,2,0.001226241569589209
natural,2,0.001226241569589209
inseguridad,2,0.001226241569589209
varón,2,0.001226241569589209
susceptible,2,0.001226241569589209
exaltar,2,0.001226241569589209
supremo,2,0.001226241569589209
período,2,0.001226241569589209
actualidad,2,0.001226241569589209
físicamente,2,0.001226241569589209
psicopatológico,2,0.001226241569589209
desintegración,2,0.001226241569589209
evolutivo,2,0.001226241569589209
tardío,2,0.001226241569589209
17,2,0.001226241569589209
acto_sexual,2,0.001226241569589209
gl,2,0.001226241569589209
44,2,0.001226241569589209
p,2,0.001226241569589209
0,2,0.001226241569589209
positivo,2,0.001226241569589209
constitución,2,0.001226241569589209
empíricamente,2,0.001226241569589209
salto,2,0.001226241569589209
externo,2,0.001226241569589209
oponer,2,0.001226241569589209
quiroga,2,0.001226241569589209
duelo,2,0.001226241569589209
subetapa,2,0.001226241569589209
infección,2,0.001226241569589209
curiosidad,2,0.001226241569589209
preocupación,2,0.001226241569589209
oportuno,2,0.001226241569589209
adecuadamente,2,0.001226241569589209
evaluación,2,0.001226241569589209
pensamiento,2,0.001226241569589209
transición,2,0.001226241569589209
1995,2,0.001226241569589209
oportunamente,2,0.001226241569589209
confrontar,2,0.001226241569589209
básicamente,2,0.001226241569589209
canalizar,2,0.001226241569589209
genético,2,0.001226241569589209
hormonal,2,0.001226241569589209
identidad_de_género,2,0.001226241569589209
autoerotismo,2,0.001226241569589209
cuarto,2,0.001226241569589209
repercusión,2,0.001226241569589209
abiertamente,2,0.001226241569589209
enamoramiento,2,0.001226241569589209
40,2,0.001226241569589209
durar,2,0.001226241569589209
hallazgo,2,0.001226241569589209
muestra,2,0.001226241569589209
carencia,2,0.001226241569589209
embarazo_adolescente,2,0.001226241569589209
lógico,2,0.001226241569589209
16,2,0.001226241569589209
toma,2,0.001226241569589209
decisión,2,0.001226241569589209
hipotálamohipófisisgónadas,2,0.001226241569589209
normalizar,2,0.001226241569589209
regularidad,2,0.001226241569589209
violencia,2,0.001226241569589209
calidad,2,0.001226241569589209
paso,2,0.001226241569589209
claramente,2,0.001226241569589209
deseo,2,0.001226241569589209
excitar,2,0.001226241569589209
iniciación,2,0.001226241569589209
garantizar,2,0.001226241569589209
código,2,0.001226241569589209
nacer,2,0.001226241569589209
grave,2,0.001226241569589209
homosexual,2,0.001226241569589209
heterosexual,2,0.001226241569589209
ninez,2,0.001226241569589209
efectuar,2,0.001226241569589209
circuncisión,2,0.001226241569589209
ritual,2,0.001226241569589209
grecia,2,0.001226241569589209
tolerar,2,0.001226241569589209
púber,2,0.001226241569589209
artículo,1,0.0006131207847946045
proponer,1,0.0006131207847946045
área,1,0.0006131207847946045
méxico,1,0.0006131207847946045
pretender,1,0.0006131207847946045
seguir,1,0.0006131207847946045
base,1,0.0006131207847946045
orientar,1,0.0006131207847946045
basar,1,0.0006131207847946045
resolver,1,0.0006131207847946045
definición,1,0.0006131207847946045
específico,1,0.0006131207847946045
introducción,1,0.0006131207847946045
tema,1,0.0006131207847946045
principio,1,0.0006131207847946045
elemento,1,0.0006131207847946045
país,1,0.0006131207847946045
contar,1,0.0006131207847946045
recurso,1,0.0006131207847946045
facilitar,1,0.0006131207847946045
concepto,1,0.0006131207847946045
común,1,0.0006131207847946045
comunicación,1,0.0006131207847946045
existente,1,0.0006131207847946045
contemplar,1,0.0006131207847946045
impacto,1,0.0006131207847946045
ejercicio,1,0.0006131207847946045
principalmente,1,0.0006131207847946045
conjunto,1,0.0006131207847946045
particular,1,0.0006131207847946045
mexicano,1,0.0006131207847946045
educación,1,0.0006131207847946045
especializar,1,0.0006131207847946045
ingresar,1,0.0006131207847946045
ámbito,1,0.0006131207847946045
acción,1,0.0006131207847946045
herramienta,1,0.0006131207847946045
disponible,1,0.0006131207847946045
mencionar,1,0.0006131207847946045
investigación,1,0.0006131207847946045
grupo,1,0.0006131207847946045
2004,1,0.0006131207847946045
nacional,1,0.0006131207847946045
ciencia,1,0.0006131207847946045
cabo,1,0.0006131207847946045
finalidad,1,0.0006131207847946045
crear,1,0.0006131207847946045
modelo,1,0.0006131207847946045
interacción,1,0.0006131207847946045
esquema,1,0.0006131207847946045
relevante,1,0.0006131207847946045
dirigir,1,0.0006131207847946045
