Respuesta,Frecuencia,Asociación
sexual,58,0.010537790697674418
derecho,54,0.009811046511627907
mujer,49,0.008902616279069768
año,45,0.008175872093023256
embarazo,42,0.007630813953488372
salud,37,0.006722383720930232
sexualidad,36,0.006540697674418605
deber,33,0.005995639534883721
edad,32,0.005813953488372093
información,31,0.005632267441860465
reproductivo,27,0.0049055232558139535
protección,25,0.004542151162790698
ley,24,0.00436046511627907
educación_sexual,23,0.0041787790697674415
niño,22,0.003997093023255814
sexo,22,0.003997093023255814
población,21,0.003815406976744186
familiar,21,0.003815406976744186
1,20,0.003633720930232558
relación_sexual,20,0.003633720930232558
educación,19,0.0034520348837209303
género,19,0.0034520348837209303
relación,19,0.0034520348837209303
conducta,19,0.0034520348837209303
considerar,19,0.0034520348837209303
padre,19,0.0034520348837209303
programa,18,0.0032703488372093025
existir,17,0.0030886627906976743
investigación,17,0.0030886627906976743
caso,17,0.0030886627906976743
desear,17,0.0030886627906976743
vida,17,0.0030886627906976743
artículo,16,0.0029069767441860465
encontrar,16,0.0029069767441860465
riesgo,16,0.0029069767441860465
grupo,16,0.0029069767441860465
desarrollo,16,0.0029069767441860465
joven,16,0.0029069767441860465
aborto,16,0.0029069767441860465
hombre,16,0.0029069767441860465
estudio,15,0.0027252906976744187
educativo,15,0.0027252906976744187
menor,15,0.0027252906976744187
muestra,15,0.0027252906976744187
presentar,14,0.002543604651162791
transmisión,14,0.002543604651162791
resultado,14,0.002543604651162791
inicio,14,0.002543604651162791
tema,13,0.0023619186046511626
tipo,13,0.0023619186046511626
prevención,13,0.0023619186046511626
vivir,13,0.0023619186046511626
práctica,13,0.0023619186046511626
méxico,12,0.002180232558139535
problema,12,0.002180232558139535
social,12,0.002180232558139535
conocimiento,12,0.002180232558139535
general,12,0.002180232558139535
mostrar,12,0.002180232558139535
adolescencia,12,0.002180232558139535
método_anticonceptivo,12,0.002180232558139535
infección,12,0.002180232558139535
vida_sexual,12,0.002180232558139535
método,11,0.001998546511627907
modelo,11,0.001998546511627907
dato,11,0.001998546511627907
valor,11,0.001998546511627907
condón,11,0.001998546511627907
profesional,11,0.001998546511627907
acercar,10,0.001816860465116279
necesario,10,0.001816860465116279
informar,10,0.001816860465116279
salud_sexual,10,0.001816860465116279
adulto,10,0.001816860465116279
obtener,10,0.001816860465116279
construir,10,0.001816860465116279
realidad,10,0.001816860465116279
incluir,10,0.001816860465116279
proceso,9,0.0016351744186046512
país,9,0.0016351744186046512
importante,9,0.0016351744186046512
número,9,0.0016351744186046512
establecer,9,0.0016351744186046512
nivel,9,0.0016351744186046512
pareja,9,0.0016351744186046512
medida,9,0.0016351744186046512
situación,9,0.0016351744186046512
médico,9,0.0016351744186046512
19,9,0.0016351744186046512
madre,9,0.0016351744186046512
trabajo,8,0.0014534883720930232
área,8,0.0014534883720930232
humano,8,0.0014534883720930232
construcción,8,0.0014534883720930232
contar,8,0.0014534883720930232
necesidad,8,0.0014534883720930232
2000,8,0.0014534883720930232
objetivo,8,0.0014534883720930232
papel,8,0.0014534883720930232
utilizar,8,0.0014534883720930232
tomar,8,0.0014534883720930232
comportamiento_sexual,8,0.0014534883720930232
diferencia,8,0.0014534883720930232
15,8,0.0014534883720930232
iniciar,8,0.0014534883720930232
consentimiento,8,0.0014534883720930232
its,8,0.0014534883720930232
indagar,8,0.0014534883720930232
integral,8,0.0014534883720930232
vihsida,8,0.0014534883720930232
tratar,7,0.0012718023255813954
permitir,7,0.0012718023255813954
2,7,0.0012718023255813954
dirigir,7,0.0012718023255813954
requerir,7,0.0012718023255813954
presente,7,0.0012718023255813954
pensar,7,0.0012718023255813954
adecuar,7,0.0012718023255813954
objeto,7,0.0012718023255813954
sujeto,7,0.0012718023255813954
estereotipo,7,0.0012718023255813954
tiempo,7,0.0012718023255813954
servicio,7,0.0012718023255813954
pregunta,7,0.0012718023255813954
persona,7,0.0012718023255813954
condición,7,0.0012718023255813954
variable,7,0.0012718023255813954
encuesta,7,0.0012718023255813954
abortar,7,0.0012718023255813954
20,7,0.0012718023255813954
14,7,0.0012718023255813954
aspecto,7,0.0012718023255813954
norma,7,0.0012718023255813954
hijo,7,0.0012718023255813954
quedar,7,0.0012718023255813954
16,7,0.0012718023255813954
embarazar,7,0.0012718023255813954
libertad,7,0.0012718023255813954
decisión,7,0.0012718023255813954
violencia,7,0.0012718023255813954
erótico,7,0.0012718023255813954
varón,7,0.0012718023255813954
sexualmente,7,0.0012718023255813954
obstante,7,0.0012718023255813954
frecuencia,7,0.0012718023255813954
planear,7,0.0012718023255813954
cultural,6,0.0010901162790697674
comunicación,6,0.0010901162790697674
mexicano,6,0.0010901162790697674
factor,6,0.0010901162790697674
acción,6,0.0010901162790697674
relacionar,6,0.0010901162790697674
mencionar,6,0.0010901162790697674
análisis,6,0.0010901162790697674
libre,6,0.0010901162790697674
hablar,6,0.0010901162790697674
distinto,6,0.0010901162790697674
cuerpo,6,0.0010901162790697674
comportamiento,6,0.0010901162790697674
abuso,6,0.0010901162790697674
escuela,6,0.0010901162790697674
familia,6,0.0010901162790697674
reconocer,6,0.0010901162790697674
reflejar,6,0.0010901162790697674
