Respuesta,Frecuencia,Asociación
método,5,0.013927576601671309
importante,5,0.013927576601671309
homosexual,4,0.011142061281337047
proceso,3,0.008356545961002786
anticoncepción,3,0.008356545961002786
edepam,3,0.008356545961002786
concepto,2,0.005571030640668524
población,2,0.005571030640668524
riesgo,2,0.005571030640668524
niño,2,0.005571030640668524
género,2,0.005571030640668524
integrar,2,0.005571030640668524
efectividad,2,0.005571030640668524
utilizar,2,0.005571030640668524
cambio,2,0.005571030640668524
profundizar,2,0.005571030640668524
práctica,2,0.005571030640668524
encuesta,2,0.005571030640668524
mujer,2,0.005571030640668524
teórico,2,0.005571030640668524
matrimonio,2,0.005571030640668524
familiar,2,0.005571030640668524
discurso,2,0.005571030640668524
planificación,2,0.005571030640668524
efecto,2,0.005571030640668524
seguro,2,0.005571030640668524
anticonceptivo,2,0.005571030640668524
aceptación,2,0.005571030640668524
1995,2,0.005571030640668524
paciente,2,0.005571030640668524
igualdad,2,0.005571030640668524
sexualidad,1,0.002785515320334262
proponer,1,0.002785515320334262
trabajo,1,0.002785515320334262
término,1,0.002785515320334262
estudiar,1,0.002785515320334262
méxico,1,0.002785515320334262
seguir,1,0.002785515320334262
conceptual,1,0.002785515320334262
basar,1,0.002785515320334262
perspectiva,1,0.002785515320334262
elemento,1,0.002785515320334262
social,1,0.002785515320334262
construcción,1,0.002785515320334262
conocimiento,1,0.002785515320334262
acercar,1,0.002785515320334262
país,1,0.002785515320334262
permitir,1,0.002785515320334262
existir,1,0.002785515320334262
información,1,0.002785515320334262
suponer,1,0.002785515320334262
ejercicio,1,0.002785515320334262
necesidad,1,0.002785515320334262
mexicano,1,0.002785515320334262
atender,1,0.002785515320334262
forma,1,0.002785515320334262
factor,1,0.002785515320334262
sexual,1,0.002785515320334262
constituir,1,0.002785515320334262
buscar,1,0.002785515320334262
relacionar,1,0.002785515320334262
fuente,1,0.002785515320334262
investigación,1,0.002785515320334262
grupo,1,0.002785515320334262
2004,1,0.002785515320334262
nacional,1,0.002785515320334262
central,1,0.002785515320334262
cabo,1,0.002785515320334262
modelo,1,0.002785515320334262
estudio,1,0.002785515320334262
etapa,1,0.002785515320334262
análisis,1,0.002785515320334262
ayuda,1,0.002785515320334262
objetivo,1,0.002785515320334262
principal,1,0.002785515320334262
público,1,0.002785515320334262
definir,1,0.002785515320334262
dato,1,0.002785515320334262
contexto,1,0.002785515320334262
usuario,1,0.002785515320334262
resultar,1,0.002785515320334262
punto,1,0.002785515320334262
papel,1,0.002785515320334262
adecuar,1,0.002785515320334262
1,1,0.002785515320334262
estrategia,1,0.002785515320334262
técnica,1,0.002785515320334262
3,1,0.002785515320334262
consistir,1,0.002785515320334262
construir,1,0.002785515320334262
hablar,1,0.002785515320334262
duda,1,0.002785515320334262
condicionar,1,0.002785515320334262
tomar,1,0.002785515320334262
trabajar,1,0.002785515320334262
caso,1,0.002785515320334262
nivel,1,0.002785515320334262
origen,1,0.002785515320334262
estructura,1,0.002785515320334262
sección,1,0.002785515320334262
otorgar,1,0.002785515320334262
evitar,1,0.002785515320334262
institución,1,0.002785515320334262
visión,1,0.002785515320334262
distinto,1,0.002785515320334262
respuesta,1,0.002785515320334262
expresión,1,0.002785515320334262
asunto,1,0.002785515320334262
rol,1,0.002785515320334262
orientación_sexual,1,0.002785515320334262
