Respuesta,Frecuencia,Asociación
persona,4,0.019230769230769232
derecho,4,0.019230769230769232
divorcio,4,0.019230769230769232
mujer,3,0.014423076923076924
ley,3,0.014423076923076924
cualquiera,2,0.009615384615384616
relación,2,0.009615384615384616
considerar,2,0.009615384615384616
matrimonio,2,0.009615384615384616
empujar,2,0.009615384615384616
grado,2,0.009615384615384616
madre,2,0.009615384615384616
cometer,2,0.009615384615384616
penalizar,2,0.009615384615384616
causal,2,0.009615384615384616
justificar,2,0.009615384615384616
doctrina,2,0.009615384615384616
negativa,2,0.009615384615384616
reiterar,2,0.009615384615384616
marido,2,0.009615384615384616
hogar,2,0.009615384615384616
ilegítimo,2,0.009615384615384616
cónyuge,2,0.009615384615384616
concubinato,2,0.009615384615384616
méxico,1,0.004807692307692308
tratar,1,0.004807692307692308
basar,1,0.004807692307692308
general,1,0.004807692307692308
existir,1,0.004807692307692308
propuesta,1,0.004807692307692308
educación,1,0.004807692307692308
sexual,1,0.004807692307692308
grupo,1,0.004807692307692308
año,1,0.004807692307692308
nacional,1,0.004807692307692308
interacción,1,0.004807692307692308
público,1,0.004807692307692308
importante,1,0.004807692307692308
obtener,1,0.004807692307692308
mostrar,1,0.004807692307692308
hallar,1,0.004807692307692308
establecer,1,0.004807692307692308
caso,1,0.004807692307692308
actualmente,1,0.004807692307692308
distinto,1,0.004807692307692308
incluir,1,0.004807692307692308
placer,1,0.004807692307692308
relación_sexual,1,0.004807692307692308
masculino,1,0.004807692307692308
edad,1,0.004807692307692308
máximo,1,0.004807692307692308
cosa,1,0.004807692307692308
haciéndola,1,0.004807692307692308
ejemplo,1,0.004807692307692308
determinar,1,0.004807692307692308
apuntar,1,0.004807692307692308
do,1,0.004807692307692308
cambio,1,0.004807692307692308
conducta,1,0.004807692307692308
luz,1,0.004807692307692308
2007,1,0.004807692307692308
20,1,0.004807692307692308
14,1,0.004807692307692308
siglo,1,0.004807692307692308
xx,1,0.004807692307692308
regular,1,0.004807692307692308
instinto,1,0.004807692307692308
responsable,1,0.004807692307692308
practicar,1,0.004807692307692308
aparecer,1,0.004807692307692308
época,1,0.004807692307692308
norma,1,0.004807692307692308
1997,1,0.004807692307692308
padre,1,0.004807692307692308
jefe,1,0.004807692307692308
hijo,1,0.004807692307692308
casar,1,0.004807692307692308
hombre,1,0.004807692307692308
natural,1,0.004807692307692308
motivo,1,0.004807692307692308
concebir,1,0.004807692307692308
formación,1,0.004807692307692308
favor,1,0.004807692307692308
unión,1,0.004807692307692308
libertad,1,0.004807692307692308
probablemente,1,0.004807692307692308
falta,1,0.004807692307692308
pagar,1,0.004807692307692308
política,1,0.004807692307692308
prohibir,1,0.004807692307692308
separación,1,0.004807692307692308
atribuir,1,0.004807692307692308
estadística,1,0.004807692307692308
civil,1,0.004807692307692308
declarar,1,0.004807692307692308
xviii,1,0.004807692307692308
probar,1,0.004807692307692308
ciudadano,1,0.004807692307692308
inocente,1,0.004807692307692308
involucrar,1,0.004807692307692308
básicamente,1,0.004807692307692308
alimento,1,0.004807692307692308
demográfico,1,0.004807692307692308
traer,1,0.004807692307692308
castigar,1,0.004807692307692308
prisión,1,0.004807692307692308
distrito,1,0.004807692307692308
pena,1,0.004807692307692308
federal,1,0.004807692307692308
pérdida,1,0.004807692307692308
anterioridad,1,0.004807692307692308
mayoritariamente,1,0.004807692307692308
condenar,1,0.004807692307692308
valoración,1,0.004807692307692308
categoría,1,0.004807692307692308
xvii,1,0.004807692307692308
raro,1,0.004807692307692308
provocador,1,0.004807692307692308
escrito,1,0.004807692307692308
satisfacción,1,0.004807692307692308
culpabilidad,1,0.004807692307692308
culpable,1,0.004807692307692308
aludir,1,0.004807692307692308
anónimo,1,0.004807692307692308
delito,1,0.004807692307692308
penal,1,0.004807692307692308
prostitución,1,0.004807692307692308
criticar,1,0.004807692307692308
tipificar,1,0.004807692307692308
despojar,1,0.004807692307692308
incesto,1,0.004807692307692308
viudo,1,0.004807692307692308
consensuar,1,0.004807692307692308
disolver,1,0.004807692307692308
inclinar,1,0.004807692307692308
desajuste,1,0.004807692307692308
ilícito,1,0.004807692307692308
privativo,1,0.004807692307692308
alicio,1,0.004807692307692308
contaminar,1,0.004807692307692308
conyugal,1,0.004807692307692308
patria,1,0.004807692307692308
pérez,1,0.004807692307692308
prostituir,1,0.004807692307692308
asignándole,1,0.004807692307692308
chiriguanos,1,0.004807692307692308
pecar,1,0.004807692307692308
casamiento,1,0.004807692307692308
duramente,1,0.004807692307692308
ﬂojera,1,0.004807692307692308
spedding,1,0.004807692307692308
terriblemente,1,0.004807692307692308
pellejo,1,0.004807692307692308
adúltero,1,0.004807692307692308
pórnoi,1,0.004807692307692308
clientela,1,0.004807692307692308
ateniense,1,0.004807692307692308
bigamia,1,0.004807692307692308
poligamia,1,0.004807692307692308
jacoby,1,0.004807692307692308
inhabilitación,1,0.004807692307692308
desgastante,1,0.004807692307692308
magistrado,1,0.004807692307692308
elena,1,0.004807692307692308
duarte,1,0.004807692307692308
debidamente,1,0.004807692307692308
idiosincracia,1,0.004807692307692308
extraconyugales,1,0.004807692307692308
débito,1,0.004807692307692308
potestad,1,0.004807692307692308
jefatura,1,0.004807692307692308
exodo,1,0.004807692307692308
mandamiento,1,0.004807692307692308
reforzándose,1,0.004807692307692308
levítico,1,0.004807692307692308
prójimo,1,0.004807692307692308
