Respuesta,Frecuencia,Asociación
elevar,2,0.03508771929824561
material,1,0.017543859649122806
facilitar,1,0.017543859649122806
información,1,0.017543859649122806
sexual,1,0.017543859649122806
grupo,1,0.017543859649122806
desarrollo,1,0.017543859649122806
crear,1,0.017543859649122806
producto,1,0.017543859649122806
requerir,1,0.017543859649122806
tipo,1,0.017543859649122806
niño,1,0.017543859649122806
adecuar,1,0.017543859649122806
diversidad,1,0.017543859649122806
cumplir,1,0.017543859649122806
pareja,1,0.017543859649122806
familia,1,0.017543859649122806
edad,1,0.017543859649122806
plano,1,0.017543859649122806
ofrecer,1,0.017543859649122806
dejar,1,0.017543859649122806
oportunidad,1,0.017543859649122806
sentir,1,0.017543859649122806
afectivo,1,0.017543859649122806
saludable,1,0.017543859649122806
vida,1,0.017543859649122806
observar,1,0.017543859649122806
padre,1,0.017543859649122806
película,1,0.017543859649122806
amoroso,1,0.017543859649122806
erótico,1,0.017543859649122806
intenso,1,0.017543859649122806
intimidad,1,0.017543859649122806
separación,1,0.017543859649122806
1992,1,0.017543859649122806
vínculo,1,0.017543859649122806
constante,1,0.017543859649122806
alma,1,0.017543859649122806
emocional,1,0.017543859649122806
ambiente,1,0.017543859649122806
compañía,1,0.017543859649122806
revista,1,0.017543859649122806
pérdida,1,0.017543859649122806
soler,1,0.017543859649122806
serio,1,0.017543859649122806
divorcio,1,0.017543859649122806
intercambio,1,0.017543859649122806
amar,1,0.017543859649122806
espiritual,1,0.017543859649122806
diversificar,1,0.017543859649122806
aclarar,1,0.017543859649122806
curiosidad,1,0.017543859649122806
propiciar,1,0.017543859649122806
volar,1,0.017543859649122806
papalia,1,0.017543859649122806
aconsejable,1,0.017543859649122806
