Respuesta,Frecuencia,Asociación
hombre,2,0.05555555555555555
penetración,2,0.05555555555555555
consenso,1,0.027777777777777776
presente,1,0.027777777777777776
joven,1,0.027777777777777776
juego,1,0.027777777777777776
reforzar,1,0.027777777777777776
relación_sexual,1,0.027777777777777776
identidad,1,0.027777777777777776
masculino,1,0.027777777777777776
femenino,1,0.027777777777777776
cultura,1,0.027777777777777776
posibilidad,1,0.027777777777777776
significar,1,0.027777777777777776
aplicar,1,0.027777777777777776
práctica,1,0.027777777777777776
homosexualidad,1,0.027777777777777776
únicamente,1,0.027777777777777776
varón,1,0.027777777777777776
señalar,1,0.027777777777777776
falta,1,0.027777777777777776
asumir,1,0.027777777777777776
vincular,1,0.027777777777777776
animal,1,0.027777777777777776
orinar,1,0.027777777777777776
verbal,1,0.027777777777777776
competencia,1,0.027777777777777776
reciprocidad,1,0.027777777777777776
lejos,1,0.027777777777777776
grupal,1,0.027777777777777776
solidaridad,1,0.027777777777777776
penetrar,1,0.027777777777777776
hombría,1,0.027777777777777776
eyacular,1,0.027777777777777776
