Respuesta,Frecuencia,Asociación
persona,8,0.009080590238365494
amor,8,0.009080590238365494
trabajo,7,0.007945516458569807
1,7,0.007945516458569807
2,6,0.00681044267877412
3,5,0.0056753688989784334
5,5,0.0056753688989784334
sexo,5,0.0056753688989784334
deseo,5,0.0056753688989784334
doméstico,5,0.0056753688989784334
4,4,0.004540295119182747
querer,4,0.004540295119182747
femenino,4,0.004540295119182747
capacidad,4,0.004540295119182747
menor,4,0.004540295119182747
hijo,4,0.004540295119182747
disfrutar,4,0.004540295119182747
incrementar,4,0.004540295119182747
sentar,3,0.00340522133938706
construcción,3,0.00340522133938706
país,3,0.00340522133938706
necesidad,3,0.00340522133938706
forma,3,0.00340522133938706
definir,3,0.00340522133938706
tipo,3,0.00340522133938706
casa,3,0.00340522133938706
implicar,3,0.00340522133938706
orgasmo,3,0.00340522133938706
sujeto,3,0.00340522133938706
pareja,3,0.00340522133938706
do,3,0.00340522133938706
cambio,3,0.00340522133938706
desear,3,0.00340522133938706
responsable,3,0.00340522133938706
mujer,3,0.00340522133938706
amoroso,3,0.00340522133938706
dificultad,3,0.00340522133938706
novio,3,0.00340522133938706
alguien,3,0.00340522133938706
religioso,3,0.00340522133938706
alma,3,0.00340522133938706
31,3,0.00340522133938706
cónyuge,3,0.00340522133938706
tratar,2,0.0022701475595913734
problema,2,0.0022701475595913734
definición,2,0.0022701475595913734
palabra,2,0.0022701475595913734
humano,2,0.0022701475595913734
deber,2,0.0022701475595913734
existir,2,0.0022701475595913734
educación,2,0.0022701475595913734
sexual,2,0.0022701475595913734
grupo,2,0.0022701475595913734
requerir,2,0.0022701475595913734
pensar,2,0.0022701475595913734
niño,2,0.0022701475595913734
papel,2,0.0022701475595913734
llegar,2,0.0022701475595913734
idea,2,0.0022701475595913734
respetar,2,0.0022701475595913734
separar,2,0.0022701475595913734
escapar,2,0.0022701475595913734
escribir,2,0.0022701475595913734
pasar,2,0.0022701475595913734
establecer,2,0.0022701475595913734
cumplir,2,0.0022701475595913734
expresión,2,0.0022701475595913734
actividad,2,0.0022701475595913734
relación,2,0.0022701475595913734
familia,2,0.0022701475595913734
defecto,2,0.0022701475595913734
cuidar,2,0.0022701475595913734
agregar,2,0.0022701475595913734
significar,2,0.0022701475595913734
cualidad,2,0.0022701475595913734
naturaleza,2,0.0022701475595913734
orden,2,0.0022701475595913734
futuro,2,0.0022701475595913734
vivir,2,0.0022701475595913734
experiencia,2,0.0022701475595913734
plantear,2,0.0022701475595913734
21,2,0.0022701475595913734
teoría,2,0.0022701475595913734
fuerza,2,0.0022701475595913734
impulso,2,0.0022701475595913734
fantasía,2,0.0022701475595913734
padre,2,0.0022701475595913734
alumno,2,0.0022701475595913734
casar,2,0.0022701475595913734
hombre,2,0.0022701475595913734
parecer,2,0.0022701475595913734
compartir,2,0.0022701475595913734
continuidad,2,0.0022701475595913734
apreciar,2,0.0022701475595913734
varón,2,0.0022701475595913734
amigo,2,0.0022701475595913734
independientemente,2,0.0022701475595913734
compañero,2,0.0022701475595913734
surgir,2,0.0022701475595913734
alcanzar,2,0.0022701475595913734
crecer,2,0.0022701475595913734
protección,2,0.0022701475595913734
genitales,2,0.0022701475595913734
elevar,2,0.0022701475595913734
13,2,0.0022701475595913734
inhibir,2,0.0022701475595913734
erotismo,2,0.0022701475595913734
soledad,2,0.0022701475595913734
satisfacción,2,0.0022701475595913734
discontínuos,2,0.0022701475595913734
pasional,2,0.0022701475595913734
marcela,2,0.0022701475595913734
amistoso,2,0.0022701475595913734
profundamente,2,0.0022701475595913734
tolerar,2,0.0022701475595913734
ama,2,0.0022701475595913734
término,1,0.0011350737797956867
explicar,1,0.0011350737797956867
proceso,1,0.0011350737797956867
seguir,1,0.0011350737797956867
base,1,0.0011350737797956867
etcétera,1,0.0011350737797956867
proyecto,1,0.0011350737797956867
basar,1,0.0011350737797956867
específico,1,0.0011350737797956867
diverso,1,0.0011350737797956867
abordar,1,0.0011350737797956867
tema,1,0.0011350737797956867
encontrar,1,0.0011350737797956867
principio,1,0.0011350737797956867
social,1,0.0011350737797956867
conocimiento,1,0.0011350737797956867
acercar,1,0.0011350737797956867
contar,1,0.0011350737797956867
concepto,1,0.0011350737797956867
permitir,1,0.0011350737797956867
común,1,0.0011350737797956867
comunicación,1,0.0011350737797956867
información,1,0.0011350737797956867
suponer,1,0.0011350737797956867
conjunto,1,0.0011350737797956867
educación_sexual,1,0.0011350737797956867
factor,1,0.0011350737797956867
salud,1,0.0011350737797956867
buscar,1,0.0011350737797956867
relacionar,1,0.0011350737797956867
reunir,1,0.0011350737797956867
mencionar,1,0.0011350737797956867
presentar,1,0.0011350737797956867
año,1,0.0011350737797956867
tarea,1,0.0011350737797956867
nacional,1,0.0011350737797956867
finalidad,1,0.0011350737797956867
modelo,1,0.0011350737797956867
estudio,1,0.0011350737797956867
conformación,1,0.0011350737797956867
proporcionar,1,0.0011350737797956867
necesitar,1,0.0011350737797956867
momento,1,0.0011350737797956867
ayuda,1,0.0011350737797956867
dirigir,1,0.0011350737797956867
cuyo,1,0.0011350737797956867
principal,1,0.0011350737797956867
importante,1,0.0011350737797956867
