Respuesta,Frecuencia,Asociación
composición,2,0.034482758620689655
arbitraje,2,0.034482758620689655
proponer,1,0.017241379310344827
método,1,0.017241379310344827
acercar,1,0.017241379310344827
información,1,0.017241379310344827
atender,1,0.017241379310344827
programa,1,0.017241379310344827
ámbito,1,0.017241379310344827
fuente,1,0.017241379310344827
presentar,1,0.017241379310344827
resolución,1,0.017241379310344827
importante,1,0.017241379310344827
temático,1,0.017241379310344827
usuario,1,0.017241379310344827
derivar,1,0.017241379310344827
establecer,1,0.017241379310344827
caso,1,0.017241379310344827
servicio,1,0.017241379310344827
referir,1,0.017241379310344827
convertir,1,0.017241379310344827
médico,1,0.017241379310344827
derecho,1,0.017241379310344827
escolar,1,0.017241379310344827
obligación,1,0.017241379310344827
generar,1,0.017241379310344827
familiar,1,0.017241379310344827
sanitario,1,0.017241379310344827
enfocar,1,0.017241379310344827
frente,1,0.017241379310344827
atención,1,0.017241379310344827
planificación,1,0.017241379310344827
intervenir,1,0.017241379310344827
trabajador,1,0.017241379310344827
intervención,1,0.017241379310344827
someter,1,0.017241379310344827
procedimiento,1,0.017241379310344827
ciento,1,0.017241379310344827
conflicto,1,0.017241379310344827
violencia,1,0.017241379310344827
internacional,1,0.017241379310344827
prestación,1,0.017241379310344827
emitir,1,0.017241379310344827
potencial,1,0.017241379310344827
promover,1,0.017241379310344827
código,1,0.017241379310344827
penal,1,0.017241379310344827
sancionar,1,0.017241379310344827
treinta,1,0.017241379310344827
conciliación,1,0.017241379310344827
conciliar,1,0.017241379310344827
incumplimiento,1,0.017241379310344827
queja,1,0.017241379310344827
laudo,1,0.017241379310344827
delito_sexual,1,0.017241379310344827
multa,1,0.017241379310344827
