Respuesta,Frecuencia,Asociación
pareja,10,0.010834236186348862
persona,8,0.00866738894907909
padre,8,0.00866738894907909
grupo,7,0.007583965330444204
sexo,6,0.0065005417118093175
establecer,5,0.005417118093174431
común,4,0.004333694474539545
información,4,0.004333694474539545
año,4,0.004333694474539545
principal,4,0.004333694474539545
cosa,4,0.004333694474539545
mujer,4,0.004333694474539545
familiar,4,0.004333694474539545
unión,4,0.004333694474539545
encontrar,3,0.0032502708559046588
social,3,0.0032502708559046588
comunicación,3,0.0032502708559046588
sexual,3,0.0032502708559046588
salud,3,0.0032502708559046588
papel,3,0.0032502708559046588
separar,3,0.0032502708559046588
utilizar,3,0.0032502708559046588
relación_sexual,3,0.0032502708559046588
sociedad,3,0.0032502708559046588
servicio,3,0.0032502708559046588
dejar,3,0.0032502708559046588
adolescente,3,0.0032502708559046588
adolescencia,3,0.0032502708559046588
menor,3,0.0032502708559046588
chico,3,0.0032502708559046588
hombre,3,0.0032502708559046588
parecer,3,0.0032502708559046588
amor,3,0.0032502708559046588
16,3,0.0032502708559046588
varón,3,0.0032502708559046588
100,3,0.0032502708559046588
compañero,3,0.0032502708559046588
empezar,3,0.0032502708559046588
madre,3,0.0032502708559046588
figura,3,0.0032502708559046588
dios,3,0.0032502708559046588
presión,3,0.0032502708559046588
19,3,0.0032502708559046588
sexualidad,2,0.0021668472372697724
explicar,2,0.0021668472372697724
intentar,2,0.0021668472372697724
tema,2,0.0021668472372697724
conocimiento,2,0.0021668472372697724
deber,2,0.0021668472372697724
existir,2,0.0021668472372697724
necesidad,2,0.0021668472372697724
fuente,2,0.0021668472372697724
mencionar,2,0.0021668472372697724
modelo,2,0.0021668472372697724
momento,2,0.0021668472372697724
público,2,0.0021668472372697724
importante,2,0.0021668472372697724
depender,2,0.0021668472372697724
servir,2,0.0021668472372697724
tipo,2,0.0021668472372697724
niño,2,0.0021668472372697724
maestro,2,0.0021668472372697724
1,2,0.0021668472372697724
implicar,2,0.0021668472372697724
número,2,0.0021668472372697724
actualmente,2,0.0021668472372697724
razón,2,0.0021668472372697724
familia,2,0.0021668472372697724
centro,2,0.0021668472372697724
cuidar,2,0.0021668472372697724
medida,2,0.0021668472372697724
referir,2,0.0021668472372697724
soporte,2,0.0021668472372697724
significar,2,0.0021668472372697724
frecuente,2,0.0021668472372697724
2005,2,0.0021668472372697724
consciente,2,0.0021668472372697724
desear,2,0.0021668472372697724
recibir,2,0.0021668472372697724
madrid,2,0.0021668472372697724
habitual,2,0.0021668472372697724
salir,2,0.0021668472372697724
método_anticonceptivo,2,0.0021668472372697724
percepción,2,0.0021668472372697724
15,2,0.0021668472372697724
10,2,0.0021668472372697724
abortar,2,0.0021668472372697724
entrevista,2,0.0021668472372697724
18,2,0.0021668472372697724
comunidad,2,0.0021668472372697724
20,2,0.0021668472372697724
clase,2,0.0021668472372697724
peligro,2,0.0021668472372697724
tabú,2,0.0021668472372697724
médico,2,0.0021668472372697724
educador,2,0.0021668472372697724
concreto,2,0.0021668472372697724
apropiar,2,0.0021668472372697724
sida,2,0.0021668472372697724
casar,2,0.0021668472372697724
película,2,0.0021668472372697724
integrante,2,0.0021668472372697724
especial,2,0.0021668472372697724
cambiar,2,0.0021668472372697724
individual,2,0.0021668472372697724
resto,2,0.0021668472372697724
afirmar,2,0.0021668472372697724
confianza,2,0.0021668472372697724
íntimo,2,0.0021668472372697724
hermano,2,0.0021668472372697724
profesional,2,0.0021668472372697724
broma,2,0.0021668472372697724
juez,2,0.0021668472372697724
207,2,0.0021668472372697724
farmacia,2,0.0021668472372697724
161,2,0.0021668472372697724
13,2,0.0021668472372697724
172,2,0.0021668472372697724
39,2,0.0021668472372697724
nsnc,2,0.0021668472372697724
37,2,0.0021668472372697724
planificación,2,0.0021668472372697724
hospital,2,0.0021668472372697724
ganar,2,0.0021668472372697724
discontínuos,2,0.0021668472372697724
amar,2,0.0021668472372697724
soledad,2,0.0021668472372697724
alcanzar,2,0.0021668472372697724
condón,2,0.0021668472372697724
susto,2,0.0021668472372697724
identidad_de_género,2,0.0021668472372697724
asumir,2,0.0021668472372697724
desempeño,2,0.0021668472372697724
prescribir,2,0.0021668472372697724
proscriptos,2,0.0021668472372697724
culturalmente,2,0.0021668472372697724
genérico,2,0.0021668472372697724
dictaminar,2,0.0021668472372697724
