Respuesta,Frecuencia,Asociación
grupo,5,0.013123359580052493
relación,4,0.010498687664041995
soler,4,0.010498687664041995
desarrollar,3,0.007874015748031496
persona,3,0.007874015748031496
vida,3,0.007874015748031496
padre,3,0.007874015748031496
amor,3,0.007874015748031496
muerte,3,0.007874015748031496
permitir,2,0.005249343832020997
deber,2,0.005249343832020997
educación_sexual,2,0.005249343832020997
forma,2,0.005249343832020997
buscar,2,0.005249343832020997
etapa,2,0.005249343832020997
importante,2,0.005249343832020997
niño,2,0.005249343832020997
adulto,2,0.005249343832020997
papel,2,0.005249343832020997
libre,2,0.005249343832020997
par,2,0.005249343832020997
implicar,2,0.005249343832020997
incluir,2,0.005249343832020997
relación_sexual,2,0.005249343832020997
identidad,2,0.005249343832020997
enfermedad,2,0.005249343832020997
pareja,2,0.005249343832020997
edad,2,0.005249343832020997
ofrecer,2,0.005249343832020997
cosa,2,0.005249343832020997
consciente,2,0.005249343832020997
adolescente,2,0.005249343832020997
saludable,2,0.005249343832020997
matrimonio,2,0.005249343832020997
amoroso,2,0.005249343832020997
quedar,2,0.005249343832020997
reconstruir,2,0.005249343832020997
parejo,2,0.005249343832020997
amigo,2,0.005249343832020997
personal,2,0.005249343832020997
machista,2,0.005249343832020997
religioso,2,0.005249343832020997
aprovechar,2,0.005249343832020997
acelerar,2,0.005249343832020997
tolerancia,2,0.005249343832020997
comprensión,2,0.005249343832020997
noviazgo,2,0.005249343832020997
tolerar,2,0.005249343832020997
pariente,2,0.005249343832020997
integral,2,0.005249343832020997
sexualidad,1,0.0026246719160104987
seguir,1,0.0026246719160104987
base,1,0.0026246719160104987
intentar,1,0.0026246719160104987
i,1,0.0026246719160104987
abordar,1,0.0026246719160104987
tema,1,0.0026246719160104987
encontrar,1,0.0026246719160104987
elemento,1,0.0026246719160104987
social,1,0.0026246719160104987
conocimiento,1,0.0026246719160104987
comunicación,1,0.0026246719160104987
principalmente,1,0.0026246719160104987
necesidad,1,0.0026246719160104987
programa,1,0.0026246719160104987
educación,1,0.0026246719160104987
sexual,1,0.0026246719160104987
relacionar,1,0.0026246719160104987
fuente,1,0.0026246719160104987
presentar,1,0.0026246719160104987
desarrollo,1,0.0026246719160104987
ciencia,1,0.0026246719160104987
modelo,1,0.0026246719160104987
estudio,1,0.0026246719160104987
proporcionar,1,0.0026246719160104987
necesitar,1,0.0026246719160104987
momento,1,0.0026246719160104987
contribuir,1,0.0026246719160104987
depender,1,0.0026246719160104987
corresponder,1,0.0026246719160104987
definir,1,0.0026246719160104987
carácter,1,0.0026246719160104987
pensar,1,0.0026246719160104987
b,1,0.0026246719160104987
joven,1,0.0026246719160104987
c,1,0.0026246719160104987
1,1,0.0026246719160104987
búsqueda,1,0.0026246719160104987
3,1,0.0026246719160104987
atractivo,1,0.0026246719160104987
respetar,1,0.0026246719160104987
adoptar,1,0.0026246719160104987
hablar,1,0.0026246719160104987
decidir,1,0.0026246719160104987
tomar,1,0.0026246719160104987
querer,1,0.0026246719160104987
placer,1,0.0026246719160104987
rol,1,0.0026246719160104987
identificación,1,0.0026246719160104987
transmisión,1,0.0026246719160104987
profundo,1,0.0026246719160104987
prevención,1,0.0026246719160104987
actividad,1,0.0026246719160104987
habilidad,1,0.0026246719160104987
función,1,0.0026246719160104987
cultura,1,0.0026246719160104987
familia,1,0.0026246719160104987
tiempo,1,0.0026246719160104987
alto,1,0.0026246719160104987
libro,1,0.0026246719160104987
privar,1,0.0026246719160104987
defecto,1,0.0026246719160104987
venir,1,0.0026246719160104987
controlar,1,0.0026246719160104987
dejar,1,0.0026246719160104987
significar,1,0.0026246719160104987
cualidad,1,0.0026246719160104987
significativo,1,0.0026246719160104987
valor,1,0.0026246719160104987
consecuencia,1,0.0026246719160104987
recordar,1,0.0026246719160104987
especificar,1,0.0026246719160104987
cambio,1,0.0026246719160104987
sentir,1,0.0026246719160104987
mano,1,0.0026246719160104987
vivir,1,0.0026246719160104987
profundizar,1,0.0026246719160104987
práctica,1,0.0026246719160104987
aprender,1,0.0026246719160104987
adolescencia,1,0.0026246719160104987
enfrentar,1,0.0026246719160104987
afrontar,1,0.0026246719160104987
comunidad,1,0.0026246719160104987
afectivo,1,0.0026246719160104987
regular,1,0.0026246719160104987
responsable,1,0.0026246719160104987
preparar,1,0.0026246719160104987
sexo,1,0.0026246719160104987
