Respuesta,Frecuencia,Asociación
relación,13,0.02181208053691275
persona,6,0.010067114093959731
amor,6,0.010067114093959731
joven,5,0.008389261744966443
pareja,5,0.008389261744966443
mujer,5,0.008389261744966443
gustar,4,0.006711409395973154
sexual,3,0.0050335570469798654
1,3,0.0050335570469798654
femenino,3,0.0050335570469798654
cosa,3,0.0050335570469798654
vivir,3,0.0050335570469798654
inicio,3,0.0050335570469798654
sexo,3,0.0050335570469798654
fantasía,3,0.0050335570469798654
acto,3,0.0050335570469798654
alma,3,0.0050335570469798654
amar,3,0.0050335570469798654
muchacho,3,0.0050335570469798654
sexualidad,2,0.003355704697986577
méxico,2,0.003355704697986577
seguir,2,0.003355704697986577
tratar,2,0.003355704697986577
basar,2,0.003355704697986577
social,2,0.003355704697986577
existir,2,0.003355704697986577
forma,2,0.003355704697986577
importante,2,0.003355704697986577
lugar,2,0.003355704697986577
juego,2,0.003355704697986577
papel,2,0.003355704697986577
indicar,2,0.003355704697986577
hablar,2,0.003355704697986577
conformar,2,0.003355704697986577
cuerpo,2,0.003355704697986577
relación_sexual,2,0.003355704697986577
diferencia,2,0.003355704697986577
edad,2,0.003355704697986577
dependencia,2,0.003355704697986577
escuchar,2,0.003355704697986577
deseo,2,0.003355704697986577
freud,2,0.003355704697986577
vida,2,0.003355704697986577
hábito,2,0.003355704697986577
centrar,2,0.003355704697986577
padre,2,0.003355704697986577
hijo,2,0.003355704697986577
música,2,0.003355704697986577
poesía,2,0.003355704697986577
vivencia,2,0.003355704697986577
muerte,2,0.003355704697986577
remitir,2,0.003355704697986577
poseer,2,0.003355704697986577
compromiso,2,0.003355704697986577
fantasear,2,0.003355704697986577
afirmar,2,0.003355704697986577
responsabilidad,2,0.003355704697986577
acto_sexual,2,0.003355704697986577
misterioso,2,0.003355704697986577
madre,2,0.003355704697986577
afecto,2,0.003355704697986577
atributo,2,0.003355704697986577
cortejo,2,0.003355704697986577
vínculo,2,0.003355704697986577
temor,2,0.003355704697986577
amistad,2,0.003355704697986577
burbuja,2,0.003355704697986577
valorar,2,0.003355704697986577
respeto,2,0.003355704697986577
amistoso,2,0.003355704697986577
trabajo,1,0.0016778523489932886
lenguaje,1,0.0016778523489932886
explicar,1,0.0016778523489932886
intentar,1,0.0016778523489932886
diverso,1,0.0016778523489932886
tema,1,0.0016778523489932886
humano,1,0.0016778523489932886
aunar,1,0.0016778523489932886
elemento,1,0.0016778523489932886
cultural,1,0.0016778523489932886
acercar,1,0.0016778523489932886
integración,1,0.0016778523489932886
deber,1,0.0016778523489932886
general,1,0.0016778523489932886
necesario,1,0.0016778523489932886
mayoría,1,0.0016778523489932886
información,1,0.0016778523489932886
actual,1,0.0016778523489932886
suponer,1,0.0016778523489932886
ejercicio,1,0.0016778523489932886
principalmente,1,0.0016778523489932886
necesidad,1,0.0016778523489932886
mexicano,1,0.0016778523489932886
caer,1,0.0016778523489932886
factor,1,0.0016778523489932886
riesgo,1,0.0016778523489932886
salud,1,0.0016778523489932886
buscar,1,0.0016778523489932886
relacionar,1,0.0016778523489932886
herramienta,1,0.0016778523489932886
presentar,1,0.0016778523489932886
grupo,1,0.0016778523489932886
año,1,0.0016778523489932886
desarrollo,1,0.0016778523489932886
cabo,1,0.0016778523489932886
crear,1,0.0016778523489932886
conformación,1,0.0016778523489932886
cualquiera,1,0.0016778523489932886
momento,1,0.0016778523489932886
objetivo,1,0.0016778523489932886
principal,1,0.0016778523489932886
requerir,1,0.0016778523489932886
presente,1,0.0016778523489932886
abrir,1,0.0016778523489932886
mínimo,1,0.0016778523489932886
temático,1,0.0016778523489932886
acceso,1,0.0016778523489932886
carácter,1,0.0016778523489932886
resultar,1,0.0016778523489932886
tipo,1,0.0016778523489932886
adulto,1,0.0016778523489932886
publicar,1,0.0016778523489932886
libre,1,0.0016778523489932886
camino,1,0.0016778523489932886
mejorar,1,0.0016778523489932886
búsqueda,1,0.0016778523489932886
género,1,0.0016778523489932886
autor,1,0.0016778523489932886
atractivo,1,0.0016778523489932886
hallar,1,0.0016778523489932886
4,1,0.0016778523489932886
consistir,1,0.0016778523489932886
respetar,1,0.0016778523489932886
separar,1,0.0016778523489932886
rasgo,1,0.0016778523489932886
complejo,1,0.0016778523489932886
escribir,1,0.0016778523489932886
número,1,0.0016778523489932886
exponer,1,0.0016778523489932886
duda,1,0.0016778523489932886
establecer,1,0.0016778523489932886
diversidad,1,0.0016778523489932886
cumplir,1,0.0016778523489932886
describir,1,0.0016778523489932886
nivel,1,0.0016778523489932886
origen,1,0.0016778523489932886
contenido,1,0.0016778523489932886
actualmente,1,0.0016778523489932886
procurar,1,0.0016778523489932886
estructura,1,0.0016778523489932886
estable,1,0.0016778523489932886
apartado,1,0.0016778523489932886
objeto,1,0.0016778523489932886
control,1,0.0016778523489932886
expresión,1,0.0016778523489932886
razón,1,0.0016778523489932886
psicológico,1,0.0016778523489932886
incluir,1,0.0016778523489932886
fantasía_sexual,1,0.0016778523489932886
comportamiento_sexual,1,0.0016778523489932886
aumento,1,0.0016778523489932886
disminución,1,0.0016778523489932886
placer,1,0.0016778523489932886
sujeto,1,0.0016778523489932886
rol,1,0.0016778523489932886
estereotipo,1,0.0016778523489932886
función,1,0.0016778523489932886
familia,1,0.0016778523489932886
tiempo,1,0.0016778523489932886
opción,1,0.0016778523489932886
interesar,1,0.0016778523489932886
referencia,1,0.0016778523489932886
reconocimiento,1,0.0016778523489932886
peso,1,0.0016778523489932886
referir,1,0.0016778523489932886
venir,1,0.0016778523489932886
plano,1,0.0016778523489932886
volver,1,0.0016778523489932886
marcar,1,0.0016778523489932886
voluntad,1,0.0016778523489932886
candidato,1,0.0016778523489932886
dejar,1,0.0016778523489932886
determinar,1,0.0016778523489932886
llamar,1,0.0016778523489932886
definitivo,1,0.0016778523489932886
elección,1,0.0016778523489932886
do,1,0.0016778523489932886
valor,1,0.0016778523489932886
importancia,1,0.0016778523489932886
asimismo,1,0.0016778523489932886
capacidad,1,0.0016778523489932886
prueba,1,0.0016778523489932886
cambio,1,0.0016778523489932886
sentir,1,0.0016778523489932886
adolescente,1,0.0016778523489932886
desear,1,0.0016778523489932886
aumentar,1,0.0016778523489932886
actitud,1,0.0016778523489932886
experiencia,1,0.0016778523489932886
práctica,1,0.0016778523489932886
convertir,1,0.0016778523489932886
salir,1,0.0016778523489932886
asociar,1,0.0016778523489932886
plantear,1,0.0016778523489932886
iniciar,1,0.0016778523489932886
percepción,1,0.0016778523489932886
considerar,1,0.0016778523489932886
10,1,0.0016778523489932886
físico,1,0.0016778523489932886
18,1,0.0016778523489932886
ideológico,1,0.0016778523489932886
siglo,1,0.0016778523489932886
exclusivamente,1,0.0016778523489932886
peligro,1,0.0016778523489932886
responsable,1,0.0016778523489932886
saludable,1,0.0016778523489932886
científico,1,0.0016778523489932886
aparecer,1,0.0016778523489932886
época,1,0.0016778523489932886
norma,1,0.0016778523489932886
ellis,1,0.0016778523489932886
médico,1,0.0016778523489932886
rechazar,1,0.0016778523489932886
existencia,1,0.0016778523489932886
germen,1,0.0016778523489932886
demostrar,1,0.0016778523489932886
manifestar,1,0.0016778523489932886
tradicional,1,0.0016778523489932886
real,1,0.0016778523489932886
desmitificar,1,0.0016778523489932886
aspecto,1,0.0016778523489932886
rol_de_género,1,0.0016778523489932886
contradicción,1,0.0016778523489932886
matrimonio,1,0.0016778523489932886
obligación,1,0.0016778523489932886
hombre,1,0.0016778523489932886
parecer,1,0.0016778523489932886
mundo,1,0.0016778523489932886
generar,1,0.0016778523489932886
letra,1,0.0016778523489932886
movimiento,1,0.0016778523489932886
mantener,1,0.0016778523489932886
ropa,1,0.0016778523489932886
petting,1,0.0016778523489932886
multitud,1,0.0016778523489932886
rigidizan,1,0.0016778523489932886
gato,1,0.0016778523489932886
virgen,1,0.0016778523489932886
incierto,1,0.0016778523489932886
poética,1,0.0016778523489932886
erotismo,1,0.0016778523489932886
discurso,1,0.0016778523489932886
literatura,1,0.0016778523489932886
antecedente,1,0.0016778523489932886
francisco,1,0.0016778523489932886
terraza,1,0.0016778523489932886
pasión,1,0.0016778523489932886
fundamentar,1,0.0016778523489932886
narrativa,1,0.0016778523489932886
escritor,1,0.0016778523489932886
mancar,1,0.0016778523489932886
1989,1,0.0016778523489932886
presencia,1,0.0016778523489932886
notable,1,0.0016778523489932886
plausible,1,0.0016778523489932886
descriptivo,1,0.0016778523489932886
avasallante,1,0.0016778523489932886
concebirhablarrelatar,1,0.0016778523489932886
invención,1,0.0016778523489932886
literario,1,0.0016778523489932886
denis,1,0.0016778523489932886
rougemont,1,0.0016778523489932886
dolor,1,0.0016778523489932886
sufrimiento,1,0.0016778523489932886
olvido,1,0.0016778523489932886
desamor,1,0.0016778523489932886
exaltar,1,0.0016778523489932886
sublimar,1,0.0016778523489932886
xiii,1,0.0016778523489932886
occidente,1,0.0016778523489932886
ahondar,1,0.0016778523489932886
conjugar,1,0.0016778523489932886
frida,1,0.0016778523489932886
varinia,1,0.0016778523489932886
pudor,1,0.0016778523489932886
divorcio,1,0.0016778523489932886
instaurar,1,0.0016778523489932886
libertad,1,0.0016778523489932886
preciar,1,0.0016778523489932886
cerrar,1,0.0016778523489932886
negocio,1,0.0016778523489932886
hostil,1,0.0016778523489932886
inclemente,1,0.0016778523489932886
llamada,1,0.0016778523489932886
extremadamente,1,0.0016778523489932886
dañino,1,0.0016778523489932886
confundir,1,0.0016778523489932886
apego,1,0.0016778523489932886
aparentemente,1,0.0016778523489932886
destructivo,1,0.0016778523489932886
reproducción_asistir,1,0.0016778523489932886
inmediatamente,1,0.0016778523489932886
aquién,1,0.0016778523489932886
acompanan,1,0.0016778523489932886
jugar,1,0.0016778523489932886
constante,1,0.0016778523489932886
capaz,1,0.0016778523489932886
alcanzar,1,0.0016778523489932886
matiz,1,0.0016778523489932886
contacto,1,0.0016778523489932886
autocalificación,1,0.0016778523489932886
fisiológico,1,0.0016778523489932886
respuesta_sexual,1,0.0016778523489932886
autoimagen,1,0.0016778523489932886
antigüedad,1,0.0016778523489932886
dios,1,0.0016778523489932886
antiguo,1,0.0016778523489932886
zeus,1,0.0016778523489932886
aspirar,1,0.0016778523489932886
dificultad,1,0.0016778523489932886
sobrenombre,1,0.0016778523489932886
don_juan,1,0.0016778523489932886
aventura,1,0.0016778523489932886
dominio,1,0.0016778523489932886
distintivo,1,0.0016778523489932886
donjuanesco,1,0.0016778523489932886
soler,1,0.0016778523489932886
rayar,1,0.0016778523489932886
obsceno,1,0.0016778523489932886
bataille,1,0.0016778523489932886
desposesión,1,0.0016778523489932886
desarreglo,1,0.0016778523489932886
vorágine,1,0.0016778523489932886
desnudez,1,0.0016778523489932886
contrario,1,0.0016778523489932886
duradero,1,0.0016778523489932886
compartir,1,0.0016778523489932886
quehacer,1,0.0016778523489932886
encuentro,1,0.0016778523489932886
repetición,1,0.0016778523489932886
intensidad,1,0.0016778523489932886
decisión,1,0.0016778523489932886
ético,1,0.0016778523489932886
regalo,1,0.0016778523489932886
conllevar,1,0.0016778523489932886
desigualdad,1,0.0016778523489932886
intercambio,1,0.0016778523489932886
volar,1,0.0016778523489932886
compañía,1,0.0016778523489932886
afectuoso,1,0.0016778523489932886
elevar,1,0.0016778523489932886
espiritual,1,0.0016778523489932886
cometido,1,0.0016778523489932886
develarnos,1,0.0016778523489932886
eros,1,0.0016778523489932886
devela,1,0.0016778523489932886
empeñar,1,0.0016778523489932886
cotidiano,1,0.0016778523489932886
empresa,1,0.0016778523489932886
enamorado,1,0.0016778523489932886
feliz,1,0.0016778523489932886
complejidad,1,0.0016778523489932886
cauteloso,1,0.0016778523489932886
cuidadoso,1,0.0016778523489932886
satisfacción,1,0.0016778523489932886
pasional,1,0.0016778523489932886
unir,1,0.0016778523489932886
vincular,1,0.0016778523489932886
hermosura,1,0.0016778523489932886
belleza,1,0.0016778523489932886
sensible,1,0.0016778523489932886
cariñoso,1,0.0016778523489932886
instrumental,1,0.0016778523489932886
inteligencia,1,0.0016778523489932886
asalariar,1,0.0016778523489932886
cambiar,1,0.0016778523489932886
circunstancia,1,0.0016778523489932886
trasladar,1,0.0016778523489932886
toma,1,0.0016778523489932886
culpa,1,0.0016778523489932886
constitución,1,0.0016778523489932886
perder,1,0.0016778523489932886
apreciar,1,0.0016778523489932886
señalar,1,0.0016778523489932886
amigo,1,0.0016778523489932886
rostro,1,0.0016778523489932886
simultáneamente,1,0.0016778523489932886
interés,1,0.0016778523489932886
violencia,1,0.0016778523489932886
desvalorización,1,0.0016778523489932886
exageración,1,0.0016778523489932886
reconstruir,1,0.0016778523489932886
pérdida,1,0.0016778523489932886
pariente,1,0.0016778523489932886
acelerar,1,0.0016778523489932886
desvincular,1,0.0016778523489932886
pornografía,1,0.0016778523489932886
imposible,1,0.0016778523489932886
erótico,1,0.0016778523489932886
preferencia_sexual,1,0.0016778523489932886
resaltar,1,0.0016778523489932886
exagerar,1,0.0016778523489932886
facial,1,0.0016778523489932886
grito,1,0.0016778523489932886
actriz,1,0.0016778523489932886
cine,1,0.0016778523489932886
pornográfico,1,0.0016778523489932886
mudo,1,0.0016778523489932886
fornicación,1,0.0016778523489932886
acústico,1,0.0016778523489932886
realización,1,0.0016778523489932886
jadeo,1,0.0016778523489932886
susurro,1,0.0016778523489932886
reportar,1,0.0016778523489932886
esposo,1,0.0016778523489932886
novio,1,0.0016778523489932886
9,1,0.0016778523489932886
veraz,1,0.0016778523489932886
disfrutar,1,0.0016778523489932886
varón,1,0.0016778523489932886
asumir,1,0.0016778523489932886
reproducir,1,0.0016778523489932886
apropiación,1,0.0016778523489932886
educar,1,0.0016778523489932886
propiciar,1,0.0016778523489932886
integral,1,0.0016778523489932886
respetuoso,1,0.0016778523489932886
solidario,1,0.0016778523489932886
expresar,1,0.0016778523489932886
compañero,1,0.0016778523489932886
comprensión,1,0.0016778523489932886
demanda,1,0.0016778523489932886
promover,1,0.0016778523489932886
viejo,1,0.0016778523489932886
continuar,1,0.0016778523489932886
suficientemente,1,0.0016778523489932886
prolongar,1,0.0016778523489932886
satisfacer,1,0.0016778523489932886
marido,1,0.0016778523489932886
migración,1,0.0016778523489932886
traer,1,0.0016778523489932886
ampliación,1,0.0016778523489932886
radio,1,0.0016778523489932886
vida_sexual,1,0.0016778523489932886
evento,1,0.0016778523489932886
gozar,1,0.0016778523489932886
allá,1,0.0016778523489932886
disco,1,0.0016778523489932886
vatos,1,0.0016778523489932886
locos10,1,0.0016778523489932886
bonito,1,0.0016778523489932886
guapote,1,0.0016778523489932886
noticia,1,0.0016778523489932886
acompañar,1,0.0016778523489932886
permanecer,1,0.0016778523489932886
parque,1,0.0016778523489932886
hora,1,0.0016778523489932886
comprometer,1,0.0016778523489932886
mutuo,1,0.0016778523489932886
lesivo,1,0.0016778523489932886
alternativo,1,0.0016778523489932886
intrínseco,1,0.0016778523489932886
carinosa,1,0.0016778523489932886
extremo,1,0.0016778523489932886
parafilia,1,0.0016778523489932886
trastorno,1,0.0016778523489932886
psicosexual,1,0.0016778523489932886
dificultar,1,0.0016778523489932886
seriamente,1,0.0016778523489932886
justicia,1,0.0016778523489932886
donación,1,0.0016778523489932886
conyugal,1,0.0016778523489932886
rescatar,1,0.0016778523489932886
enriquecer,1,0.0016778523489932886
propender,1,0.0016778523489932886
descubrir,1,0.0016778523489932886
materialización,1,0.0016778523489932886
entrega,1,0.0016778523489932886
primacía,1,0.0016778523489932886
edipo,1,0.0016778523489932886
pequeño,1,0.0016778523489932886
psicoanálisis,1,0.0016778523489932886
inglaterra,1,0.0016778523489932886
havellock,1,0.0016778523489932886
