Respuesta,Frecuencia,Asociación
factor,5,0.012531328320802004
mujer,4,0.010025062656641603
hombre,4,0.010025062656641603
enfermedad,3,0.007518796992481203
médico,3,0.007518796992481203
causa,3,0.007518796992481203
evidencia,3,0.007518796992481203
clítoris,3,0.007518796992481203
sexualidad,2,0.005012531328320802
encontrar,2,0.005012531328320802
social,2,0.005012531328320802
conocimiento,2,0.005012531328320802
deber,2,0.005012531328320802
asignatura,2,0.005012531328320802
sexual,2,0.005012531328320802
buscar,2,0.005012531328320802
investigación,2,0.005012531328320802
estudio,2,0.005012531328320802
realidad,2,0.005012531328320802
caso,2,0.005012531328320802
biológico,2,0.005012531328320802
medicina,2,0.005012531328320802
psicológico,2,0.005012531328320802
incluir,2,0.005012531328320802
orgasmo,2,0.005012531328320802
femenino,2,0.005012531328320802
relación,2,0.005012531328320802
reconocer,2,0.005012531328320802
persona,2,0.005012531328320802
frecuente,2,0.005012531328320802
cambio,2,0.005012531328320802
mito,2,0.005012531328320802
sexo,2,0.005012531328320802
genital,2,0.005012531328320802
aspecto,2,0.005012531328320802
vagina,2,0.005012531328320802
grado,2,0.005012531328320802
síndrome,2,0.005012531328320802
confirmar,2,0.005012531328320802
desconocimiento,2,0.005012531328320802
fisiológico,2,0.005012531328320802
puro,2,0.005012531328320802
obedecer,2,0.005012531328320802
amante,2,0.005012531328320802
aclarar,2,0.005012531328320802
rotura,2,0.005012531328320802
himen,2,0.005012531328320802
infante,2,0.005012531328320802
caliente,2,0.005012531328320802
básico,1,0.002506265664160401
proponer,1,0.002506265664160401
estudiar,1,0.002506265664160401
texto,1,0.002506265664160401
pretender,1,0.002506265664160401
creación,1,0.002506265664160401
basar,1,0.002506265664160401
problema,1,0.002506265664160401
humano,1,0.002506265664160401
cultural,1,0.002506265664160401
consenso,1,0.002506265664160401
general,1,0.002506265664160401
existir,1,0.002506265664160401
criterio,1,0.002506265664160401
información,1,0.002506265664160401
suponer,1,0.002506265664160401
principalmente,1,0.002506265664160401
necesidad,1,0.002506265664160401
conjunto,1,0.002506265664160401
educación,1,0.002506265664160401
forma,1,0.002506265664160401
constituir,1,0.002506265664160401
relacionar,1,0.002506265664160401
caber,1,0.002506265664160401
mencionar,1,0.002506265664160401
año,1,0.002506265664160401
desarrollo,1,0.002506265664160401
ciencia,1,0.002506265664160401
voluntario,1,0.002506265664160401
2,1,0.002506265664160401
dirigir,1,0.002506265664160401
público,1,0.002506265664160401
elaboración,1,0.002506265664160401
componer,1,0.002506265664160401
definir,1,0.002506265664160401
lugar,1,0.002506265664160401
contexto,1,0.002506265664160401
explicación,1,0.002506265664160401
tipo,1,0.002506265664160401
joven,1,0.002506265664160401
secundario,1,0.002506265664160401
maestro,1,0.002506265664160401
libre,1,0.002506265664160401
mostrar,1,0.002506265664160401
clasificación,1,0.002506265664160401
1,1,0.002506265664160401
género,1,0.002506265664160401
4,1,0.002506265664160401
rasgo,1,0.002506265664160401
número,1,0.002506265664160401
exponer,1,0.002506265664160401
completo,1,0.002506265664160401
abarcar,1,0.002506265664160401
describir,1,0.002506265664160401
nivel,1,0.002506265664160401
origen,1,0.002506265664160401
anatomía,1,0.002506265664160401
cuerpo,1,0.002506265664160401
razón,1,0.002506265664160401
coito,1,0.002506265664160401
relación_sexual,1,0.002506265664160401
rol,1,0.002506265664160401
orientación_sexual,1,0.002506265664160401
masculino,1,0.002506265664160401
transmisión,1,0.002506265664160401
diferencia,1,0.002506265664160401
heterosexualidad,1,0.002506265664160401
bisexualidad,1,0.002506265664160401
atracción,1,0.002506265664160401
individuo,1,0.002506265664160401
sociedad,1,0.002506265664160401
libro,1,0.002506265664160401
educativo,1,0.002506265664160401
lista,1,0.002506265664160401
5,1,0.002506265664160401
cuidar,1,0.002506265664160401
pregunta,1,0.002506265664160401
primario,1,0.002506265664160401
característica,1,0.002506265664160401
asignar,1,0.002506265664160401
referir,1,0.002506265664160401
identificar,1,0.002506265664160401
iv,1,0.002506265664160401
apoyar,1,0.002506265664160401
funcional,1,0.002506265664160401
dejar,1,0.002506265664160401
determinar,1,0.002506265664160401
condición,1,0.002506265664160401
llamar,1,0.002506265664160401
pauta,1,0.002506265664160401
cercano,1,0.002506265664160401
elección,1,0.002506265664160401
valor,1,0.002506265664160401
1973,1,0.002506265664160401
posición,1,0.002506265664160401
consecuencia,1,0.002506265664160401
asimismo,1,0.002506265664160401
ayudar,1,0.002506265664160401
sistema,1,0.002506265664160401
futuro,1,0.002506265664160401
situación,1,0.002506265664160401
excelente,1,0.002506265664160401
sentir,1,0.002506265664160401
activo,1,0.002506265664160401
vivir,1,0.002506265664160401
embarazo,1,0.002506265664160401
desear,1,0.002506265664160401
resultado,1,0.002506265664160401
actitud,1,0.002506265664160401
imagen,1,0.002506265664160401
creer,1,0.002506265664160401
experiencia,1,0.002506265664160401
aprendizaje,1,0.002506265664160401
adolescencia,1,0.002506265664160401
producir,1,0.002506265664160401
asociar,1,0.002506265664160401
revisión,1,0.002506265664160401
concepción,1,0.002506265664160401
iniciar,1,0.002506265664160401
creencia,1,0.002506265664160401
torno,1,0.002506265664160401
método_anticonceptivo,1,0.002506265664160401
considerar,1,0.002506265664160401
muestra,1,0.002506265664160401
entender,1,0.002506265664160401
clase,1,0.002506265664160401
coital,1,0.002506265664160401
positivo,1,0.002506265664160401
mental,1,0.002506265664160401
normal,1,0.002506265664160401
científico,1,0.002506265664160401
aparecer,1,0.002506265664160401
extender,1,0.002506265664160401
ellis,1,0.002506265664160401
homosexualidad,1,0.002506265664160401
enfoque,1,0.002506265664160401
falso,1,0.002506265664160401
repercusión,1,0.002506265664160401
canalizar,1,0.002506265664160401
período,1,0.002506265664160401
pubertad,1,0.002506265664160401
demostrar,1,0.002506265664160401
hábito,1,0.002506265664160401
patológico,1,0.002506265664160401
reproductivo,1,0.002506265664160401
concreto,1,0.002506265664160401
comunicar,1,0.002506265664160401
observar,1,0.002506265664160401
violación,1,0.002506265664160401
lógico,1,0.002506265664160401
interpretar,1,0.002506265664160401
parecer,1,0.002506265664160401
natural,1,0.002506265664160401
