Respuesta,Frecuencia,Asociación
mujer,8,0.04878048780487805
femenino,7,0.042682926829268296
hombre,5,0.03048780487804878
indiferenciado,5,0.03048780487804878
mostrar,4,0.024390243902439025
presentar,3,0.018292682926829267
sintomatología,3,0.018292682926829267
muestra,3,0.018292682926829267
síntoma,3,0.018292682926829267
feminidad,3,0.018292682926829267
somático,3,0.018292682926829267
encontrar,2,0.012195121951219513
deber,2,0.012195121951219513
grupo,2,0.012195121951219513
análisis,2,0.012195121951219513
cuyo,2,0.012195121951219513
incluir,2,0.012195121951219513
rol,2,0.012195121951219513
diferencia,2,0.012195121951219513
clasificar,2,0.012195121951219513
persona,2,0.012195121951219513
variable,2,0.012195121951219513
menor,2,0.012195121951219513
desconocer,2,0.012195121951219513
masculinidad,2,0.012195121951219513
ansiedad,2,0.012195121951219513
insomnio,2,0.012195121951219513
pretender,1,0.006097560975609756
enseñanza,1,0.006097560975609756
factor,1,0.006097560975609756
sexual,1,0.006097560975609756
salud,1,0.006097560975609756
dato,1,0.006097560975609756
maestro,1,0.006097560975609756
histórico,1,0.006097560975609756
idea,1,0.006097560975609756
búsqueda,1,0.006097560975609756
género,1,0.006097560975609756
separar,1,0.006097560975609756
rasgo,1,0.006097560975609756
ligar,1,0.006097560975609756
caso,1,0.006097560975609756
cuerpo,1,0.006097560975609756
expresión,1,0.006097560975609756
razón,1,0.006097560975609756
aumento,1,0.006097560975609756
masculino,1,0.006097560975609756
función,1,0.006097560975609756
opción,1,0.006097560975609756
máximo,1,0.006097560975609756
original,1,0.006097560975609756
significativo,1,0.006097560975609756
contraste,1,0.006097560975609756
orden,1,0.006097560975609756
resultado,1,0.006097560975609756
actitud,1,0.006097560975609756
percepción,1,0.006097560975609756
considerar,1,0.006097560975609756
mental,1,0.006097560975609756
sexo,1,0.006097560975609756
mitad,1,0.006097560975609756
p,1,0.006097560975609756
natural,1,0.006097560975609756
moda,1,0.006097560975609756
esperar,1,0.006097560975609756
tendencia,1,0.006097560975609756
grado,1,0.006097560975609756
confianza,1,0.006097560975609756
100,1,0.006097560975609756
presencia,1,0.006097560975609756
efecto,1,0.006097560975609756
escala,1,0.006097560975609756
alcanzar,1,0.006097560975609756
t,1,0.006097560975609756
favorecer,1,0.006097560975609756
profesión,1,0.006097560975609756
valorar,1,0.006097560975609756
80,1,0.006097560975609756
675,1,0.006097560975609756
0,1,0.006097560975609756
211,1,0.006097560975609756
puntuación,1,0.006097560975609756
varianza,1,0.006097560975609756
carrera,1,0.006097560975609756
docente,1,0.006097560975609756
masculinidadfeminidad,1,0.006097560975609756
sumatorio,1,0.006097560975609756
36,1,0.006097560975609756
gremio,1,0.006097560975609756
eminentemente,1,0.006097560975609756
estadísticamente,1,0.006097560975609756
mediana,1,0.006097560975609756
puntuar,1,0.006097560975609756
multivariado,1,0.006097560975609756
manova,1,0.006097560975609756
univariados,1,0.006097560975609756
anova,1,0.006097560975609756
dependiente,1,0.006097560975609756
ghq28,1,0.006097560975609756
negativamente,1,0.006097560975609756
autoconfianza,1,0.006097560975609756
posiblemente,1,0.006097560975609756
diferencial,1,0.006097560975609756
componente,1,0.006097560975609756
androginia,1,0.006097560975609756
esfera,1,0.006097560975609756
castigo,1,0.006097560975609756
zeus,1,0.006097560975609756
décima,1,0.006097560975609756
petrificar,1,0.006097560975609756
eterno,1,0.006097560975609756
omnipresente,1,0.006097560975609756
