Respuesta,Frecuencia,Asociación
16,5,0.019011406844106463
etapa,4,0.015209125475285171
corresponder,4,0.015209125475285171
persona,4,0.015209125475285171
derecho,4,0.015209125475285171
infección,4,0.015209125475285171
13,4,0.015209125475285171
pedofilia,4,0.015209125475285171
1,3,0.011406844106463879
edad,3,0.011406844106463879
considerar,3,0.011406844106463879
cometer,3,0.011406844106463879
nino,3,0.011406844106463879
definición,2,0.0076045627376425855
social,2,0.0076045627376425855
país,2,0.0076045627376425855
deber,2,0.0076045627376425855
general,2,0.0076045627376425855
presentar,2,0.0076045627376425855
mínimo,2,0.0076045627376425855
género,2,0.0076045627376425855
variar,2,0.0076045627376425855
incluir,2,0.0076045627376425855
actividad_sexual,2,0.0076045627376425855
sujeto,2,0.0076045627376425855
relación,2,0.0076045627376425855
generalmente,2,0.0076045627376425855
ley,2,0.0076045627376425855
violación,2,0.0076045627376425855
década,2,0.0076045627376425855
diagnosticar,2,0.0076045627376425855
víctima,2,0.0076045627376425855
ninos,2,0.0076045627376425855
delito,2,0.0076045627376425855
tipificar,2,0.0076045627376425855
recto,2,0.0076045627376425855
gonocócico,2,0.0076045627376425855
clamidias,2,0.0076045627376425855
basar,1,0.0038022813688212928
i,1,0.0038022813688212928
diverso,1,0.0038022813688212928
tema,1,0.0038022813688212928
construcción,1,0.0038022813688212928
mayoría,1,0.0038022813688212928
educación_sexual,1,0.0038022813688212928
forma,1,0.0038022813688212928
sexual,1,0.0038022813688212928
buscar,1,0.0038022813688212928
año,1,0.0038022813688212928
estudio,1,0.0038022813688212928
obtención,1,0.0038022813688212928
documento,1,0.0038022813688212928
cualquiera,1,0.0038022813688212928
2,1,0.0038022813688212928
contexto,1,0.0038022813688212928
carácter,1,0.0038022813688212928
tipo,1,0.0038022813688212928
niño,1,0.0038022813688212928
joven,1,0.0038022813688212928
adulto,1,0.0038022813688212928
publicación,1,0.0038022813688212928
mostrar,1,0.0038022813688212928
denominar,1,0.0038022813688212928
localización,1,0.0038022813688212928
sitio,1,0.0038022813688212928
3,1,0.0038022813688212928
referente,1,0.0038022813688212928
consistir,1,0.0038022813688212928
derivar,1,0.0038022813688212928
utilizar,1,0.0038022813688212928
pasar,1,0.0038022813688212928
caso,1,0.0038022813688212928
cuerpo,1,0.0038022813688212928
objeto,1,0.0038022813688212928
oral,1,0.0038022813688212928
placer,1,0.0038022813688212928
desarrollar,1,0.0038022813688212928
sociedad,1,0.0038022813688212928
occidental,1,0.0038022813688212928
reconocer,1,0.0038022813688212928
reconocimiento,1,0.0038022813688212928
centro,1,0.0038022813688212928
5,1,0.0038022813688212928
proceder,1,0.0038022813688212928
referir,1,0.0038022813688212928
identificar,1,0.0038022813688212928
ejemplo,1,0.0038022813688212928
llamar,1,0.0038022813688212928
especificar,1,0.0038022813688212928
sistema,1,0.0038022813688212928
mano,1,0.0038022813688212928
resultado,1,0.0038022813688212928
conducta,1,0.0038022813688212928
adolescencia,1,0.0038022813688212928
producir,1,0.0038022813688212928
habitual,1,0.0038022813688212928
18,1,0.0038022813688212928
20,1,0.0038022813688212928
enfoque,1,0.0038022813688212928
deseo,1,0.0038022813688212928
mujer,1,0.0038022813688212928
teoría,1,0.0038022813688212928
fuerza,1,0.0038022813688212928
homosexual,1,0.0038022813688212928
heterosexual,1,0.0038022813688212928
reproductivo,1,0.0038022813688212928
fundamental,1,0.0038022813688212928
vagina,1,0.0038022813688212928
inferior,1,0.0038022813688212928
detener,1,0.0038022813688212928
especial,1,0.0038022813688212928
grado,1,0.0038022813688212928
tabla,1,0.0038022813688212928
pene,1,0.0038022813688212928
personal,1,0.0038022813688212928
presencia,1,0.0038022813688212928
comenzar,1,0.0038022813688212928
revisar,1,0.0038022813688212928
