Respuesta,Frecuencia,Asociación
mujer,2,0.03636363636363636
tecnología,1,0.01818181818181818
creación,1,0.01818181818181818
intentar,1,0.01818181818181818
organización,1,0.01818181818181818
creciente,1,0.01818181818181818
grupo,1,0.01818181818181818
componer,1,0.01818181818181818
importante,1,0.01818181818181818
obtener,1,0.01818181818181818
1,1,0.01818181818181818
opinión,1,0.01818181818181818
medida,1,0.01818181818181818
marcar,1,0.01818181818181818
voluntad,1,0.01818181818181818
orden,1,0.01818181818181818
embarazo,1,0.01818181818181818
interrupción,1,0.01818181818181818
científico,1,0.01818181818181818
médico,1,0.01818181818181818
despertar,1,0.01818181818181818
judicial,1,0.01818181818181818
publicidad,1,0.01818181818181818
afectar,1,0.01818181818181818
hombre,1,0.01818181818181818
impedir,1,0.01818181818181818
personal,1,0.01818181818181818
embarazar,1,0.01818181818181818
reforma,1,0.01818181818181818
legal,1,0.01818181818181818
político,1,0.01818181818181818
vaticano,1,0.01818181818181818
interés,1,0.01818181818181818
amenazar,1,0.01818181818181818
impulsar,1,0.01818181818181818
francés,1,0.01818181818181818
postura,1,0.01818181818181818
comando,1,0.01818181818181818
hostigar,1,0.01818181818181818
culpabilicen,1,0.01818181818181818
despenalizar,1,0.01818181818181818
propaganda,1,0.01818181818181818
encabezar,1,0.01818181818181818
mary,1,0.01818181818181818
ann,1,0.01818181818181818
glendon,1,0.01818181818181818
jurista,1,0.01818181818181818
norteamericano,1,0.01818181818181818
delegación,1,0.01818181818181818
gubernamental,1,0.01818181818181818
cirugía,1,0.01818181818181818
feto,1,0.01818181818181818
fundamentalista,1,0.01818181818181818
penetrar,1,0.01818181818181818
