Respuesta,Frecuencia,Asociación
mujer,51,0.02285970416853429
método,25,0.011205737337516808
demanda,16,0.007171671896010758
ciento,16,0.007171671896010758
planificación,14,0.0062752129090094125
población,13,0.00582698341550874
servicio,13,0.00582698341550874
desear,12,0.005378753922008068
salud,11,0.004930524428507396
utilizar,11,0.004930524428507396
emplear,11,0.004930524428507396
información,10,0.0044822949350067235
rural,10,0.0044822949350067235
edad,9,0.004034065441506051
embarazo,9,0.004034065441506051
práctica,9,0.004034065441506051
familiar,9,0.004034065441506051
condón,9,0.004034065441506051
pobre,9,0.004034065441506051
deber,8,0.003585835948005379
año,8,0.003585835948005379
joven,8,0.003585835948005379
condición,8,0.003585835948005379
considerar,8,0.003585835948005379
análisis,7,0.0031376064545047063
mostrar,7,0.0031376064545047063
1,7,0.0031376064545047063
método_anticonceptivo,7,0.0031376064545047063
reproductivo,7,0.0031376064545047063
unir,7,0.0031376064545047063
efecto,7,0.0031376064545047063
embarazar,7,0.0031376064545047063
anticoncepción,7,0.0031376064545047063
orientación,7,0.0031376064545047063
1995,7,0.0031376064545047063
conocimiento,6,0.002689376961004034
sexual,6,0.002689376961004034
grupo,6,0.002689376961004034
usuario,6,0.002689376961004034
decidir,6,0.002689376961004034
razón,6,0.002689376961004034
oral,6,0.002689376961004034
5,6,0.002689376961004034
resultado,6,0.002689376961004034
satisfacer,6,0.002689376961004034
existir,5,0.0022411474675033617
riesgo,5,0.0022411474675033617
estudio,5,0.0022411474675033617
do,5,0.0022411474675033617
recibir,5,0.0022411474675033617
urbano,5,0.0022411474675033617
observar,5,0.0022411474675033617
sida,5,0.0022411474675033617
esterilización,5,0.0022411474675033617
fértil,5,0.0022411474675033617
oferta,5,0.0022411474675033617
país,4,0.0017929179740026895
programa,4,0.0017929179740026895
organización,4,0.0017929179740026895
disponible,4,0.0017929179740026895
público,4,0.0017929179740026895
componer,4,0.0017929179740026895
importante,4,0.0017929179740026895
acceso,4,0.0017929179740026895
pensar,4,0.0017929179740026895
obtener,4,0.0017929179740026895
nivel,4,0.0017929179740026895
incluir,4,0.0017929179740026895
importar,4,0.0017929179740026895
ofrecer,4,0.0017929179740026895
porcentaje,4,0.0017929179740026895
analizar,4,0.0017929179740026895
encuesta,4,0.0017929179740026895
chico,4,0.0017929179740026895
aceptar,4,0.0017929179740026895
quedar,4,0.0017929179740026895
proporción,4,0.0017929179740026895
varón,4,0.0017929179740026895
píldora,4,0.0017929179740026895
nacimiento,4,0.0017929179740026895
moderno,4,0.0017929179740026895
nsnc,4,0.0017929179740026895
fecundidad,4,0.0017929179740026895
ascender,4,0.0017929179740026895
especialmente,4,0.0017929179740026895
consejería,4,0.0017929179740026895
vida_sexual,4,0.0017929179740026895
proponer,3,0.001344688480502017
trabajo,3,0.001344688480502017
estudiar,3,0.001344688480502017
méxico,3,0.001344688480502017
problema,3,0.001344688480502017
elemento,3,0.001344688480502017
contar,3,0.001344688480502017
permitir,3,0.001344688480502017
propuesta,3,0.001344688480502017
mexicano,3,0.001344688480502017
difusión,3,0.001344688480502017
presentar,3,0.001344688480502017
cualquiera,3,0.001344688480502017
momento,3,0.001344688480502017
resultar,3,0.001344688480502017
niño,3,0.001344688480502017
distribución,3,0.001344688480502017
implicar,3,0.001344688480502017
pasar,3,0.001344688480502017
caso,3,0.001344688480502017
evitar,3,0.001344688480502017
respuesta,3,0.001344688480502017
