Respuesta,Frecuencia,Asociación
himen,2,0.037037037037037035
estudiar,1,0.018518518518518517
conocimiento,1,0.018518518518518517
particular,1,0.018518518518518517
forma,1,0.018518518518518517
constituir,1,0.018518518518518517
nacional,1,0.018518518518518517
estudio,1,0.018518518518518517
proporcionar,1,0.018518518518518517
importante,1,0.018518518518518517
dato,1,0.018518518518518517
contexto,1,0.018518518518518517
clasificación,1,0.018518518518518517
establecer,1,0.018518518518518517
anatomía,1,0.018518518518518517
cuestión,1,0.018518518518518517
femenino,1,0.018518518518518517
cambio,1,0.018518518518518517
considerar,1,0.018518518518518517
médico,1,0.018518518518518517
existencia,1,0.018518518518518517
romper,1,0.018518518518518517
teoría,1,0.018518518518518517
niñez,1,0.018518518518518517
pubertad,1,0.018518518518518517
genital,1,0.018518518518518517
lograr,1,0.018518518518518517
afirmar,1,0.018518518518518517
sorprender,1,0.018518518518518517
formación,1,0.018518518518518517
puesto,1,0.018518518518518517
falta,1,0.018518518518518517
engañar,1,0.018518518518518517
suministrar,1,0.018518518518518517
ausencia,1,0.018518518518518517
flor,1,0.018518518518518517
francisco,1,0.018518518518518517
intacto,1,0.018518518518518517
confundir,1,0.018518518518518517
apariencia,1,0.018518518518518517
fácilmente,1,0.018518518518518517
adultez,1,0.018518518518518517
imperforado,1,0.018518518518518517
troncoso,1,0.018518518518518517
incontinencia,1,0.018518518518518517
herradura,1,0.018518518518518517
biperforar,1,0.018518518518518517
obturar,1,0.018518518518518517
trifoliado,1,0.018518518518518517
multifoliado,1,0.018518518518518517
coroliforme,1,0.018518518518518517
minuciosamente,1,0.018518518518518517
1718,1,0.018518518518518517
