Respuesta,Frecuencia,Asociación
encontrar,1,0.058823529411764705
mayoría,1,0.058823529411764705
cualquiera,1,0.058823529411764705
mínimo,1,0.058823529411764705
joven,1,0.058823529411764705
adulto,1,0.058823529411764705
estimulación,1,0.058823529411764705
mano,1,0.058823529411764705
adolescente,1,0.058823529411764705
hombre,1,0.058823529411764705
directo,1,0.058823529411764705
causar,1,0.058823529411764705
erección,1,0.058823529411764705
peneano,1,0.058823529411764705
pantalón,1,0.058823529411764705
virtualmente,1,0.058823529411764705
toque,1,0.058823529411764705
