Respuesta,Frecuencia,Asociación
persona,6,0.016304347826086956
amor,5,0.01358695652173913
sexual,3,0.008152173913043478
año,3,0.008152173913043478
definir,3,0.008152173913043478
relación,3,0.008152173913043478
inequívoco,3,0.008152173913043478
sexo,3,0.008152173913043478
heterosexual,3,0.008152173913043478
mujer,3,0.008152173913043478
término,2,0.005434782608695652
explicar,2,0.005434782608695652
deber,2,0.005434782608695652
existir,2,0.005434782608695652
factor,2,0.005434782608695652
punto,2,0.005434782608695652
consistir,2,0.005434782608695652
origen,2,0.005434782608695652
representar,2,0.005434782608695652
distinto,2,0.005434782608695652
expresión,2,0.005434782608695652
relación_sexual,2,0.005434782608695652
orientación_sexual,2,0.005434782608695652
femenino,2,0.005434782608695652
pareja,2,0.005434782608695652
creer,2,0.005434782608695652
cosa,2,0.005434782608695652
físico,2,0.005434782608695652
síntoma,2,0.005434782608695652
signo,2,0.005434782608695652
tiempo,2,0.005434782608695652
gustar,2,0.005434782608695652
hombre,2,0.005434782608695652
do,2,0.005434782608695652
deseo,2,0.005434782608695652
afectivo,2,0.005434782608695652
erótico,2,0.005434782608695652
función,2,0.005434782608695652
pornografía,2,0.005434782608695652
resultado,2,0.005434782608695652
descubrir,2,0.005434782608695652
parafilia,2,0.005434782608695652
ninos,2,0.005434782608695652
artículo,1,0.002717391304347826
trabajo,1,0.002717391304347826
texto,1,0.002717391304347826
proceso,1,0.002717391304347826
etcétera,1,0.002717391304347826
específico,1,0.002717391304347826
humano,1,0.002717391304347826
social,1,0.002717391304347826
construcción,1,0.002717391304347826
contar,1,0.002717391304347826
claridad,1,0.002717391304347826
concepto,1,0.002717391304347826
estructurar,1,0.002717391304347826
suponer,1,0.002717391304347826
educación,1,0.002717391304347826
forma,1,0.002717391304347826
relacionar,1,0.002717391304347826
grupo,1,0.002717391304347826
desarrollo,1,0.002717391304347826
estudio,1,0.002717391304347826
etapa,1,0.002717391304347826
documento,1,0.002717391304347826
producto,1,0.002717391304347826
depender,1,0.002717391304347826
lugar,1,0.002717391304347826
carácter,1,0.002717391304347826
secundario,1,0.002717391304347826
preparatorio,1,0.002717391304347826
adulto,1,0.002717391304347826
juego,1,0.002717391304347826
mostrar,1,0.002717391304347826
asociación,1,0.002717391304347826
3,1,0.002717391304347826
integrar,1,0.002717391304347826
formato,1,0.002717391304347826
propósito,1,0.002717391304347826
abarcar,1,0.002717391304347826
biológico,1,0.002717391304347826
cuerpo,1,0.002717391304347826
objeto,1,0.002717391304347826
incluir,1,0.002717391304347826
orgasmo,1,0.002717391304347826
fantasía_sexual,1,0.002717391304347826
rol,1,0.002717391304347826
profundo,1,0.002717391304347826
diferencia,1,0.002717391304347826
heterosexualidad,1,0.002717391304347826
actividad,1,0.002717391304347826
coprofilia,1,0.002717391304347826
urofilia,1,0.002717391304347826
saliromania,1,0.002717391304347826
zoofilia,1,0.002717391304347826
clasificar,1,0.002717391304347826
comportamiento,1,0.002717391304347826
ii17,1,0.002717391304347826
individuo,1,0.002717391304347826
entrar,1,0.002717391304347826
versar,1,0.002717391304347826
ejemplo,1,0.002717391304347826
bastar,1,0.002717391304347826
convivencia,1,0.002717391304347826
capaz,1,0.002717391304347826
convivir,1,0.002717391304347826
agotar,1,0.002717391304347826
experiencia,1,0.002717391304347826
eróticogenital,1,0.002717391304347826
antagonismo,1,0.002717391304347826
efecto,1,0.002717391304347826
homosexualidad,1,0.002717391304347826
referir,1,0.002717391304347826
eróticoafectiva,1,0.002717391304347826
asumir,1,0.002717391304347826
ley,1,0.002717391304347826
circulación,1,0.002717391304347826
sistema,1,0.002717391304347826
sexogénero,1,0.002717391304347826
preciar,1,0.002717391304347826
fisiológico,1,0.002717391304347826
incidir,1,0.002717391304347826
trascendente,1,0.002717391304347826
climaterio,1,0.002717391304347826
mutuo,1,0.002717391304347826
global,1,0.002717391304347826
