Respuesta,Frecuencia,Asociación
encontrar,3,0.022727272727272728
actividad,3,0.022727272727272728
conducta,3,0.022727272727272728
sexual,2,0.015151515151515152
cuerpo,2,0.015151515151515152
persona,2,0.015151515151515152
adolescente,2,0.015151515151515152
compañero,2,0.015151515151515152
reportar,2,0.015151515151515152
caricia,2,0.015151515151515152
cuidado,2,0.015151515151515152
basar,1,0.007575757575757576
específico,1,0.007575757575757576
social,1,0.007575757575757576
mayoría,1,0.007575757575757576
relacionar,1,0.007575757575757576
variedad,1,0.007575757575757576
investigación,1,0.007575757575757576
año,1,0.007575757575757576
etapa,1,0.007575757575757576
dato,1,0.007575757575757576
pensar,1,0.007575757575757576
tipo,1,0.007575757575757576
preparatorio,1,0.007575757575757576
búsqueda,1,0.007575757575757576
referente,1,0.007575757575757576
utilizar,1,0.007575757575757576
establecer,1,0.007575757575757576
realidad,1,0.007575757575757576
querer,1,0.007575757575757576
objeto,1,0.007575757575757576
actividad_sexual,1,0.007575757575757576
masturbación,1,0.007575757575757576
placer,1,0.007575757575757576
relación_sexual,1,0.007575757575757576
variante,1,0.007575757575757576
diferencia,1,0.007575757575757576
atracción,1,0.007575757575757576
relación,1,0.007575757575757576
pareja,1,0.007575757575757576
escuela,1,0.007575757575757576
sociedad,1,0.007575757575757576
edad,1,0.007575757575757576
referencia,1,0.007575757575757576
privar,1,0.007575757575757576
identificar,1,0.007575757575757576
apoyar,1,0.007575757575757576
determinar,1,0.007575757575757576
condición,1,0.007575757575757576
posición,1,0.007575757575757576
sentir,1,0.007575757575757576
éxito,1,0.007575757575757576
aumentar,1,0.007575757575757576
cualitativo,1,0.007575757575757576
experiencia,1,0.007575757575757576
adolescencia,1,0.007575757575757576
menor,1,0.007575757575757576
cerca,1,0.007575757575757576
afectivo,1,0.007575757575757576
instinto,1,0.007575757575757576
responsable,1,0.007575757575757576
practicar,1,0.007575757575757576
existencia,1,0.007575757575757576
mujer,1,0.007575757575757576
infancia,1,0.007575757575757576
pubertad,1,0.007575757575757576
45,1,0.007575757575757576
experimentación,1,0.007575757575757576
autosatisfacción,1,0.007575757575757576
predominantemente,1,0.007575757575757576
únicamente,1,0.007575757575757576
interrelación,1,0.007575757575757576
fantasía,1,0.007575757575757576
erótico,1,0.007575757575757576
reproductivo,1,0.007575757575757576
hetero,1,0.007575757575757576
homo,1,0.007575757575757576
bestial,1,0.007575757575757576
configurar,1,0.007575757575757576
allá,1,0.007575757575757576
signo,1,0.007575757575757576
traducir,1,0.007575757575757576
exhibir,1,0.007575757575757576
observar,1,0.007575757575757576
besar,1,0.007575757575757576
indistintamente,1,0.007575757575757576
soler,1,0.007575757575757576
frecuencia,1,0.007575757575757576
cuarto,1,0.007575757575757576
interferir,1,0.007575757575757576
impedir,1,0.007575757575757576
realización,1,0.007575757575757576
cotidiano,1,0.007575757575757576
reunión,1,0.007575757575757576
inclusive,1,0.007575757575757576
dormir,1,0.007575757575757576
erotismo,1,0.007575757575757576
imaginar,1,0.007575757575757576
beso,1,0.007575757575757576
vínculo,1,0.007575757575757576
beneficio,1,0.007575757575757576
ideal,1,0.007575757575757576
hombre,1,0.007575757575757576
tardío,1,0.007575757575757576
continuar,1,0.007575757575757576
avanzar,1,0.007575757575757576
configuración,1,0.007575757575757576
dual,1,0.007575757575757576
encuentro,1,0.007575757575757576
preferir,1,0.007575757575757576
pedir,1,0.007575757575757576
terapeútico,1,0.007575757575757576
correlación,1,0.007575757575757576
presencia,1,0.007575757575757576
disfuncióny,1,0.007575757575757576
ausencia,1,0.007575757575757576
previo,1,0.007575757575757576
ocupación,1,0.007575757575757576
