Respuesta,Frecuencia,Asociación
sexual,7,0.012915129151291513
social,4,0.007380073800738007
factor,4,0.007380073800738007
1974,4,0.007380073800738007
ansiedad,4,0.007380073800738007
perlman,4,0.007380073800738007
encontrar,3,0.005535055350553505
rol,3,0.005535055350553505
relación,3,0.005535055350553505
valor,3,0.005535055350553505
resultado,3,0.005535055350553505
experiencia,3,0.005535055350553505
considerar,3,0.005535055350553505
expectativa,3,0.005535055350553505
inseguridad,3,0.005535055350553505
parecer,3,0.005535055350553505
inventario,3,0.005535055350553505
término,2,0.0036900369003690036
explicar,2,0.0036900369003690036
definición,2,0.0036900369003690036
deber,2,0.0036900369003690036
programa,2,0.0036900369003690036
educación,2,0.0036900369003690036
riesgo,2,0.0036900369003690036
salud,2,0.0036900369003690036
relacionar,2,0.0036900369003690036
interacción,2,0.0036900369003690036
estudio,2,0.0036900369003690036
análisis,2,0.0036900369003690036
público,2,0.0036900369003690036
tipo,2,0.0036900369003690036
niño,2,0.0036900369003690036
delimitar,2,0.0036900369003690036
denominar,2,0.0036900369003690036
integrar,2,0.0036900369003690036
registro,2,0.0036900369003690036
cuerpo,2,0.0036900369003690036
identidad,2,0.0036900369003690036
alto,2,0.0036900369003690036
condición,2,0.0036900369003690036
do,2,0.0036900369003690036
variable,2,0.0036900369003690036
futuro,2,0.0036900369003690036
adolescente,2,0.0036900369003690036
menor,2,0.0036900369003690036
mental,2,0.0036900369003690036
norma,2,0.0036900369003690036
derecho,2,0.0036900369003690036
mujer,2,0.0036900369003690036
mantener,2,0.0036900369003690036
permisividad,2,0.0036900369003690036
liberación,2,0.0036900369003690036
amor,2,0.0036900369003690036
personal,2,0.0036900369003690036
miedo,2,0.0036900369003690036
responsabilidad,2,0.0036900369003690036
decisión,2,0.0036900369003690036
1978,2,0.0036900369003690036
suicidio,2,0.0036900369003690036
capaz,2,0.0036900369003690036
ciudadano,2,0.0036900369003690036
grave,2,0.0036900369003690036
destruir,2,0.0036900369003690036
soler,2,0.0036900369003690036
cuestionario,2,0.0036900369003690036
dimensión,2,0.0036900369003690036
apertura,2,0.0036900369003690036
competencia,2,0.0036900369003690036
