Respuesta,Frecuencia,Asociación
sexo,5,0.012224938875305624
utilizar,5,0.012224938875305624
sexual,4,0.009779951100244499
condón,3,0.007334963325183374
simbólico,3,0.007334963325183374
tema,2,0.004889975550122249
deber,2,0.004889975550122249
general,2,0.004889975550122249
sujeto,2,0.004889975550122249
campo,2,0.004889975550122249
goce,2,0.004889975550122249
género,2,0.004889975550122249
edad,2,0.004889975550122249
sector,2,0.004889975550122249
lugar,2,0.004889975550122249
institucional,2,0.004889975550122249
romper,2,0.004889975550122249
tiempo,2,0.004889975550122249
práctica,2,0.004889975550122249
mecánico,2,0.004889975550122249
femenino,2,0.004889975550122249
evitar,2,0.004889975550122249
intercambio,2,0.004889975550122249
relación_sexual,2,0.004889975550122249
cliente,2,0.004889975550122249
psicológico,2,0.004889975550122249
discusión,2,0.004889975550122249
crear,2,0.004889975550122249
hombre,2,0.004889975550122249
estudiante,2,0.004889975550122249
hijo,2,0.004889975550122249
investigación,2,0.004889975550122249
hormonal,2,0.004889975550122249
terminología,1,0.0024449877750611247
sexualidad,1,0.0024449877750611247
artículo,1,0.0024449877750611247
trabajo,1,0.0024449877750611247
méxico,1,0.0024449877750611247
explicar,1,0.0024449877750611247
seguir,1,0.0024449877750611247
descansar,1,0.0024449877750611247
método,1,0.0024449877750611247
creación,1,0.0024449877750611247
definición,1,0.0024449877750611247
palabra,1,0.0024449877750611247
específico,1,0.0024449877750611247
perspectiva,1,0.0024449877750611247
humano,1,0.0024449877750611247
encontrar,1,0.0024449877750611247
social,1,0.0024449877750611247
cultural,1,0.0024449877750611247
conocimiento,1,0.0024449877750611247
contar,1,0.0024449877750611247
recurso,1,0.0024449877750611247
facilitar,1,0.0024449877750611247
consenso,1,0.0024449877750611247
integración,1,0.0024449877750611247
claridad,1,0.0024449877750611247
concepto,1,0.0024449877750611247
permitir,1,0.0024449877750611247
entendimiento,1,0.0024449877750611247
común,1,0.0024449877750611247
comunicación,1,0.0024449877750611247
existente,1,0.0024449877750611247
especialista,1,0.0024449877750611247
población,1,0.0024449877750611247
necesario,1,0.0024449877750611247
contemplar,1,0.0024449877750611247
socorrer,1,0.0024449877750611247
erótico,1,0.0024449877750611247
pensar,1,0.0024449877750611247
lacan,1,0.0024449877750611247
bello,1,0.0024449877750611247
dique,1,0.0024449877750611247
acotar,1,0.0024449877750611247
separar,1,0.0024449877750611247
deseo,1,0.0024449877750611247
detener,1,0.0024449877750611247
innombrable,1,0.0024449877750611247
radical,1,0.0024449877750611247
medida,1,0.0024449877750611247
destrucción,1,0.0024449877750611247
absoluto,1,0.0024449877750611247
presentar,1,0.0024449877750611247
envolver,1,0.0024449877750611247
central,1,0.0024449877750611247
carácter,1,0.0024449877750611247
inaccesibilidad,1,0.0024449877750611247
obscuridad,1,0.0024449877750611247
opacidad,1,0.0024449877750611247
rodear,1,0.0024449877750611247
volver,1,0.0024449877750611247
acceso,1,0.0024449877750611247
difícil,1,0.0024449877750611247
inaccesible,1,0.0024449877750611247
14,1,0.0024449877750611247
filtrar,1,0.0024449877750611247
público,1,0.0024449877750611247
gobierno,1,0.0024449877750611247
local,1,0.0024449877750611247
momento,1,0.0024449877750611247
obstante,1,0.0024449877750611247
agenda,1,0.0024449877750611247
propuesta,1,0.0024449877750611247
demográfico,1,0.0024449877750611247
informalidad,1,0.0024449877750611247
convertir,1,0.0024449877750611247
nicho,1,0.0024449877750611247
natural,1,0.0024449877750611247
mujer,1,0.0024449877750611247
mano,1,0.0024449877750611247
obra,1,0.0024449877750611247
infantil,1,0.0024449877750611247
1990,1,0.0024449877750611247
informal,1,0.0024449877750611247
manifestar,1,0.0024449877750611247
complejidad,1,0.0024449877750611247
versatilidad,1,0.0024449877750611247
contundente,1,0.0024449877750611247
expansión,1,0.0024449877750611247
punto,1,0.0024449877750611247
trastocar,1,0.0024449877750611247
comenzar,1,0.0024449877750611247
incorporación,1,0.0024449877750611247
circuito,1,0.0024449877750611247
mercado,1,0.0024449877750611247
globalizar,1,0.0024449877750611247
caber,1,0.0024449877750611247
añadir,1,0.0024449877750611247
incremento,1,0.0024449877750611247
idóneo,1,0.0024449877750611247
crecimiento,1,0.0024449877750611247
exponencial,1,0.0024449877750611247
transgredir,1,0.0024449877750611247
legal,1,0.0024449877750611247
estimular,1,0.0024449877750611247
considerar,1,0.0024449877750611247
labor,1,0.0024449877750611247
doméstico,1,0.0024449877750611247
limitar,1,0.0024449877750611247
posibilidad,1,0.0024449877750611247
bebé,1,0.0024449877750611247
ejemplo,1,0.0024449877750611247
digitofactura,1,0.0024449877750611247
lógica,1,0.0024449877750611247
espacio,1,0.0024449877750611247
transacción,1,0.0024449877750611247
comercial,1,0.0024449877750611247
derribar,1,0.0024449877750611247
ético,1,0.0024449877750611247
comercializar,1,0.0024449877750611247
virtual,1,0.0024449877750611247
atentar,1,0.0024449877750611247
dignidad,1,0.0024449877750611247
mecanismo,1,0.0024449877750611247
instrumento,1,0.0024449877750611247
alcance,1,0.0024449877750611247
político,1,0.0024449877750611247
económico,1,0.0024449877750611247
tecnológico,1,0.0024449877750611247
crecer,1,0.0024449877750611247
diversificación,1,0.0024449877750611247
traspasar,1,0.0024449877750611247
clase,1,0.0024449877750611247
eufemismo,1,0.0024449877750611247
pobreza,1,0.0024449877750611247
forma,1,0.0024449877750611247
producir,1,0.0024449877750611247
óptica,1,0.0024449877750611247
sociedad,1,0.0024449877750611247
occidental,1,0.0024449877750611247
peligroso,1,0.0024449877750611247
destructivo,1,0.0024449877750611247
pecaminoso,1,0.0024449877750611247
independientemente,1,0.0024449877750611247
existir,1,0.0024449877750611247
difusión,1,0.0024449877750611247
imagen,1,0.0024449877750611247
contenido,1,0.0024449877750611247
explícitamente,1,0.0024449877750611247
contexto,1,0.0024449877750611247
comprender,1,0.0024449877750611247
museo,1,0.0024449877750611247
exhibir,1,0.0024449877750611247
grupo,1,0.0024449877750611247
vivir,1,0.0024449877750611247
margen,1,0.0024449877750611247
sistema,1,0.0024449877750611247
3111,1,0.0024449877750611247
proteger,1,0.0024449877750611247
correctamente,1,0.0024449877750611247
látex,1,0.0024449877750611247
masculino,1,0.0024449877750611247
poliuretano,1,0.0024449877750611247
secreción,1,0.0024449877750611247
manoanovagina,1,0.0024449877750611247
objeto,1,0.0024449877750611247
contaminar,1,0.0024449877750611247
sangre,1,0.0024449877750611247
correcto,1,0.0024449877750611247
sistemático,1,0.0024449877750611247
líquido,1,0.0024449877750611247
