Respuesta,Frecuencia,Asociación
cliente,5,0.022321428571428572
referir,4,0.017857142857142856
beso,4,0.017857142857142856
mayoría,3,0.013392857142857142
querer,3,0.013392857142857142
dejar,3,0.013392857142857142
creer,3,0.013392857142857142
experiencia,3,0.013392857142857142
8,3,0.013392857142857142
sexo,3,0.013392857142857142
gf,3,0.013392857142857142
1,2,0.008928571428571428
3,2,0.008928571428571428
4,2,0.008928571428571428
incluir,2,0.008928571428571428
anal,2,0.008928571428571428
mano,2,0.008928571428571428
10,2,0.008928571428571428
observar,2,0.008928571428571428
compañero,2,0.008928571428571428
disfrutar,2,0.008928571428571428
pagar,2,0.008928571428571428
postura,2,0.008928571428571428
rechazo,2,0.008928571428571428
caricia,2,0.008928571428571428
sexo_oral,2,0.008928571428571428
mordiendoporque,2,0.008928571428571428
encuerar,2,0.008928571428571428
291,2,0.008928571428571428
n48,2,0.008928571428571428
bésame,2,0.008928571428571428
abrazar,2,0.008928571428571428
trabajo,1,0.004464285714285714
elemento,1,0.004464285714285714
contar,1,0.004464285714285714
claridad,1,0.004464285714285714
común,1,0.004464285714285714
existir,1,0.004464285714285714
caer,1,0.004464285714285714
forma,1,0.004464285714285714
organización,1,0.004464285714285714
salud,1,0.004464285714285714
año,1,0.004464285714285714
estudio,1,0.004464285714285714
2,1,0.004464285714285714
requerir,1,0.004464285714285714
lugar,1,0.004464285714285714
resultar,1,0.004464285714285714
pensar,1,0.004464285714285714
niño,1,0.004464285714285714
joven,1,0.004464285714285714
juego,1,0.004464285714285714
mostrar,1,0.004464285714285714
llegar,1,0.004464285714285714
idea,1,0.004464285714285714
instituto,1,0.004464285714285714
describir,1,0.004464285714285714
cuerpo,1,0.004464285714285714
masturbación,1,0.004464285714285714
placer,1,0.004464285714285714
relación_sexual,1,0.004464285714285714
relación,1,0.004464285714285714
libro,1,0.004464285714285714
privar,1,0.004464285714285714
5,1,0.004464285714285714
persona,1,0.004464285714285714
volver,1,0.004464285714285714
eliminar,1,0.004464285714285714
analizar,1,0.004464285714285714
oportunidad,1,0.004464285714285714
adolescente,1,0.004464285714285714
aumentar,1,0.004464285714285714
conducta,1,0.004464285714285714
práctica,1,0.004464285714285714
salir,1,0.004464285714285714
encuesta,1,0.004464285714285714
erróneo,1,0.004464285714285714
menor,1,0.004464285714285714
20,1,0.004464285714285714
deseo,1,0.004464285714285714
mujer,1,0.004464285714285714
niñez,1,0.004464285714285714
autoerótico,1,0.004464285714285714
manifestar,1,0.004464285714285714
gente,1,0.004464285714285714
participar,1,0.004464285714285714
mitad,1,0.004464285714285714
padre,1,0.004464285714285714
admitir,1,0.004464285714285714
pensamiento,1,0.004464285714285714
sexualmente,1,0.004464285714285714
expresar,1,0.004464285714285714
integrante,1,0.004464285714285714
amor,1,0.004464285714285714
penetración,1,0.004464285714285714
participante,1,0.004464285714285714
pequeño,1,0.004464285714285714
engaño,1,0.004464285714285714
atención,1,0.004464285714285714
preferir,1,0.004464285714285714
profesional,1,0.004464285714285714
señalar,1,0.004464285714285714
acabar,1,0.004464285714285714
leer,1,0.004464285714285714
inmediato,1,0.004464285714285714
reaccionar,1,0.004464285714285714
descubrimiento,1,0.004464285714285714
interés,1,0.004464285714285714
forzar,1,0.004464285714285714
12,1,0.004464285714285714
alguien,1,0.004464285714285714
capaz,1,0.004464285714285714
39,1,0.004464285714285714
empezar,1,0.004464285714285714
cielo,1,0.004464285714285714
vínculo,1,0.004464285714285714
solicitar,1,0.004464285714285714
siquiera,1,0.004464285714285714
relativamente,1,0.004464285714285714
labio,1,0.004464285714285714
tercio,1,0.004464285714285714
reportar,1,0.004464285714285714
241,1,0.004464285714285714
nieve,1,0.004464285714285714
excitar,1,0.004464285714285714
soler,1,0.004464285714285714
583,1,0.004464285714285714
321,1,0.004464285714285714
gustar,1,0.004464285714285714
232,1,0.004464285714285714
amistad,1,0.004464285714285714
36,1,0.004464285714285714
pasión,1,0.004464285714285714
tocar,1,0.004464285714285714
terminar,1,0.004464285714285714
placentero,1,0.004464285714285714
master,1,0.004464285714285714
johnson,1,0.004464285714285714
puro,1,0.004464285714285714
interior,1,0.004464285714285714
jersey,1,0.004464285714285714
juego_sexual,1,0.004464285714285714
jamás,1,0.004464285714285714
seducción,1,0.004464285714285714
romántico,1,0.004464285714285714
gusto,1,0.004464285714285714
boca,1,0.004464285714285714
acariciar,1,0.004464285714285714
atraer,1,0.004464285714285714
encarar,1,0.004464285714285714
trabajador_sexual,1,0.004464285714285714
coerción,1,0.004464285714285714
brindar,1,0.004464285714285714
imposibilidad,1,0.004464285714285714
174,1,0.004464285714285714
42,1,0.004464285714285714
exhibir,1,0.004464285714285714
indistintamente,1,0.004464285714285714
tolerar,1,0.004464285714285714
explicitar,1,0.004464285714285714
61,1,0.004464285714285714
mamar,1,0.004464285714285714
repugnante,1,0.004464285714285714
camden,1,0.004464285714285714
621,1,0.004464285714285714
copo,1,0.004464285714285714
condescendiente,1,0.004464285714285714
dama,1,0.004464285714285714
deleite,1,0.004464285714285714
611,1,0.004464285714285714
360,1,0.004464285714285714
379,1,0.004464285714285714
bailar,1,0.004464285714285714
transando,1,0.004464285714285714
mexfam,1,0.004464285714285714
enterado,1,0.004464285714285714
asentimiento,1,0.004464285714285714
