Respuesta,Frecuencia,Asociación
sexualidad,5,0.008741258741258742
ciencia,4,0.006993006993006993
cultura,4,0.006993006993006993
determinar,4,0.006993006993006993
mujer,4,0.006993006993006993
tema,3,0.005244755244755245
humano,3,0.005244755244755245
salud,3,0.005244755244755245
importante,3,0.005244755244755245
género,3,0.005244755244755245
sexo,3,0.005244755244755245
político,3,0.005244755244755245
dignidad,3,0.005244755244755245
jornada,3,0.005244755244755245
its,3,0.005244755244755245
gradualista,3,0.005244755244755245
tecnología,2,0.0034965034965034965
proceso,2,0.0034965034965034965
abordar,2,0.0034965034965034965
cultural,2,0.0034965034965034965
existir,2,0.0034965034965034965
información,2,0.0034965034965034965
programa,2,0.0034965034965034965
educación,2,0.0034965034965034965
sexual,2,0.0034965034965034965
reunir,2,0.0034965034965034965
investigación,2,0.0034965034965034965
grupo,2,0.0034965034965034965
año,2,0.0034965034965034965
desarrollo,2,0.0034965034965034965
aplicación,2,0.0034965034965034965
dato,2,0.0034965034965034965
técnica,2,0.0034965034965034965
universidad,2,0.0034965034965034965
4,2,0.0034965034965034965
posterior,2,0.0034965034965034965
exponer,2,0.0034965034965034965
caso,2,0.0034965034965034965
dividir,2,0.0034965034965034965
anatomía,2,0.0034965034965034965
orgasmo,2,0.0034965034965034965
enfermedad,2,0.0034965034965034965
posibilidad,2,0.0034965034965034965
persona,2,0.0034965034965034965
condición,2,0.0034965034965034965
consecuencia,2,0.0034965034965034965
analizar,2,0.0034965034965034965
asimismo,2,0.0034965034965034965
autónomo,2,0.0034965034965034965
cambio,2,0.0034965034965034965
adolescente,2,0.0034965034965034965
resultado,2,0.0034965034965034965
asociar,2,0.0034965034965034965
8,2,0.0034965034965034965
psicología,2,0.0034965034965034965
aportar,2,0.0034965034965034965
concreto,2,0.0034965034965034965
influencia,2,0.0034965034965034965
hombre,2,0.0034965034965034965
historia,2,0.0034965034965034965
fisiología,2,0.0034965034965034965
relevancia,2,0.0034965034965034965
ético,2,0.0034965034965034965
embrión,2,0.0034965034965034965
reciente,2,0.0034965034965034965
moderno,2,0.0034965034965034965
sustentar,2,0.0034965034965034965
internacional,2,0.0034965034965034965
celebrar,2,0.0034965034965034965
endometrio,2,0.0034965034965034965
cultivo,2,0.0034965034965034965
enraizar,2,0.0034965034965034965
antropología,2,0.0034965034965034965
metafísico,2,0.0034965034965034965
sociología,2,0.0034965034965034965
proteína,2,0.0034965034965034965
celular,2,0.0034965034965034965
paradigmático,2,0.0034965034965034965
nutrición,2,0.0034965034965034965
microorganismo,2,0.0034965034965034965
genética,2,0.0034965034965034965
cigoto,2,0.0034965034965034965
desdiferenciación,2,0.0034965034965034965
apodíctico,2,0.0034965034965034965
epigénesis,2,0.0034965034965034965
serología,2,0.0034965034965034965
inmunoflorescencia,2,0.0034965034965034965
biopsia,2,0.0034965034965034965
odontología,2,0.0034965034965034965
298,2,0.0034965034965034965
química,2,0.0034965034965034965
paraninfo,2,0.0034965034965034965
alicante,2,0.0034965034965034965
convenio,2,0.0034965034965034965
recombinante,2,0.0034965034965034965
artículo,1,0.0017482517482517483
proponer,1,0.0017482517482517483
trabajo,1,0.0017482517482517483
término,1,0.0017482517482517483
estudiar,1,0.0017482517482517483
méxico,1,0.0017482517482517483
texto,1,0.0017482517482517483
seguir,1,0.0017482517482517483
método,1,0.0017482517482517483
palabra,1,0.0017482517482517483
i,1,0.0017482517482517483
diverso,1,0.0017482517482517483
elemento,1,0.0017482517482517483
social,1,0.0017482517482517483
construcción,1,0.0017482517482517483
conocimiento,1,0.0017482517482517483
concepto,1,0.0017482517482517483
permitir,1,0.0017482517482517483
entendimiento,1,0.0017482517482517483
común,1,0.0017482517482517483
deber,1,0.0017482517482517483
población,1,0.0017482517482517483
necesario,1,0.0017482517482517483
actual,1,0.0017482517482517483
propuesta,1,0.0017482517482517483
asignatura,1,0.0017482517482517483
enseñanza,1,0.0017482517482517483
forma,1,0.0017482517482517483
riesgo,1,0.0017482517482517483
avance,1,0.0017482517482517483
presentar,1,0.0017482517482517483
nacional,1,0.0017482517482517483
cabo,1,0.0017482517482517483
modelo,1,0.0017482517482517483
estudio,1,0.0017482517482517483
análisis,1,0.0017482517482517483
cualquiera,1,0.0017482517482517483
momento,1,0.0017482517482517483
relevante,1,0.0017482517482517483
2,1,0.0017482517482517483
producto,1,0.0017482517482517483
público,1,0.0017482517482517483
presente,1,0.0017482517482517483
definir,1,0.0017482517482517483
lugar,1,0.0017482517482517483
obra,1,0.0017482517482517483
secundario,1,0.0017482517482517483
maestro,1,0.0017482517482517483
finalmente,1,0.0017482517482517483
publicar,1,0.0017482517482517483
editorial,1,0.0017482517482517483
adecuar,1,0.0017482517482517483
mostrar,1,0.0017482517482517483
camino,1,0.0017482517482517483
1,1,0.0017482517482517483
actualización,1,0.0017482517482517483
estrategia,1,0.0017482517482517483
idea,1,0.0017482517482517483
autor,1,0.0017482517482517483
3,1,0.0017482517482517483
previamente,1,0.0017482517482517483
separar,1,0.0017482517482517483
utilizar,1,0.0017482517482517483
duda,1,0.0017482517482517483
establecer,1,0.0017482517482517483
especialidad,1,0.0017482517482517483
diversidad,1,0.0017482517482517483
describir,1,0.0017482517482517483
diseñar,1,0.0017482517482517483
estructura,1,0.0017482517482517483
visión,1,0.0017482517482517483
fundamento,1,0.0017482517482517483
biológico,1,0.0017482517482517483
control,1,0.0017482517482517483
medicina,1,0.0017482517482517483
psicológico,1,0.0017482517482517483
incluir,1,0.0017482517482517483
actividad_sexual,1,0.0017482517482517483
relación_sexual,1,0.0017482517482517483
identidad,1,0.0017482517482517483
desarrollar,1,0.0017482517482517483
transmisión,1,0.0017482517482517483
dedicar,1,0.0017482517482517483
prevención,1,0.0017482517482517483
actividad,1,0.0017482517482517483
comportamiento,1,0.0017482517482517483
relación,1,0.0017482517482517483
individuo,1,0.0017482517482517483
escuela,1,0.0017482517482517483
familia,1,0.0017482517482517483
sociedad,1,0.0017482517482517483
tiempo,1,0.0017482517482517483
incorporar,1,0.0017482517482517483
interesar,1,0.0017482517482517483
introducir,1,0.0017482517482517483
reconocer,1,0.0017482517482517483
referencia,1,0.0017482517482517483
libro,1,0.0017482517482517483
educativo,1,0.0017482517482517483
servicio,1,0.0017482517482517483
respaldar,1,0.0017482517482517483
pregunta,1,0.0017482517482517483
iii,1,0.0017482517482517483
ofrecer,1,0.0017482517482517483
identificar,1,0.0017482517482517483
ejemplo,1,0.0017482517482517483
suficiente,1,0.0017482517482517483
dejar,1,0.0017482517482517483
pleno,1,0.0017482517482517483
frecuente,1,0.0017482517482517483
elegir,1,0.0017482517482517483
relativo,1,0.0017482517482517483
naturaleza,1,0.0017482517482517483
futuro,1,0.0017482517482517483
situación,1,0.0017482517482517483
2008,1,0.0017482517482517483
embarazo,1,0.0017482517482517483
conducta,1,0.0017482517482517483
fruto,1,0.0017482517482517483
práctica,1,0.0017482517482517483
curso,1,0.0017482517482517483
revisión,1,0.0017482517482517483
concepción,1,0.0017482517482517483
ampliar,1,0.0017482517482517483
perpetuar,1,0.0017482517482517483
mito,1,0.0017482517482517483
método_anticonceptivo,1,0.0017482517482517483
menor,1,0.0017482517482517483
inicial,1,0.0017482517482517483
considerar,1,0.0017482517482517483
físico,1,0.0017482517482517483
aborto,1,0.0017482517482517483
entender,1,0.0017482517482517483
inicio,1,0.0017482517482517483
responsable,1,0.0017482517482517483
aparecer,1,0.0017482517482517483
época,1,0.0017482517482517483
clínico,1,0.0017482517482517483
enfoque,1,0.0017482517482517483
derecho,1,0.0017482517482517483
deseo,1,0.0017482517482517483
posteriormente,1,0.0017482517482517483
repercusión,1,0.0017482517482517483
teoría,1,0.0017482517482517483
vida,1,0.0017482517482517483
únicamente,1,0.0017482517482517483
demostrar,1,0.0017482517482517483
teórico,1,0.0017482517482517483
regulación,1,0.0017482517482517483
reproductivo,1,0.0017482517482517483
f,1,0.0017482517482517483
participar,1,0.0017482517482517483
aspecto,1,0.0017482517482517483
generación,1,0.0017482517482517483
adaptar,1,0.0017482517482517483
causa,1,0.0017482517482517483
obligación,1,0.0017482517482517483
actuar,1,0.0017482517482517483
natural,1,0.0017482517482517483
sexuado,1,0.0017482517482517483
ratificar,1,0.0017482517482517483
interesante,1,0.0017482517482517483
compartir,1,0.0017482517482517483
sexualmente,1,0.0017482517482517483
continuidad,1,0.0017482517482517483
reducir,1,0.0017482517482517483
lograr,1,0.0017482517482517483
grado,1,0.0017482517482517483
penetración,1,0.0017482517482517483
frente,1,0.0017482517482517483
afirmar,1,0.0017482517482517483
atención,1,0.0017482517482517483
limitar,1,0.0017482517482517483
extremo,1,0.0017482517482517483
formación,1,0.0017482517482517483
leer,1,0.0017482517482517483
mirada,1,0.0017482517482517483
moral,1,0.0017482517482517483
reproducción,1,0.0017482517482517483
permanente,1,0.0017482517482517483
evolución,1,0.0017482517482517483
correctamente,1,0.0017482517482517483
falta,1,0.0017482517482517483
preciso,1,0.0017482517482517483
clarificar,1,0.0017482517482517483
decisión,1,0.0017482517482517483
debate,1,0.0017482517482517483
invitación,1,0.0017482517482517483
revisar,1,0.0017482517482517483
favorecer,1,0.0017482517482517483
alimentar,1,0.0017482517482517483
política,1,0.0017482517482517483
bloque,1,0.0017482517482517483
españa,1,0.0017482517482517483
nación,1,0.0017482517482517483
diciembre,1,0.0017482517482517483
polémico,1,0.0017482517482517483
especie,1,0.0017482517482517483
respeto,1,0.0017482517482517483
postura,1,0.0017482517482517483
demanda,1,0.0017482517482517483
reafirmar,1,0.0017482517482517483
implantación,1,0.0017482517482517483
genético,1,0.0017482517482517483
ejemplificar,1,0.0017482517482517483
acostumbrar,1,0.0017482517482517483
incrementar,1,0.0017482517482517483
tratamiento,1,0.0017482517482517483
fecundación,1,0.0017482517482517483
argumentación,1,0.0017482517482517483
incapaz,1,0.0017482517482517483
ambiental,1,0.0017482517482517483
secretaría,1,0.0017482517482517483
fortalecer,1,0.0017482517482517483
organismo,1,0.0017482517482517483
capítulo,1,0.0017482517482517483
fecundidad,1,0.0017482517482517483
mes,1,0.0017482517482517483
protección,1,0.0017482517482517483
distribuir,1,0.0017482517482517483
vaginal,1,0.0017482517482517483
