Respuesta,Frecuencia,Asociación
edwards,2,0.02666666666666667
problema,1,0.013333333333333334
humano,1,0.013333333333333334
deber,1,0.013333333333333334
general,1,0.013333333333333334
principalmente,1,0.013333333333333334
conjunto,1,0.013333333333333334
particular,1,0.013333333333333334
momento,1,0.013333333333333334
resultar,1,0.013333333333333334
c,1,0.013333333333333334
técnica,1,0.013333333333333334
origen,1,0.013333333333333334
desarrollar,1,0.013333333333333334
profundo,1,0.013333333333333334
diferencia,1,0.013333333333333334
función,1,0.013333333333333334
interesar,1,0.013333333333333334
peso,1,0.013333333333333334
cambio,1,0.013333333333333334
considerar,1,0.013333333333333334
julio,1,0.013333333333333334
normal,1,0.013333333333333334
científico,1,0.013333333333333334
vida,1,0.013333333333333334
hombre,1,0.013333333333333334
erótico,1,0.013333333333333334
transición,1,0.013333333333333334
continuidad,1,0.013333333333333334
individual,1,0.013333333333333334
profesor,1,0.013333333333333334
sesión,1,0.013333333333333334
ginecólogo,1,0.013333333333333334
quirúrgico,1,0.013333333333333334
moral,1,0.013333333333333334
evolución,1,0.013333333333333334
crucial,1,0.013333333333333334
1978,1,0.013333333333333334
inglaterra,1,0.013333333333333334
diciembre,1,0.013333333333333334
extraño,1,0.013333333333333334
beneficiar,1,0.013333333333333334
fecundación,1,0.013333333333333334
argumentación,1,0.013333333333333334
sustentar,1,0.013333333333333334
7,1,0.013333333333333334
1989,1,0.013333333333333334
sencillo,1,0.013333333333333334
cirujano,1,0.013333333333333334
25,1,0.013333333333333334
cortar,1,0.013333333333333334
manejar,1,0.013333333333333334
emerger,1,0.013333333333333334
diario,1,0.013333333333333334
ciertamente,1,0.013333333333333334
aclarar,1,0.013333333333333334
patrick,1,0.013333333333333334
gradual,1,0.013333333333333334
embriología,1,0.013333333333333334
blastocisto,1,0.013333333333333334
steptoe,1,0.013333333333333334
19131988,1,0.013333333333333334
robert,1,0.013333333333333334
g,1,0.013333333333333334
1925,1,0.013333333333333334
prehumano,1,0.013333333333333334
homínido,1,0.013333333333333334
localizar,1,0.013333333333333334
reconciliación,1,0.013333333333333334
clitoridianavaginal,1,0.013333333333333334
halban,1,0.013333333333333334
viena,1,0.013333333333333334
ligamento,1,0.013333333333333334
suspensorio,1,0.013333333333333334
