Respuesta,Frecuencia,Asociación
grupo,2,0.03389830508474576
muchacho,2,0.03389830508474576
venta,2,0.03389830508474576
red,1,0.01694915254237288
encontrar,1,0.01694915254237288
principio,1,0.01694915254237288
particular,1,0.01694915254237288
organización,1,0.01694915254237288
aplicación,1,0.01694915254237288
2,1,0.01694915254237288
joven,1,0.01694915254237288
casa,1,0.01694915254237288
mostrar,1,0.01694915254237288
caso,1,0.01694915254237288
cuerpo,1,0.01694915254237288
incluir,1,0.01694915254237288
desarrollar,1,0.01694915254237288
pareja,1,0.01694915254237288
servicio,1,0.01694915254237288
ofrecer,1,0.01694915254237288
cosa,1,0.01694915254237288
condición,1,0.01694915254237288
aumentar,1,0.01694915254237288
concepción,1,0.01694915254237288
clase,1,0.01694915254237288
iglesia,1,0.01694915254237288
observar,1,0.01694915254237288
utilidad,1,0.01694915254237288
hijo,1,0.01694915254237288
órgano,1,0.01694915254237288
suerte,1,0.01694915254237288
alarma,1,0.01694915254237288
resistencia,1,0.01694915254237288
vender,1,0.01694915254237288
falta,1,0.01694915254237288
regalo,1,0.01694915254237288
profano,1,0.01694915254237288
presentación,1,0.01694915254237288
noche,1,0.01694915254237288
raro,1,0.01694915254237288
pasión,1,0.01694915254237288
satisfacer,1,0.01694915254237288
soñar,1,0.01694915254237288
rito,1,0.01694915254237288
vengar,1,0.01694915254237288
cuadro,1,0.01694915254237288
ardiente,1,0.01694915254237288
ciberespacio,1,0.01694915254237288
emprendedurismo,1,0.01694915254237288
inimaginable,1,0.01694915254237288
virtual,1,0.01694915254237288
desterritorializado,1,0.01694915254237288
pastel,1,0.01694915254237288
masaje,1,0.01694915254237288
injustamente,1,0.01694915254237288
ritualizada,1,0.01694915254237288
