Respuesta,Frecuencia,Asociación
señor,2,0.10526315789473684
etcétera,1,0.05263157894736842
diverso,1,0.05263157894736842
fetichismo,1,0.05263157894736842
sadomasoquismo,1,0.05263157894736842
18,1,0.05263157894736842
practicar,1,0.05263157894736842
sexo,1,0.05263157894736842
atadura,1,0.05263157894736842
accesorio,1,0.05263157894736842
lencería,1,0.05263157894736842
cuero,1,0.05263157894736842
leather,1,0.05263157894736842
uniforme,1,0.05263157894736842
spanking,1,0.05263157894736842
palmar,1,0.05263157894736842
jovencitasos,1,0.05263157894736842
años3,1,0.05263157894736842
