Respuesta,Frecuencia,Asociación
trabajo,2,0.022727272727272728
niño,2,0.022727272727272728
adulto,2,0.022727272727272728
creer,2,0.022727272727272728
fuerza,2,0.022727272727272728
sueño,2,0.022727272727272728
social,1,0.011363636363636364
necesario,1,0.011363636363636364
caer,1,0.011363636363636364
sexual,1,0.011363636363636364
utilización,1,0.011363636363636364
1,1,0.011363636363636364
separar,1,0.011363636363636364
hablar,1,0.011363636363636364
nivel,1,0.011363636363636364
contenido,1,0.011363636363636364
masculino,1,0.011363636363636364
femenino,1,0.011363636363636364
diferencia,1,0.011363636363636364
relación,1,0.011363636363636364
cultura,1,0.011363636363636364
ejemplo,1,0.011363636363636364
valor,1,0.011363636363636364
naturaleza,1,0.011363636363636364
chico,1,0.011363636363636364
sexo,1,0.011363636363636364
mujer,1,0.011363636363636364
nombrar,1,0.011363636363636364
costumbre,1,0.011363636363636364
televisión,1,0.011363636363636364
funcionar,1,0.011363636363636364
interesante,1,0.011363636363636364
amoroso,1,0.011363636363636364
erótico,1,0.011363636363636364
percibir,1,0.011363636363636364
afirmar,1,0.011363636363636364
amigo,1,0.011363636363636364
allá,1,0.011363636363636364
novio,1,0.011363636363636364
ídolo,1,0.011363636363636364
obligar,1,0.011363636363636364
alguien,1,0.011363636363636364
especialmente,1,0.011363636363636364
muchacho,1,0.011363636363636364
doméstico,1,0.011363636363636364
responsabilizar,1,0.011363636363636364
bebé,1,0.011363636363636364
respectivamente,1,0.011363636363636364
gustar,1,0.011363636363636364
mirar,1,0.011363636363636364
estético,1,0.011363636363636364
virtud,1,0.011363636363636364
pornográfico,1,0.011363636363636364
prestigio,1,0.011363636363636364
jugar,1,0.011363636363636364
prejuicio,1,0.011363636363636364
soñar,1,0.011363636363636364
maravilloso,1,0.011363636363636364
típico,1,0.011363636363636364
disco,1,0.011363636363636364
papá,1,0.011363636363636364
dulzura,1,0.011363636363636364
eróticamente,1,0.011363636363636364
erradicar,1,0.011363636363636364
amistoso,1,0.011363636363636364
vídeo,1,0.011363636363636364
declinación,1,0.011363636363636364
mamá,1,0.011363636363636364
dibujar,1,0.011363636363636364
pornografía,1,0.011363636363636364
juguete,1,0.011363636363636364
moreno,1,0.011363636363636364
ninas,1,0.011363636363636364
pronombre,1,0.011363636363636364
hortensia,1,0.011363636363636364
vatos,1,0.011363636363636364
locos10,1,0.011363636363636364
guapote,1,0.011363636363636364
princesa,1,0.011363636363636364
favorito,1,0.011363636363636364
munecas,1,0.011363636363636364
barbie,1,0.011363636363636364
