Respuesta,Frecuencia,Asociación
abrir,1,0.02564102564102564
reconocer,1,0.02564102564102564
pegar,1,0.02564102564102564
pie,1,0.02564102564102564
mano,1,0.02564102564102564
imagen,1,0.02564102564102564
creencia,1,0.02564102564102564
considerar,1,0.02564102564102564
mujer,1,0.02564102564102564
enorme,1,0.02564102564102564
hombre,1,0.02564102564102564
duro,1,0.02564102564102564
dios,1,0.02564102564102564
antiguo,1,0.02564102564102564
cerrar,1,0.02564102564102564
planta,1,0.02564102564102564
animal,1,0.02564102564102564
articulación,1,0.02564102564102564
codo,1,0.02564102564102564
25000,1,0.02564102564102564
oscuridad,1,0.02564102564102564
sagrado,1,0.02564102564102564
ojo,1,0.02564102564102564
afilar,1,0.02564102564102564
baladí,1,0.02564102564102564
estatuilla,1,0.02564102564102564
grávido,1,0.02564102564102564
seno,1,0.02564102564102564
fertilidad,1,0.02564102564102564
matriz,1,0.02564102564102564
rendir,1,0.02564102564102564
culto,1,0.02564102564102564
borde,1,0.02564102564102564
canino,1,0.02564102564102564
puntiagudo,1,0.02564102564102564
brillar,1,0.02564102564102564
rodilla,1,0.02564102564102564
callosidad,1,0.02564102564102564
palma,1,0.02564102564102564
