Respuesta,Frecuencia,Asociación
pene,4,0.044444444444444446
sexualidad,2,0.022222222222222223
proponer,2,0.022222222222222223
sexual,2,0.022222222222222223
tarea,2,0.022222222222222223
límite,2,0.022222222222222223
desarrollar,2,0.022222222222222223
ayudar,2,0.022222222222222223
capacidad,2,0.022222222222222223
sentir,2,0.022222222222222223
plantear,2,0.022222222222222223
iniciar,2,0.022222222222222223
labor,2,0.022222222222222223
lógico,2,0.022222222222222223
hombre,2,0.022222222222222223
vagina,2,0.022222222222222223
equivalente,2,0.022222222222222223
paciente,2,0.022222222222222223
clítoris,2,0.022222222222222223
erección,2,0.022222222222222223
atravesar,2,0.022222222222222223
analista,2,0.022222222222222223
anatómico,2,0.022222222222222223
resignar,2,0.022222222222222223
psicoanalizado,2,0.022222222222222223
mr,2,0.022222222222222223
rieff,2,0.022222222222222223
anne,2,0.022222222222222223
koedt,2,0.022222222222222223
257,2,0.022222222222222223
pequeno,2,0.022222222222222223
uretra,2,0.022222222222222223
deber,1,0.011111111111111112
cabo,1,0.011111111111111112
2,1,0.011111111111111112
1,1,0.011111111111111112
tomar,1,0.011111111111111112
evitar,1,0.011111111111111112
relación_sexual,1,0.011111111111111112
relación,1,0.011111111111111112
función,1,0.011111111111111112
posición,1,0.011111111111111112
aplicar,1,0.011111111111111112
15,1,0.011111111111111112
14,1,0.011111111111111112
freud,1,0.011111111111111112
genital,1,0.011111111111111112
cambiar,1,0.011111111111111112
similar,1,0.011111111111111112
medicamento,1,0.011111111111111112
agua,1,0.011111111111111112
lavar,1,0.011111111111111112
respectivamente,1,0.011111111111111112
lubricante,1,0.011111111111111112
bolsa,1,0.011111111111111112
espaciar,1,0.011111111111111112
