Respuesta,Frecuencia,Asociación
cirugía,4,0.05128205128205128
derecho,2,0.02564102564102564
cambiar,2,0.02564102564102564
operación,2,0.02564102564102564
transexuales,2,0.02564102564102564
problema,1,0.01282051282051282
introducción,1,0.01282051282051282
social,1,0.01282051282051282
país,1,0.01282051282051282
deber,1,0.01282051282051282
especializar,1,0.01282051282051282
sexual,1,0.01282051282051282
salud,1,0.01282051282051282
buscar,1,0.01282051282051282
esquema,1,0.01282051282051282
ayuda,1,0.01282051282051282
papel,1,0.01282051282051282
1,1,0.01282051282051282
género,1,0.01282051282051282
registro,1,0.01282051282051282
trabajar,1,0.01282051282051282
identidad,1,0.01282051282051282
sociedad,1,0.01282051282051282
reconocer,1,0.01282051282051282
educativo,1,0.01282051282051282
asignar,1,0.01282051282051282
referir,1,0.01282051282051282
discriminación,1,0.01282051282051282
ayudar,1,0.01282051282051282
situación,1,0.01282051282051282
cambio,1,0.01282051282051282
distinguir,1,0.01282051282051282
médico,1,0.01282051282051282
sexo,1,0.01282051282051282
sufrir,1,0.01282051282051282
nacer,1,0.01282051282051282
real,1,0.01282051282051282
ley,1,0.01282051282051282
laboral,1,0.01282051282051282
transición,1,0.01282051282051282
acorde,1,0.01282051282051282
jurídico,1,0.01282051282051282
tribunal,1,0.01282051282051282
nacimiento,1,0.01282051282051282
supremo,1,0.01282051282051282
despenalizar,1,0.01282051282051282
civil,1,0.01282051282051282
convivencia,1,0.01282051282051282
recluso,1,0.01282051282051282
1983,1,0.01282051282051282
1987,1,0.01282051282051282
específicamente,1,0.01282051282051282
satisfacer,1,0.01282051282051282
lesión,1,0.01282051282051282
apariencia,1,0.01282051282051282
delito,1,0.01282051282051282
excluir,1,0.01282051282051282
pincelada,1,0.01282051282051282
travesti,1,0.01282051282051282
aparato,1,0.01282051282051282
contentar,1,0.01282051282051282
plástico,1,0.01282051282051282
vulgar,1,0.01282051282051282
acta,1,0.01282051282051282
transexual,1,0.01282051282051282
transgéneros,1,0.01282051282051282
discriminación_sexual,1,0.01282051282051282
incorrectamente,1,0.01282051282051282
reconstrucción_genital,1,0.01282051282051282
feminizantes,1,0.01282051282051282
masculinizantes,1,0.01282051282051282
