Respuesta,Frecuencia,Asociación
social,3,0.05454545454545454
identidad,2,0.03636363636363636
proceso,1,0.01818181818181818
cultural,1,0.01818181818181818
construcción,1,0.01818181818181818
contar,1,0.01818181818181818
facilitar,1,0.01818181818181818
necesario,1,0.01818181818181818
propuesta,1,0.01818181818181818
principalmente,1,0.01818181818181818
sexual,1,0.01818181818181818
relacionar,1,0.01818181818181818
interacción,1,0.01818181818181818
análisis,1,0.01818181818181818
documento,1,0.01818181818181818
definir,1,0.01818181818181818
dato,1,0.01818181818181818
secundario,1,0.01818181818181818
obtener,1,0.01818181818181818
1,1,0.01818181818181818
histórico,1,0.01818181818181818
género,1,0.01818181818181818
nombre,1,0.01818181818181818
modificar,1,0.01818181818181818
construir,1,0.01818181818181818
pasar,1,0.01818181818181818
realidad,1,0.01818181818181818
querer,1,0.01818181818181818
biológico,1,0.01818181818181818
primario,1,0.01818181818181818
condición,1,0.01818181818181818
generalmente,1,0.01818181818181818
sistema,1,0.01818181818181818
organizar,1,0.01818181818181818
perfilar,1,0.01818181818181818
sexo,1,0.01818181818181818
mujer,1,0.01818181818181818
fundamental,1,0.01818181818181818
hombre,1,0.01818181818181818
relacional,1,0.01818181818181818
acorde,1,0.01818181818181818
genitales,1,0.01818181818181818
categoría,1,0.01818181818181818
cirugía,1,0.01818181818181818
estructural,1,0.01818181818181818
conectar,1,0.01818181818181818
asimétrico,1,0.01818181818181818
dni,1,0.01818181818181818
certificar,1,0.01818181818181818
anatómico,1,0.01818181818181818
macho,1,0.01818181818181818
hembra,1,0.01818181818181818
