Respuesta,Frecuencia,Asociación
forma,3,0.018518518518518517
hijo,3,0.018518518518518517
femenino,2,0.012345679012345678
actividad,2,0.012345679012345678
familia,2,0.012345679012345678
deseo,2,0.012345679012345678
mujer,2,0.012345679012345678
respeto,2,0.012345679012345678
esposo,2,0.012345679012345678
básico,1,0.006172839506172839
sexualidad,1,0.006172839506172839
trabajo,1,0.006172839506172839
etcétera,1,0.006172839506172839
tratar,1,0.006172839506172839
humano,1,0.006172839506172839
encontrar,1,0.006172839506172839
social,1,0.006172839506172839
país,1,0.006172839506172839
comunicación,1,0.006172839506172839
información,1,0.006172839506172839
suponer,1,0.006172839506172839
conjunto,1,0.006172839506172839
asignatura,1,0.006172839506172839
educación_sexual,1,0.006172839506172839
informar,1,0.006172839506172839
buscar,1,0.006172839506172839
investigación,1,0.006172839506172839
necesitar,1,0.006172839506172839
momento,1,0.006172839506172839
importante,1,0.006172839506172839
carácter,1,0.006172839506172839
obtener,1,0.006172839506172839
1,1,0.006172839506172839
mejorar,1,0.006172839506172839
implicar,1,0.006172839506172839
razón,1,0.006172839506172839
comportamiento_sexual,1,0.006172839506172839
atracción,1,0.006172839506172839
relación,1,0.006172839506172839
tiempo,1,0.006172839506172839
alto,1,0.006172839506172839
coincidir,1,0.006172839506172839
persona,1,0.006172839506172839
voluntad,1,0.006172839506172839
ejemplo,1,0.006172839506172839
dejar,1,0.006172839506172839
reflejar,1,0.006172839506172839
valor,1,0.006172839506172839
ayudar,1,0.006172839506172839
futuro,1,0.006172839506172839
situación,1,0.006172839506172839
apoyo,1,0.006172839506172839
sentir,1,0.006172839506172839
resultado,1,0.006172839506172839
creer,1,0.006172839506172839
adolescencia,1,0.006172839506172839
convertir,1,0.006172839506172839
enfrentar,1,0.006172839506172839
considerar,1,0.006172839506172839
físico,1,0.006172839506172839
entrevista,1,0.006172839506172839
secreto,1,0.006172839506172839
tabú,1,0.006172839506172839
infancia,1,0.006172839506172839
heterosexual,1,0.006172839506172839
reproductivo,1,0.006172839506172839
escolar,1,0.006172839506172839
aspecto,1,0.006172839506172839
j,1,0.006172839506172839
labor,1,0.006172839506172839
padre,1,0.006172839506172839
hombre,1,0.006172839506172839
historia,1,0.006172839506172839
familiar,1,0.006172839506172839
amor,1,0.006172839506172839
tabla,1,0.006172839506172839
sentimiento,1,0.006172839506172839
empatía,1,0.006172839506172839
autoritario,1,0.006172839506172839
leer,1,0.006172839506172839
reproducción,1,0.006172839506172839
responsabilidad,1,0.006172839506172839
consideración,1,0.006172839506172839
incrementar,1,0.006172839506172839
difícil,1,0.006172839506172839
convivencia,1,0.006172839506172839
doméstico,1,0.006172839506172839
involucrar,1,0.006172839506172839
eeuu,1,0.006172839506172839
ingreso,1,0.006172839506172839
7,1,0.006172839506172839
estímulo,1,0.006172839506172839
pendiente,1,0.006172839506172839
nuevamente,1,0.006172839506172839
acto_sexual,1,0.006172839506172839
gustar,1,0.006172839506172839
manifiesto,1,0.006172839506172839
comprensión,1,0.006172839506172839
cuba,1,0.006172839506172839
profesorado,1,0.006172839506172839
aula,1,0.006172839506172839
caamaño,1,0.006172839506172839
preparación,1,0.006172839506172839
absoluto,1,0.006172839506172839
ideal,1,0.006172839506172839
manejar,1,0.006172839506172839
dominio,1,0.006172839506172839
espíritu,1,0.006172839506172839
sagrado,1,0.006172839506172839
pasión,1,0.006172839506172839
necesariamente,1,0.006172839506172839
ojo,1,0.006172839506172839
culpa,1,0.006172839506172839
lejos,1,0.006172839506172839
cultivar,1,0.006172839506172839
romántico,1,0.006172839506172839
exento,1,0.006172839506172839
manuel,1,0.006172839506172839
transexuales,1,0.006172839506172839
alusión,1,0.006172839506172839
horizontal,1,0.006172839506172839
imperialista,1,0.006172839506172839
vena,1,0.006172839506172839
durable,1,0.006172839506172839
agradecimiento,1,0.006172839506172839
guapo,1,0.006172839506172839
avión,1,0.006172839506172839
victor,1,0.006172839506172839
cano,1,0.006172839506172839
gabriela,1,0.006172839506172839
víctor,1,0.006172839506172839
particularmente,1,0.006172839506172839
hermoso,1,0.006172839506172839
bondad,1,0.006172839506172839
prudencia,1,0.006172839506172839
serenidad,1,0.006172839506172839
sencillez,1,0.006172839506172839
emoción,1,0.006172839506172839
tierno,1,0.006172839506172839
noble,1,0.006172839506172839
generoso,1,0.006172839506172839
sam,1,0.006172839506172839
enterado,1,0.006172839506172839
asentimiento,1,0.006172839506172839
imposibilidad,1,0.006172839506172839
minar,1,0.006172839506172839
profesar,1,0.006172839506172839
mauro,1,0.006172839506172839
brillante,1,0.006172839506172839
inconveniente,1,0.006172839506172839
delincuencia,1,0.006172839506172839
