Respuesta,Frecuencia,Asociación
querer,2,0.02702702702702703
básico,1,0.013513513513513514
estudiar,1,0.013513513513513514
deber,1,0.013513513513513514
información,1,0.013513513513513514
actual,1,0.013513513513513514
atender,1,0.013513513513513514
educación_sexual,1,0.013513513513513514
necesitar,1,0.013513513513513514
momento,1,0.013513513513513514
principal,1,0.013513513513513514
pensar,1,0.013513513513513514
niño,1,0.013513513513513514
b,1,0.013513513513513514
atractivo,1,0.013513513513513514
decidir,1,0.013513513513513514
realidad,1,0.013513513513513514
trabajar,1,0.013513513513513514
actualmente,1,0.013513513513513514
respuesta,1,0.013513513513513514
expresión,1,0.013513513513513514
estereotipo,1,0.013513513513513514
femenino,1,0.013513513513513514
escuela,1,0.013513513513513514
lista,1,0.013513513513513514
primario,1,0.013513513513513514
correcto,1,0.013513513513513514
soporte,1,0.013513513513513514
conclusión,1,0.013513513513513514
cambio,1,0.013513513513513514
recibir,1,0.013513513513513514
asistir,1,0.013513513513513514
creencia,1,0.013513513513513514
físico,1,0.013513513513513514
mujer,1,0.013513513513513514
demostrar,1,0.013513513513513514
tradicional,1,0.013513513513513514
colaborar,1,0.013513513513513514
fuerte,1,0.013513513513513514
aspecto,1,0.013513513513513514
labor,1,0.013513513513513514
observar,1,0.013513513513513514
causa,1,0.013513513513513514
hombre,1,0.013513513513513514
aceptar,1,0.013513513513513514
amoroso,1,0.013513513513513514
obediente,1,0.013513513513513514
intento,1,0.013513513513513514
reducir,1,0.013513513513513514
lógicamente,1,0.013513513513513514
reacción,1,0.013513513513513514
madre,1,0.013513513513513514
responsabilidad,1,0.013513513513513514
sacar,1,0.013513513513513514
doméstico,1,0.013513513513513514
emocional,1,0.013513513513513514
millón,1,0.013513513513513514
afecto,1,0.013513513513513514
inteligencia,1,0.013513513513513514
averiguar,1,0.013513513513513514
psicológicamente,1,0.013513513513513514
estereotipar,1,0.013513513513513514
papá,1,0.013513513513513514
mamá,1,0.013513513513513514
hermosura,1,0.013513513513513514
belleza,1,0.013513513513513514
sensible,1,0.013513513513513514
atributo,1,0.013513513513513514
instrumental,1,0.013513513513513514
emocionalmente,1,0.013513513513513514
honesto,1,0.013513513513513514
conciliador,1,0.013513513513513514
hogar,1,0.013513513513513514
