Respuesta,Frecuencia,Asociación
religioso,2,0.03389830508474576
sexualidad,1,0.01694915254237288
orientar,1,0.01694915254237288
principio,1,0.01694915254237288
país,1,0.01694915254237288
deber,1,0.01694915254237288
crear,1,0.01694915254237288
modelo,1,0.01694915254237288
acceso,1,0.01694915254237288
carácter,1,0.01694915254237288
propósito,1,0.01694915254237288
querer,1,0.01694915254237288
relación_sexual,1,0.01694915254237288
clasificar,1,0.01694915254237288
pareja,1,0.01694915254237288
alto,1,0.01694915254237288
sistema,1,0.01694915254237288
época,1,0.01694915254237288
mujer,1,0.01694915254237288
homosexual,1,0.01694915254237288
socialización,1,0.01694915254237288
padre,1,0.01694915254237288
casar,1,0.01694915254237288
hombre,1,0.01694915254237288
varón,1,0.01694915254237288
unión,1,0.01694915254237288
jurídico,1,0.01694915254237288
dios,1,0.01694915254237288
perfecto,1,0.01694915254237288
cielo,1,0.01694915254237288
sacerdote,1,0.01694915254237288
contacto,1,0.01694915254237288
intención,1,0.01694915254237288
claramente,1,0.01694915254237288
ángel,1,0.01694915254237288
código,1,0.01694915254237288
espacio,1,0.01694915254237288
conferir,1,0.01694915254237288
agenda,1,0.01694915254237288
procreación,1,0.01694915254237288
obsesión,1,0.01694915254237288
amar,1,0.01694915254237288
indisoluble,1,0.01694915254237288
simplemente,1,0.01694915254237288
reivindicativo,1,0.01694915254237288
delito,1,0.01694915254237288
1936,1,0.01694915254237288
promulgación,1,0.01694915254237288
penal,1,0.01694915254237288
indisolubilidad,1,0.01694915254237288
lazo,1,0.01694915254237288
monogamia,1,0.01694915254237288
reﬂeja,1,0.01694915254237288
esposo,1,0.01694915254237288
profesar,1,0.01694915254237288
ayuntamiento,1,0.01694915254237288
imitar,1,0.01694915254237288
señor,1,0.01694915254237288
