Respuesta,Frecuencia,Asociación
mujer,2,0.02631578947368421
personaje,2,0.02631578947368421
sexualidad,1,0.013157894736842105
social,1,0.013157894736842105
responder,1,0.013157894736842105
sexual,1,0.013157894736842105
tarea,1,0.013157894736842105
cualquiera,1,0.013157894736842105
cuyo,1,0.013157894736842105
1,1,0.013157894736842105
búsqueda,1,0.013157894736842105
nombre,1,0.013157894736842105
caso,1,0.013157894736842105
describir,1,0.013157894736842105
origen,1,0.013157894736842105
querer,1,0.013157894736842105
representar,1,0.013157894736842105
masculino,1,0.013157894736842105
femenino,1,0.013157894736842105
relación,1,0.013157894736842105
conquista,1,0.013157894736842105
excelencia,1,0.013157894736842105
cosa,1,0.013157894736842105
vivir,1,0.013157894736842105
conducta,1,0.013157894736842105
convertir,1,0.013157894736842105
mito,1,0.013157894736842105
siglo,1,0.013157894736842105
afán,1,0.013157894736842105
sexo,1,0.013157894736842105
fuerza,1,0.013157894736842105
vida,1,0.013157894736842105
real,1,0.013157894736842105
exigir,1,0.013157894736842105
hombre,1,0.013157894736842105
erótico,1,0.013157894736842105
figura,1,0.013157894736842105
suerte,1,0.013157894736842105
económico,1,0.013157894736842105
continuar,1,0.013157894736842105
capaz,1,0.013157894736842105
vincular,1,0.013157894736842105
xviii,1,0.013157894736842105
ciudad,1,0.013157894736842105
instante,1,0.013157894736842105
tierra,1,0.013157894736842105
perder,1,0.013157894736842105
concluir,1,0.013157894736842105
poseer,1,0.013157894736842105
poeta,1,0.013157894736842105
ideal,1,0.013157894736842105
pisar,1,0.013157894736842105
prototipo,1,0.013157894736842105
mítico,1,0.013157894736842105
don_juan,1,0.013157894736842105
marqués,1,0.013157894736842105
sade,1,0.013157894736842105
sonar,1,0.013157894736842105
músico,1,0.013157894736842105
artista,1,0.013157894736842105
inconsciente,1,0.013157894736842105
inalcanzable,1,0.013157894736842105
giacomo,1,0.013157894736842105
romántico,1,0.013157894736842105
venecia,1,0.013157894736842105
constancia,1,0.013157894736842105
aferrar,1,0.013157894736842105
convulsivo,1,0.013157894736842105
representante,1,0.013157894736842105
status,1,0.013157894736842105
insólito,1,0.013157894736842105
camaleón,1,0.013157894736842105
pintar,1,0.013157894736842105
color,1,0.013157894736842105
