Respuesta,Frecuencia,Asociación
paciente,4,0.035398230088495575
sitio,3,0.02654867256637168
genital,3,0.02654867256637168
doloroso,3,0.02654867256637168
tricomoniasis,3,0.02654867256637168
secundario,2,0.017699115044247787
caso,2,0.017699115044247787
primario,2,0.017699115044247787
presencia,2,0.017699115044247787
genitales,2,0.017699115044247787
sífilis,2,0.017699115044247787
clamidias,2,0.017699115044247787
úlcera,2,0.017699115044247787
541,2,0.017699115044247787
inoculación,2,0.017699115044247787
deber,1,0.008849557522123894
forma,1,0.008849557522123894
sexual,1,0.008849557522123894
alternativa,1,0.008849557522123894
presentar,1,0.008849557522123894
cualquiera,1,0.008849557522123894
corresponder,1,0.008849557522123894
definir,1,0.008849557522123894
localización,1,0.008849557522123894
dividir,1,0.008849557522123894
incluir,1,0.008849557522123894
enfermedad,1,0.008849557522123894
transmisión,1,0.008849557522123894
manejo,1,0.008849557522123894
habitual,1,0.008849557522123894
único,1,0.008849557522123894
epidemiológico,1,0.008849557522123894
vigilancia,1,0.008849557522123894
médico,1,0.008849557522123894
clínico,1,0.008849557522123894
demostrar,1,0.008849557522123894
infección,1,0.008849557522123894
formar,1,0.008849557522123894
duro,1,0.008849557522123894
atención,1,0.008849557522123894
acudir,1,0.008849557522123894
caracterizar,1,0.008849557522123894
demanda,1,0.008849557522123894
dosis,1,0.008849557522123894
simple,1,0.008849557522123894
tratamiento,1,0.008849557522123894
confirmar,1,0.008849557522123894
síntoma,1,0.008849557522123894
signo,1,0.008849557522123894
blando,1,0.008849557522123894
elevar,1,0.008849557522123894
vo,1,0.008849557522123894
ocasión,1,0.008849557522123894
54,1,0.008849557522123894
sobresalir,1,0.008849557522123894
lesión,1,0.008849557522123894
cultivo,1,0.008849557522123894
rápidamente,1,0.008849557522123894
borde,1,0.008849557522123894
boca,1,0.008849557522123894
florido,1,0.008849557522123894
inicialmente,1,0.008849557522123894
urogenital,1,0.008849557522123894
ano,1,0.008849557522123894
nom017ssa21994,1,0.008849557522123894
sospechoso,1,0.008849557522123894
gramo,1,0.008849557522123894
a565,1,0.008849557522123894
a57,1,0.008849557522123894
a58,1,0.008849557522123894
granuloma_inguinal,1,0.008849557522123894
a59,1,0.008849557522123894
a590,1,0.008849557522123894
a591,1,0.008849557522123894
chancroide,1,0.008849557522123894
5411,1,0.008849557522123894
5412,1,0.008849557522123894
confirmación,1,0.008849557522123894
haemophilus,1,0.008849557522123894
ducreyi,1,0.008849557522123894
5413,1,0.008849557522123894
54131,1,0.008849557522123894
azitromicina,1,0.008849557522123894
54511,1,0.008849557522123894
indoloro,1,0.008849557522123894
54512,1,0.008849557522123894
erupción,1,0.008849557522123894
mucocutánea,1,0.008849557522123894
progresar,1,0.008849557522123894
ulcerar,1,0.008849557522123894
húmedo,1,0.008849557522123894
indurar,1,0.008849557522123894
