Respuesta,Frecuencia,Asociación
información,12,0.011288805268109126
sida,10,0.00940733772342427
deber,8,0.007525870178739417
género,8,0.007525870178739417
relación_sexual,7,0.00658513640639699
sentir,7,0.00658513640639699
quedar,7,0.00658513640639699
seguir,6,0.005644402634054563
año,6,0.005644402634054563
1,6,0.005644402634054563
evitar,6,0.005644402634054563
edad,6,0.005644402634054563
vivir,6,0.005644402634054563
método_anticonceptivo,6,0.005644402634054563
embarazar,6,0.005644402634054563
contagiar,6,0.005644402634054563
amor,6,0.005644402634054563
tema,5,0.004703668861712135
marcar,5,0.004703668861712135
embarazo,5,0.004703668861712135
sexo,5,0.004703668861712135
médico,5,0.004703668861712135
parecer,5,0.004703668861712135
conocimiento,4,0.0037629350893697085
general,4,0.0037629350893697085
informar,4,0.0037629350893697085
sexual,4,0.0037629350893697085
caber,4,0.0037629350893697085
2,4,0.0037629350893697085
dirigir,4,0.0037629350893697085
componer,4,0.0037629350893697085
abrir,4,0.0037629350893697085
obtener,4,0.0037629350893697085
utilización,4,0.0037629350893697085
hablar,4,0.0037629350893697085
cuerpo,4,0.0037629350893697085
respuesta,4,0.0037629350893697085
comportamiento_sexual,4,0.0037629350893697085
masculino,4,0.0037629350893697085
reconocimiento,4,0.0037629350893697085
importar,4,0.0037629350893697085
controlar,4,0.0037629350893697085
significativo,4,0.0037629350893697085
variable,4,0.0037629350893697085
actitud,4,0.0037629350893697085
escaso,4,0.0037629350893697085
considerar,4,0.0037629350893697085
entrevistar,4,0.0037629350893697085
16,4,0.0037629350893697085
mujer,4,0.0037629350893697085
mantener,4,0.0037629350893697085
diafragma,4,0.0037629350893697085
condón,4,0.0037629350893697085
quitar,4,0.0037629350893697085
infección,4,0.0037629350893697085
pej,4,0.0037629350893697085
418,4,0.0037629350893697085
6,4,0.0037629350893697085
peligroso,4,0.0037629350893697085
disfrutar,4,0.0037629350893697085
48,4,0.0037629350893697085
revés,4,0.0037629350893697085
anticonceptivo,4,0.0037629350893697085
43,4,0.0037629350893697085
formación,4,0.0037629350893697085
ítem,4,0.0037629350893697085
escala,4,0.0037629350893697085
destacar,4,0.0037629350893697085
435,4,0.0037629350893697085
religiosidad,4,0.0037629350893697085
autopercibir,4,0.0037629350893697085
puntuación,4,0.0037629350893697085
alcanzar,4,0.0037629350893697085
trasmitir,4,0.0037629350893697085
probablemente,4,0.0037629350893697085
tolerancia,4,0.0037629350893697085
permisibilidad,4,0.0037629350893697085
curioso,4,0.0037629350893697085
ética,4,0.0037629350893697085
país,3,0.0028222013170272815
forma,3,0.0028222013170272815
grupo,3,0.0028222013170272815
momento,3,0.0028222013170272815
mostrar,3,0.0028222013170272815
realidad,3,0.0028222013170272815
masturbación,3,0.0028222013170272815
diferencia,3,0.0028222013170272815
familia,3,0.0028222013170272815
imagen,3,0.0028222013170272815
15,3,0.0028222013170272815
preservativo,3,0.0028222013170272815
hombre,3,0.0028222013170272815
amigo,3,0.0028222013170272815
menstruación,3,0.0028222013170272815
justo,3,0.0028222013170272815
nacer,3,0.0028222013170272815
término,2,0.0018814675446848542
método,2,0.0018814675446848542
encontrar,2,0.0018814675446848542
social,2,0.0018814675446848542
población,2,0.0018814675446848542
necesidad,2,0.0018814675446848542
conjunto,2,0.0018814675446848542
superior,2,0.0018814675446848542
educación_sexual,2,0.0018814675446848542
acción,2,0.0018814675446848542
desarrollo,2,0.0018814675446848542
superar,2,0.0018814675446848542
corresponder,2,0.0018814675446848542
servir,2,0.0018814675446848542
carácter,2,0.0018814675446848542
joven,2,0.0018814675446848542
adecuar,2,0.0018814675446848542
camino,2,0.0018814675446848542
llegar,2,0.0018814675446848542
mejorar,2,0.0018814675446848542
fácil,2,0.0018814675446848542
utilizar,2,0.0018814675446848542
exponer,2,0.0018814675446848542
tomar,2,0.0018814675446848542
caso,2,0.0018814675446848542
querer,2,0.0018814675446848542
cincar,2,0.0018814675446848542
orgasmo,2,0.0018814675446848542
coito,2,0.0018814675446848542
enfermedad,2,0.0018814675446848542
relación,2,0.0018814675446848542
incorporar,2,0.0018814675446848542
referencia,2,0.0018814675446848542
libro,2,0.0018814675446848542
cuidar,2,0.0018814675446848542
proceder,2,0.0018814675446848542
identificar,2,0.0018814675446848542
producción,2,0.0018814675446848542
porcentaje,2,0.0018814675446848542
dejar,2,0.0018814675446848542
apuntar,2,0.0018814675446848542
do,2,0.0018814675446848542
futuro,2,0.0018814675446848542
cambio,2,0.0018814675446848542
conducta,2,0.0018814675446848542
experiencia,2,0.0018814675446848542
ampliar,2,0.0018814675446848542
mito,2,0.0018814675446848542
percepción,2,0.0018814675446848542
correr,2,0.0018814675446848542
físico,2,0.0018814675446848542
muestra,2,0.0018814675446848542
2007,2,0.0018814675446848542
formar,2,0.0018814675446848542
media,2,0.0018814675446848542
sudamericano,2,0.0018814675446848542
354,2,0.0018814675446848542
penetración,2,0.0018814675446848542
proporción,2,0.0018814675446848542
ligeramente,2,0.0018814675446848542
310,2,0.0018814675446848542
334,2,0.0018814675446848542
frente,2,0.0018814675446848542
199,2,0.0018814675446848542
generar,2,0.0018814675446848542
girar,2,0.0018814675446848542
pene,2,0.0018814675446848542
socialmente,2,0.0018814675446848542
gente,2,0.0018814675446848542
conformándose,2,0.0018814675446848542
pandilla,2,0.0018814675446848542
ocio,2,0.0018814675446848542
trasladar,2,0.0018814675446848542
discoteca,2,0.0018814675446848542
botella,2,0.0018814675446848542
inmerso,2,0.0018814675446848542
multitud,2,0.0018814675446848542
acudir,2,0.0018814675446848542
673,2,0.0018814675446848542
542,2,0.0018814675446848542
postura,2,0.0018814675446848542
77,2,0.0018814675446848542
alcohol,2,0.0018814675446848542
droga,2,0.0018814675446848542
excitante,2,0.0018814675446848542
694,2,0.0018814675446848542
66,2,0.0018814675446848542
seguro,2,0.0018814675446848542
colocar,2,0.0018814675446848542
