Respuesta,Frecuencia,Asociación
vital,8,0.013245033112582781
mujer,8,0.013245033112582781
etapa,6,0.009933774834437087
sexual,5,0.008278145695364239
hombre,4,0.006622516556291391
excitación,4,0.006622516556291391
seguir,3,0.004966887417218543
común,3,0.004966887417218543
educación,3,0.004966887417218543
describir,3,0.004966887417218543
respuesta,3,0.004966887417218543
femenino,3,0.004966887417218543
familia,3,0.004966887417218543
tiempo,3,0.004966887417218543
llamar,3,0.004966887417218543
conducta,3,0.004966887417218543
hijo,3,0.004966887417218543
sexualidad,2,0.0033112582781456954
trabajo,2,0.0033112582781456954
proceso,2,0.0033112582781456954
problema,2,0.0033112582781456954
perspectiva,2,0.0033112582781456954
cultural,2,0.0033112582781456954
permitir,2,0.0033112582781456954
necesario,2,0.0033112582781456954
existir,2,0.0033112582781456954
suponer,2,0.0033112582781456954
buscar,2,0.0033112582781456954
desarrollo,2,0.0033112582781456954
momento,2,0.0033112582781456954
2,2,0.0033112582781456954
definir,2,0.0033112582781456954
denominar,2,0.0033112582781456954
variación,2,0.0033112582781456954
nivel,2,0.0033112582781456954
distinto,2,0.0033112582781456954
biológico,2,0.0033112582781456954
masculino,2,0.0033112582781456954
enfermedad,2,0.0033112582781456954
transmisión,2,0.0033112582781456954
habilidad,2,0.0033112582781456954
reconocer,2,0.0033112582781456954
educativo,2,0.0033112582781456954
5,2,0.0033112582781456954
persona,2,0.0033112582781456954
sistema,2,0.0033112582781456954
vivir,2,0.0033112582781456954
aumentar,2,0.0033112582781456954
actitud,2,0.0033112582781456954
adolescencia,2,0.0033112582781456954
asociar,2,0.0033112582781456954
aparecer,2,0.0033112582781456954
enfoque,2,0.0033112582781456954
sufrir,2,0.0033112582781456954
vida,2,0.0033112582781456954
período,2,0.0033112582781456954
despertar,2,0.0033112582781456954
generar,2,0.0033112582781456954
repetir,2,0.0033112582781456954
familiar,2,0.0033112582781456954
señalar,2,0.0033112582781456954
varón,2,0.0033112582781456954
instintivo,2,0.0033112582781456954
poseer,2,0.0033112582781456954
