Respuesta,Frecuencia,Asociación
orgasmo,12,0.02058319039451115
mujer,11,0.018867924528301886
sexual,7,0.012006861063464836
hombre,5,0.008576329331046312
vagina,5,0.008576329331046312
pene,5,0.008576329331046312
problema,4,0.00686106346483705
4,4,0.00686106346483705
coito,4,0.00686106346483705
función,4,0.00686106346483705
permanecer,4,0.00686106346483705
sensación,4,0.00686106346483705
estimular,4,0.00686106346483705
vaginal,4,0.00686106346483705
área,3,0.005145797598627788
deber,3,0.005145797598627788
cualquiera,3,0.005145797598627788
estructura,3,0.005145797598627788
estimulación,3,0.005145797598627788
genital,3,0.005145797598627788
sexualmente,3,0.005145797598627788
quedar,3,0.005145797598627788
16,3,0.005145797598627788
equivalente,3,0.005145797598627788
mama,3,0.005145797598627788
labio,3,0.005145797598627788
anatómico,3,0.005145797598627788
método,2,0.003430531732418525
contar,2,0.003430531732418525
existir,2,0.003430531732418525
forma,2,0.003430531732418525
caber,2,0.003430531732418525
mencionar,2,0.003430531732418525
momento,2,0.003430531732418525
importante,2,0.003430531732418525
pensar,2,0.003430531732418525
1,2,0.003430531732418525
técnica,2,0.003430531732418525
evitar,2,0.003430531732418525
respuesta,2,0.003430531732418525
actividad_sexual,2,0.003430531732418525
placer,2,0.003430531732418525
importar,2,0.003430531732418525
suficiente,2,0.003430531732418525
dejar,2,0.003430531732418525
posición,2,0.003430531732418525
sentir,2,0.003430531732418525
anteriormente,2,0.003430531732418525
práctica,2,0.003430531732418525
iniciar,2,0.003430531732418525
considerar,2,0.003430531732418525
chico,2,0.003430531732418525
distinguir,2,0.003430531732418525
freud,2,0.003430531732418525
lógico,2,0.003430531732418525
historia,2,0.003430531732418525
experimentar,2,0.003430531732418525
especial,2,0.003430531732418525
amor,2,0.003430531732418525
grado,2,0.003430531732418525
situar,2,0.003430531732418525
quirúrgico,2,0.003430531732418525
embarazar,2,0.003430531732418525
interrumpir,2,0.003430531732418525
antiguo,2,0.003430531732418525
regla,2,0.003430531732418525
tejido,2,0.003430531732418525
reducción,2,0.003430531732418525
sencillo,2,0.003430531732418525
parto,2,0.003430531732418525
amenaza,2,0.003430531732418525
químico,2,0.003430531732418525
778,2,0.003430531732418525
569,2,0.003430531732418525
567,2,0.003430531732418525
quince,2,0.003430531732418525
284,2,0.003430531732418525
sensibilidad,2,0.003430531732418525
ptos,2,0.003430531732418525
zona_erógeno,2,0.003430531732418525
clímax,2,0.003430531732418525
necesariamente,2,0.003430531732418525
