Respuesta,Frecuencia,Asociación
asumir,2,0.034482758620689655
gais,2,0.034482758620689655
social,1,0.017241379310344827
permitir,1,0.017241379310344827
grupo,1,0.017241379310344827
contexto,1,0.017241379310344827
estrategia,1,0.017241379310344827
complejo,1,0.017241379310344827
caso,1,0.017241379310344827
querer,1,0.017241379310344827
control,1,0.017241379310344827
actividad,1,0.017241379310344827
relación,1,0.017241379310344827
posibilidad,1,0.017241379310344827
condición,1,0.017241379310344827
organizar,1,0.017241379310344827
activo,1,0.017241379310344827
vivir,1,0.017241379310344827
convertir,1,0.017241379310344827
considerar,1,0.017241379310344827
preguntar,1,0.017241379310344827
deseo,1,0.017241379310344827
homosexual,1,0.017241379310344827
incestuoso,1,0.017241379310344827
representación,1,0.017241379310344827
valer,1,0.017241379310344827
mantener,1,0.017241379310344827
significado,1,0.017241379310344827
permanecer,1,0.017241379310344827
quedar,1,0.017241379310344827
optar,1,0.017241379310344827
cotidiano,1,0.017241379310344827
discurso,1,0.017241379310344827
vivencia,1,0.017241379310344827
vergüenza,1,0.017241379310344827
sinónimo,1,0.017241379310344827
miedo,1,0.017241379310344827
visible,1,0.017241379310344827
falta,1,0.017241379310344827
político,1,0.017241379310344827
vincular,1,0.017241379310344827
conflictivo,1,0.017241379310344827
ejercer,1,0.017241379310344827
conflicto,1,0.017241379310344827
pena,1,0.017241379310344827
soler,1,0.017241379310344827
actor,1,0.017241379310344827
gay,1,0.017241379310344827
significante,1,0.017241379310344827
silencio,1,0.017241379310344827
autoestima,1,0.017241379310344827
exclusión,1,0.017241379310344827
prejuicio,1,0.017241379310344827
deconstruccionista,1,0.017241379310344827
hegemónico,1,0.017241379310344827
naturalidad,1,0.017241379310344827
