Respuesta,Frecuencia,Asociación
médico,2,0.0392156862745098
pagar,2,0.0392156862745098
zona,2,0.0392156862745098
rural,2,0.0392156862745098
esterilización,2,0.0392156862745098
tailandia,2,0.0392156862745098
1977,2,0.0392156862745098
thai,2,0.0392156862745098
contar,1,0.0196078431372549
deber,1,0.0196078431372549
efectivo,1,0.0196078431372549
número,1,0.0196078431372549
persona,1,0.0196078431372549
prácticamente,1,0.0196078431372549
significar,1,0.0196078431372549
oportunidad,1,0.0196078431372549
lector,1,0.0196078431372549
abortar,1,0.0196078431372549
mujer,1,0.0196078431372549
ley,1,0.0196078431372549
enorme,1,0.0196078431372549
perseguir,1,0.0196078431372549
esperar,1,0.0196078431372549
penalización,1,0.0196078431372549
persecución,1,0.0196078431372549
urgir,1,0.0196078431372549
population,1,0.0196078431372549
development,1,0.0196078431372549
association,1,0.0196078431372549
pda,1,0.0196078431372549
anticoncepción,1,0.0196078431372549
empleado,1,0.0196078431372549
promoción,1,0.0196078431372549
aprovechar,1,0.0196078431372549
mañana,1,0.0196078431372549
reclutar,1,0.0196078431372549
aceptor,1,0.0196078431372549
600,1,0.0196078431372549
riesgoso,1,0.0196078431372549
procesar,1,0.0196078431372549
judicialmente,1,0.0196078431372549
imposible,1,0.0196078431372549
amenaza,1,0.0196078431372549
