Respuesta,Frecuencia,Asociación
sexualidad,15,0.012057877813504822
mujer,14,0.011254019292604502
hombre,13,0.01045016077170418
sexual,12,0.00964630225080386
considerar,9,0.007234726688102894
trabajo,8,0.006430868167202572
adolescente,8,0.006430868167202572
social,7,0.005627009646302251
méxico,6,0.00482315112540193
nivel,6,0.00482315112540193
práctica,6,0.00482315112540193
deber,5,0.0040192926045016075
información,5,0.0040192926045016075
investigación,5,0.0040192926045016075
sitio,5,0.0040192926045016075
edad,5,0.0040192926045016075
sexo,5,0.0040192926045016075
ejemplo,5,0.0040192926045016075
vida,5,0.0040192926045016075
impacto,4,0.003215434083601286
salud,4,0.003215434083601286
relacionar,4,0.003215434083601286
joven,4,0.003215434083601286
número,4,0.003215434083601286
actividad_sexual,4,0.003215434083601286
chico,4,0.003215434083601286
siglo,4,0.003215434083601286
diferencia,4,0.003215434083601286
individuo,4,0.003215434083601286
conducta,4,0.003215434083601286
fuerza,4,0.003215434083601286
aceptación,4,0.003215434083601286
1997,4,0.003215434083601286
estudiar,3,0.002411575562700965
proceso,3,0.002411575562700965
seguir,3,0.002411575562700965
específico,3,0.002411575562700965
tema,3,0.002411575562700965
humano,3,0.002411575562700965
educación_sexual,3,0.002411575562700965
factor,3,0.002411575562700965
constituir,3,0.002411575562700965
año,3,0.002411575562700965
nacional,3,0.002411575562700965
estudio,3,0.002411575562700965
biológico,3,0.002411575562700965
relación_sexual,3,0.002411575562700965
tiempo,3,0.002411575562700965
cultura,3,0.002411575562700965
et,3,0.002411575562700965
1993,3,0.002411575562700965
actitud,3,0.002411575562700965
muestra,3,0.002411575562700965
formar,3,0.002411575562700965
tolerancia,3,0.002411575562700965
pareja,3,0.002411575562700965
condón,3,0.002411575562700965
encuesta,3,0.002411575562700965
1994,3,0.002411575562700965
observar,3,0.002411575562700965
persona,3,0.002411575562700965
capacidad,3,0.002411575562700965
xx,3,0.002411575562700965
resaltar,3,0.002411575562700965
rango,3,0.002411575562700965
estadístico,3,0.002411575562700965
plano,3,0.002411575562700965
físico,3,0.002411575562700965
luz,3,0.002411575562700965
relación,3,0.002411575562700965
influencia,3,0.002411575562700965
generar,3,0.002411575562700965
patrón,3,0.002411575562700965
actualidad,3,0.002411575562700965
parafilia,3,0.002411575562700965
caracterizar,3,0.002411575562700965
fantasía,3,0.002411575562700965
alejar,3,0.002411575562700965
patológico,3,0.002411575562700965
escolaridad,3,0.002411575562700965
indicador,3,0.002411575562700965
cliente,3,0.002411575562700965
área,2,0.001607717041800643
material,2,0.001607717041800643
cultural,2,0.001607717041800643
país,2,0.001607717041800643
recurso,2,0.001607717041800643
facilitar,2,0.001607717041800643
concepto,2,0.001607717041800643
existir,2,0.001607717041800643
criterio,2,0.001607717041800643
actual,2,0.001607717041800643
propuesta,2,0.001607717041800643
principalmente,2,0.001607717041800643
mexicano,2,0.001607717041800643
forma,2,0.001607717041800643
organización,2,0.001607717041800643
buscar,2,0.001607717041800643
presentar,2,0.001607717041800643
grupo,2,0.001607717041800643
2004,2,0.001607717041800643
desarrollo,2,0.001607717041800643
dirigir,2,0.001607717041800643
objetivo,2,0.001607717041800643
componer,2,0.001607717041800643
depender,2,0.001607717041800643
abrir,2,0.001607717041800643
acceso,2,0.001607717041800643
resultar,2,0.001607717041800643
tipo,2,0.001607717041800643
adulto,2,0.001607717041800643
punto,2,0.001607717041800643
obtener,2,0.001607717041800643
adecuar,2,0.001607717041800643
libre,2,0.001607717041800643
histórico,2,0.001607717041800643
representatividad,2,0.001607717041800643
género,2,0.001607717041800643
3,2,0.001607717041800643
consulta,2,0.001607717041800643
integrar,2,0.001607717041800643
evaluar,2,0.001607717041800643
hablar,2,0.001607717041800643
decidir,2,0.001607717041800643
variar,2,0.001607717041800643
establecer,2,0.001607717041800643
trabajar,2,0.001607717041800643
describir,2,0.001607717041800643
origen,2,0.001607717041800643
comprender,2,0.001607717041800643
evitar,2,0.001607717041800643
influir,2,0.001607717041800643
visión,2,0.001607717041800643
masturbación,2,0.001607717041800643
habilidad,2,0.001607717041800643
93,2,0.001607717041800643
ítem,2,0.001607717041800643
recoger,2,0.001607717041800643
sociodemográficas,2,0.001607717041800643
selección,2,0.001607717041800643
función,2,0.001607717041800643
trasmitir,2,0.001607717041800643
socialmente,2,0.001607717041800643
permisibilidad,2,0.001607717041800643
mantener,2,0.001607717041800643
curioso,2,0.001607717041800643
parecer,2,0.001607717041800643
provocar,2,0.001607717041800643
sociedad,2,0.001607717041800643
transmisión,2,0.001607717041800643
protección,2,0.001607717041800643
reciente,2,0.001607717041800643
activo,2,0.001607717041800643
respectivamente,2,0.001607717041800643
señalar,2,0.001607717041800643
marcador,2,0.001607717041800643
civil,2,0.001607717041800643
asimismo,2,0.001607717041800643
rural,2,0.001607717041800643
urbano,2,0.001607717041800643
vivir,2,0.001607717041800643
dejar,2,0.001607717041800643
interior,2,0.001607717041800643
altamente,2,0.001607717041800643
medicalizada,2,0.001607717041800643
fisiológico,2,0.001607717041800643
fijo,2,0.001607717041800643
sano,2,0.001607717041800643
divergencia,2,0.001607717041800643
norma,2,0.001607717041800643
investigar,2,0.001607717041800643
impulso,2,0.001607717041800643
erótico,2,0.001607717041800643
sujeto,2,0.001607717041800643
serie,2,0.001607717041800643
arrojar,2,0.001607717041800643
actividad,2,0.001607717041800643
acto_sexual,2,0.001607717041800643
característica,2,0.001607717041800643
normatividad,2,0.001607717041800643
desigualdad,2,0.001607717041800643
significado,2,0.001607717041800643
violencia,2,0.001607717041800643
conyugal,2,0.001607717041800643
marcar,2,0.001607717041800643
afectar,2,0.001607717041800643
personal,2,0.001607717041800643
feminidad,2,0.001607717041800643
cambio,2,0.001607717041800643
simbolizar,2,0.001607717041800643
especial,2,0.001607717041800643
instrumento,2,0.001607717041800643
coerción,2,0.001607717041800643
discriminación,2,0.001607717041800643
sistema,2,0.001607717041800643
ford,2,0.001607717041800643
beach,2,0.001607717041800643
1951,2,0.001607717041800643
pomeroy,2,0.001607717041800643
martin,2,0.001607717041800643
1948,2,0.001607717041800643
rechazo,2,0.001607717041800643
escenario,2,0.001607717041800643
propicio,2,0.001607717041800643
movimiento,2,0.001607717041800643
1987,2,0.001607717041800643
escobar,2,0.001607717041800643
coba,2,0.001607717041800643
money,2,0.001607717041800643
lamacz,2,0.001607717041800643
1989,2,0.001607717041800643
concebir,2,0.001607717041800643
289,2,0.001607717041800643
clasificar,2,0.001607717041800643
cajiao,2,0.001607717041800643
2007,2,0.001607717041800643
dsmiv,2,0.001607717041800643
ameri,2,0.001607717041800643
can,2,0.001607717041800643
psychiatric,2,0.001607717041800643
association,2,0.001607717041800643
únicamente,2,0.001607717041800643
malestar,2,0.001607717041800643
alteración,2,0.001607717041800643
clínicamente,2,0.001607717041800643
voyeristas,2,0.001607717041800643
masoquista,2,0.001607717041800643
romi,2,0.001607717041800643
reportar,2,0.001607717041800643
mitofsky,2,0.001607717041800643
villanova,2,0.001607717041800643
mero,2,0.001607717041800643
fisiología,2,0.001607717041800643
probable,2,0.001607717041800643
deseabilidad,2,0.001607717041800643
sentir,2,0.001607717041800643
