Respuesta,Frecuencia,Asociación
establecer,3,0.02586206896551724
unión,3,0.02586206896551724
año,2,0.017241379310344827
1,2,0.017241379310344827
salir,2,0.017241379310344827
derecho,2,0.017241379310344827
hijo,2,0.017241379310344827
heredar,2,0.017241379310344827
madre,2,0.017241379310344827
hogar,2,0.017241379310344827
adulterio,2,0.017241379310344827
concubina,2,0.017241379310344827
concubinos,2,0.017241379310344827
área,1,0.008620689655172414
méxico,1,0.008620689655172414
tratar,1,0.008620689655172414
basar,1,0.008620689655172414
diverso,1,0.008620689655172414
común,1,0.008620689655172414
actual,1,0.008620689655172414
tender,1,0.008620689655172414
2,1,0.008620689655172414
lugar,1,0.008620689655172414
pensar,1,0.008620689655172414
3,1,0.008620689655172414
4,1,0.008620689655172414
cincar,1,0.008620689655172414
distinto,1,0.008620689655172414
incluir,1,0.008620689655172414
relación,1,0.008620689655172414
pareja,1,0.008620689655172414
edad,1,0.008620689655172414
tiempo,1,0.008620689655172414
5,1,0.008620689655172414
persona,1,0.008620689655172414
determinar,1,0.008620689655172414
condición,1,0.008620689655172414
regular,1,0.008620689655172414
urbano,1,0.008620689655172414
mujer,1,0.008620689655172414
depravar,1,0.008620689655172414
aspecto,1,0.008620689655172414
padre,1,0.008620689655172414
jefe,1,0.008620689655172414
matrimonio,1,0.008620689655172414
casar,1,0.008620689655172414
durar,1,0.008620689655172414
6,1,0.008620689655172414
17,1,0.008620689655172414
sentencia,1,0.008620689655172414
reglamentar,1,0.008620689655172414
1992,1,0.008620689655172414
regla,1,0.008620689655172414
estadística,1,0.008620689655172414
civil,1,0.008620689655172414
morir,1,0.008620689655172414
extraño,1,0.008620689655172414
rural,1,0.008620689655172414
80,1,0.008620689655172414
horror,1,0.008620689655172414
convivencia,1,0.008620689655172414
carlos,1,0.008620689655172414
demográfico,1,0.008620689655172414
30,1,0.008620689655172414
pérdida,1,0.008620689655172414
desgraciar,1,0.008620689655172414
condenar,1,0.008620689655172414
valoración,1,0.008620689655172414
igualmente,1,0.008620689655172414
categoría,1,0.008620689655172414
específicamente,1,0.008620689655172414
df,1,0.008620689655172414
código,1,0.008620689655172414
competencia,1,0.008620689655172414
denominación,1,0.008620689655172414
juntar,1,0.008620689655172414
sucesión,1,0.008620689655172414
desgracia,1,0.008620689655172414
residente,1,0.008620689655172414
soltero,1,0.008620689655172414
miseria,1,0.008620689655172414
casado,1,0.008620689655172414
sobrevivir,1,0.008620689655172414
abuelo,1,0.008620689655172414
aplicable,1,0.008620689655172414
patria,1,0.008620689655172414
primo,1,0.008620689655172414
187,1,0.008620689655172414
amigosas,1,0.008620689655172414
3a,1,0.008620689655172414
3b,1,0.008620689655172414
macabro,1,0.008620689655172414
sobrino,1,0.008620689655172414
apagar,1,0.008620689655172414
concubinario,1,0.008620689655172414
cónyuge,1,0.008620689655172414
concubinarios,1,0.008620689655172414
condenatorio,1,0.008620689655172414
potestad,1,0.008620689655172414
jefatura,1,0.008620689655172414
preferentemente,1,0.008620689655172414
