Respuesta,Frecuencia,Asociación
trabajador_sexual,38,0.017335766423357664
cliente,32,0.014598540145985401
mujer,30,0.013686131386861315
pareja,29,0.01322992700729927
sexual,21,0.00958029197080292
estudio,21,0.00958029197080292
hombre,20,0.009124087591240875
relación_sexual,19,0.008667883211678832
joven,18,0.008211678832116789
utilizar,14,0.006386861313868613
personal,14,0.006386861313868613
reportar,14,0.006386861313868613
información,13,0.005930656934306569
relación,13,0.005930656934306569
riesgo,12,0.005474452554744526
1,12,0.005474452554744526
declarar,12,0.005474452554744526
factor,11,0.005018248175182482
nivel,11,0.005018248175182482
adolescente,11,0.005018248175182482
its,11,0.005018248175182482
méxico,10,0.004562043795620438
sexo,10,0.004562043795620438
método,9,0.004105839416058394
encontrar,9,0.004105839416058394
mostrar,9,0.004105839416058394
edad,9,0.004105839416058394
referir,9,0.004105839416058394
anticonceptivo,9,0.004105839416058394
prevención,8,0.0036496350364963502
ciudad,8,0.0036496350364963502
hablar,7,0.0031934306569343066
razón,7,0.0031934306569343066
alto,7,0.0031934306569343066
do,7,0.0031934306569343066
encuesta,7,0.0031934306569343066
iniciar,7,0.0031934306569343066
considerar,7,0.0031934306569343066
mayoría,6,0.002737226277372263
proporcionar,6,0.002737226277372263
tipo,6,0.002737226277372263
indicar,6,0.002737226277372263
caso,6,0.002737226277372263
transmisión,6,0.002737226277372263
infección,6,0.002737226277372263
varón,6,0.002737226277372263
profesional,6,0.002737226277372263
soltero,6,0.002737226277372263
artículo,5,0.002281021897810219
trabajo,5,0.002281021897810219
año,5,0.002281021897810219
análisis,5,0.002281021897810219
dato,5,0.002281021897810219
sitio,5,0.002281021897810219
representar,5,0.002281021897810219
cosa,5,0.002281021897810219
asimismo,5,0.002281021897810219
práctica,5,0.002281021897810219
menor,5,0.002281021897810219
15,5,0.002281021897810219
prevenir,5,0.002281021897810219
influencia,5,0.002281021897810219
proporción,5,0.002281021897810219
píldora,5,0.002281021897810219
trabajador,5,0.002281021897810219
seguro,5,0.002281021897810219
cuestionario,5,0.002281021897810219
colaborador,5,0.002281021897810219
área,4,0.0018248175182481751
presentar,4,0.0018248175182481751
decidir,4,0.0018248175182481751
número,4,0.0018248175182481751
pasar,4,0.0018248175182481751
posibilidad,4,0.0018248175182481751
privar,4,0.0018248175182481751
resultado,4,0.0018248175182481751
experiencia,4,0.0018248175182481751
percepción,4,0.0018248175182481751
21,4,0.0018248175182481751
preservativo,4,0.0018248175182481751
chico,4,0.0018248175182481751
observar,4,0.0018248175182481751
entrevistar,4,0.0018248175182481751
mitad,4,0.0018248175182481751
parecer,4,0.0018248175182481751
participante,4,0.0018248175182481751
confianza,4,0.0018248175182481751
novio,4,0.0018248175182481751
falta,4,0.0018248175182481751
semana,4,0.0018248175182481751
ensa,4,0.0018248175182481751
promover,4,0.0018248175182481751
concluir,4,0.0018248175182481751
contacto,4,0.0018248175182481751
explicar,3,0.0013686131386861315
país,3,0.0013686131386861315
deber,3,0.0013686131386861315
barrera,3,0.0013686131386861315
necesidad,3,0.0013686131386861315
programa,3,0.0013686131386861315
relacionar,3,0.0013686131386861315
grupo,3,0.0013686131386861315
2,3,0.0013686131386861315
importante,3,0.0013686131386861315
utilización,3,0.0013686131386861315
llegar,3,0.0013686131386861315
autor,3,0.0013686131386861315
variación,3,0.0013686131386861315
región,3,0.0013686131386861315
respuesta,3,0.0013686131386861315
comportamiento_sexual,3,0.0013686131386861315
actividad_sexual,3,0.0013686131386861315
5,3,0.0013686131386861315
importar,3,0.0013686131386861315
persona,3,0.0013686131386861315
frecuente,3,0.0013686131386861315
variable,3,0.0013686131386861315
valor,3,0.0013686131386861315
situación,3,0.0013686131386861315
cambio,3,0.0013686131386861315
aumentar,3,0.0013686131386861315
asociar,3,0.0013686131386861315
hipótesis,3,0.0013686131386861315
20,3,0.0013686131386861315
coital,3,0.0013686131386861315
positivo,3,0.0013686131386861315
urbano,3,0.0013686131386861315
médico,3,0.0013686131386861315
romper,3,0.0013686131386861315
heterosexual,3,0.0013686131386861315
fuerte,3,0.0013686131386861315
aceptar,3,0.0013686131386861315
mantener,3,0.0013686131386861315
dificultad,3,0.0013686131386861315
enfocar,3,0.0013686131386861315
compromiso,3,0.0013686131386861315
acto,3,0.0013686131386861315
vih,3,0.0013686131386861315
señalar,3,0.0013686131386861315
abstinencia,3,0.0013686131386861315
evidencia,3,0.0013686131386861315
cuantitativo,3,0.0013686131386861315
beneficio,3,0.0013686131386861315
intervención,3,0.0013686131386861315
pedir,3,0.0013686131386861315
pastilla,3,0.0013686131386861315
protección,3,0.0013686131386861315
prevalencia,3,0.0013686131386861315
formulación,3,0.0013686131386861315
vida_sexual,3,0.0013686131386861315
demográfico,3,0.0013686131386861315
escolaridad,3,0.0013686131386861315
estimación,3,0.0013686131386861315
hallazgo,3,0.0013686131386861315
sugerir,3,0.0013686131386861315
maravilloso,3,0.0013686131386861315
noviazgo,3,0.0013686131386861315
negociación,3,0.0013686131386861315
contagio,3,0.0013686131386861315
indonesio,3,0.0013686131386861315
consistente,3,0.0013686131386861315
encuentro,3,0.0013686131386861315
insistir,3,0.0013686131386861315
conasida,3,0.0013686131386861315
promoción,3,0.0013686131386861315
sexualidad,2,0.0009124087591240876
término,2,0.0009124087591240876
proceso,2,0.0009124087591240876
seguir,2,0.0009124087591240876
sentar,2,0.0009124087591240876
problema,2,0.0009124087591240876
aunar,2,0.0009124087591240876
social,2,0.0009124087591240876
cultural,2,0.0009124087591240876
conocimiento,2,0.0009124087591240876
permitir,2,0.0009124087591240876
general,2,0.0009124087591240876
suponer,2,0.0009124087591240876
mexicano,2,0.0009124087591240876
educación,2,0.0009124087591240876
educación_sexual,2,0.0009124087591240876
forma,2,0.0009124087591240876
ámbito,2,0.0009124087591240876
salud,2,0.0009124087591240876
disponible,2,0.0009124087591240876
mencionar,2,0.0009124087591240876
nacional,2,0.0009124087591240876
documento,2,0.0009124087591240876
momento,2,0.0009124087591240876
cuyo,2,0.0009124087591240876
solución,2,0.0009124087591240876
servir,2,0.0009124087591240876
lugar,2,0.0009124087591240876
contexto,2,0.0009124087591240876
usuario,2,0.0009124087591240876
secundario,2,0.0009124087591240876
finalmente,2,0.0009124087591240876
género,2,0.0009124087591240876
asociación,2,0.0009124087591240876
3,2,0.0009124087591240876
efectividad,2,0.0009124087591240876
tomar,2,0.0009124087591240876
lengua,2,0.0009124087591240876
distinto,2,0.0009124087591240876
cuerpo,2,0.0009124087591240876
incluir,2,0.0009124087591240876
anal,2,0.0009124087591240876
aumento,2,0.0009124087591240876
placer,2,0.0009124087591240876
masculino,2,0.0009124087591240876
femenino,2,0.0009124087591240876
desarrollar,2,0.0009124087591240876
enfermedad,2,0.0009124087591240876
comportamiento,2,0.0009124087591240876
fidelidad,2,0.0009124087591240876
infidelidad,2,0.0009124087591240876
tiempo,2,0.0009124087591240876
reconocimiento,2,0.0009124087591240876
servicio,2,0.0009124087591240876
discusión,2,0.0009124087591240876
pregunta,2,0.0009124087591240876
medida,2,0.0009124087591240876
correcto,2,0.0009124087591240876
ejemplo,2,0.0009124087591240876
estadístico,2,0.0009124087591240876
porcentaje,2,0.0009124087591240876
significativo,2,0.0009124087591240876
importancia,2,0.0009124087591240876
capacidad,2,0.0009124087591240876
vivir,2,0.0009124087591240876
embarazo,2,0.0009124087591240876
revisión,2,0.0009124087591240876
76,2,0.0009124087591240876
entrevista,2,0.0009124087591240876
18,2,0.0009124087591240876
118,2,0.0009124087591240876
entender,2,0.0009124087591240876
inicio,2,0.0009124087591240876
distinguir,2,0.0009124087591240876
siglo,2,0.0009124087591240876
rechazar,2,0.0009124087591240876
homosexual,2,0.0009124087591240876
real,2,0.0009124087591240876
reproductivo,2,0.0009124087591240876
sida,2,0.0009124087591240876
matrimonio,2,0.0009124087591240876
p,2,0.0009124087591240876
valer,2,0.0009124087591240876
instrucción,2,0.0009124087591240876
pasivo,2,0.0009124087591240876
expresar,2,0.0009124087591240876
múltiple,2,0.0009124087591240876
cambiar,2,0.0009124087591240876
práctico,2,0.0009124087591240876
familiar,2,0.0009124087591240876
amor,2,0.0009124087591240876
percibir,2,0.0009124087591240876
advertir,2,0.0009124087591240876
reducir,2,0.0009124087591240876
media,2,0.0009124087591240876
6,2,0.0009124087591240876
amigo,2,0.0009124087591240876
hermano,2,0.0009124087591240876
planificación,2,0.0009124087591240876
eficaz,2,0.0009124087591240876
ocasional,2,0.0009124087591240876
diu,2,0.0009124087591240876
probabilidad,2,0.0009124087591240876
obstante,2,0.0009124087591240876
inmediato,2,0.0009124087591240876
decisión,2,0.0009124087591240876
exposición,2,0.0009124087591240876
económico,2,0.0009124087591240876
separación,2,0.0009124087591240876
comparación,2,0.0009124087591240876
plazo,2,0.0009124087591240876
12,2,0.0009124087591240876
74,2,0.0009124087591240876
abortivo,2,0.0009124087591240876
especialmente,2,0.0009124087591240876
civil,2,0.0009124087591240876
cerrar,2,0.0009124087591240876
diafragma,2,0.0009124087591240876
justo,2,0.0009124087591240876
706,2,0.0009124087591240876
654,2,0.0009124087591240876
253,2,0.0009124087591240876
crema,2,0.0009124087591240876
espermicida,2,0.0009124087591240876
267,2,0.0009124087591240876
orinar,2,0.0009124087591240876
inmediatamente,2,0.0009124087591240876
598,2,0.0009124087591240876
263,2,0.0009124087591240876
112,2,0.0009124087591240876
756,2,0.0009124087591240876
32,2,0.0009124087591240876
95,2,0.0009124087591240876
201,2,0.0009124087591240876
704,2,0.0009124087591240876
excitar,2,0.0009124087591240876
104,2,0.0009124087591240876
708,2,0.0009124087591240876
787,2,0.0009124087591240876
cortar,2,0.0009124087591240876
farmacia,2,0.0009124087591240876
comprar,2,0.0009124087591240876
43,2,0.0009124087591240876
331,2,0.0009124087591240876
626,2,0.0009124087591240876
196,2,0.0009124087591240876
marchar,2,0.0009124087591240876
atrás149,2,0.0009124087591240876
gustar,2,0.0009124087591240876
vihsida,2,0.0009124087591240876
dificultar,2,0.0009124087591240876
resaltar,2,0.0009124087591240876
sexual24,2,0.0009124087591240876
constante,2,0.0009124087591240876
cuadro,2,0.0009124087591240876
debut,2,0.0009124087591240876
19,2,0.0009124087591240876
suceso,2,0.0009124087591240876
indígena,2,0.0009124087591240876
antecedente,2,0.0009124087591240876
incrementar,2,0.0009124087591240876
rural,2,0.0009124087591240876
incrementándose,2,0.0009124087591240876
soler,2,0.0009124087591240876
circunstancia,2,0.0009124087591240876
multiplicidad,2,0.0009124087591240876
anteceder,2,0.0009124087591240876
literatura,2,0.0009124087591240876
perfil,2,0.0009124087591240876
riesgoso,2,0.0009124087591240876
mayor4,2,0.0009124087591240876
pena,2,0.0009124087591240876
susto,2,0.0009124087591240876
implicación,2,0.0009124087591240876
supuestamente,2,0.0009124087591240876
propicio,2,0.0009124087591240876
látex,2,0.0009124087591240876
afecto,2,0.0009124087591240876
77,2,0.0009124087591240876
evento,2,0.0009124087591240876
elevar,2,0.0009124087591240876
signo,2,0.0009124087591240876
hotel,2,0.0009124087591240876
lubricante,2,0.0009124087591240876
ruptura,2,0.0009124087591240876
42,2,0.0009124087591240876
n14,2,0.0009124087591240876
prestar,2,0.0009124087591240876
n50,2,0.0009124087591240876
administración,2,0.0009124087591240876
proveer,2,0.0009124087591240876
127,2,0.0009124087591240876
n42,2,0.0009124087591240876
n7,2,0.0009124087591240876
n8,2,0.0009124087591240876
reseña,2,0.0009124087591240876
comercio,2,0.0009124087591240876
noche,2,0.0009124087591240876
200,2,0.0009124087591240876
sexo_oral,2,0.0009124087591240876
camden,2,0.0009124087591240876
jersey,2,0.0009124087591240876
eua,2,0.0009124087591240876
clientes37,2,0.0009124087591240876
bulawayo,2,0.0009124087591240876
harare,2,0.0009124087591240876
430,2,0.0009124087591240876
etnográfico,2,0.0009124087591240876
30,2,0.0009124087591240876
temer,2,0.0009124087591240876
violencia,2,0.0009124087591240876
medioalto,2,0.0009124087591240876
lama,2,0.0009124087591240876
exclusivo,2,0.0009124087591240876
tratamiento,2,0.0009124087591240876
capacitación,2,0.0009124087591240876
1995,2,0.0009124087591240876
confiable,2,0.0009124087591240876
planear,2,0.0009124087591240876
mexfam,2,0.0009124087591240876
et,2,0.0009124087591240876
perinatal,2,0.0009124087591240876
47,2,0.0009124087591240876
predominar,2,0.0009124087591240876
reducción,2,0.0009124087591240876
intención,2,0.0009124087591240876
propiciar,2,0.0009124087591240876
fiel,2,0.0009124087591240876
vacuna,2,0.0009124087591240876
básico,1,0.0004562043795620438
proponer,1,0.0004562043795620438
terreno,1,0.0004562043795620438
estudiar,1,0.0004562043795620438
base,1,0.0004562043795620438
material,1,0.0004562043795620438
etcétera,1,0.0004562043795620438
tratar,1,0.0004562043795620438
proyecto,1,0.0004562043795620438
basar,1,0.0004562043795620438
palabra,1,0.0004562043795620438
específico,1,0.0004562043795620438
i,1,0.0004562043795620438
diverso,1,0.0004562043795620438
perspectiva,1,0.0004562043795620438
abordar,1,0.0004562043795620438
tema,1,0.0004562043795620438
principio,1,0.0004562043795620438
construcción,1,0.0004562043795620438
acercar,1,0.0004562043795620438
indispensable,1,0.0004562043795620438
contar,1,0.0004562043795620438
recurso,1,0.0004562043795620438
facilitar,1,0.0004562043795620438
concepto,1,0.0004562043795620438
común,1,0.0004562043795620438
existente,1,0.0004562043795620438
población,1,0.0004562043795620438
necesario,1,0.0004562043795620438
existir,1,0.0004562043795620438
actual,1,0.0004562043795620438
ejercicio,1,0.0004562043795620438
propuesta,1,0.0004562043795620438
principalmente,1,0.0004562043795620438
impartir,1,0.0004562043795620438
difusión,1,0.0004562043795620438
informar,1,0.0004562043795620438
tender,1,0.0004562043795620438
constituir,1,0.0004562043795620438
mundial,1,0.0004562043795620438
2000,1,0.0004562043795620438
alternativa,1,0.0004562043795620438
herramienta,1,0.0004562043795620438
variedad,1,0.0004562043795620438
caber,1,0.0004562043795620438
investigación,1,0.0004562043795620438
desarrollo,1,0.0004562043795620438
consejo,1,0.0004562043795620438
ciencia,1,0.0004562043795620438
modelo,1,0.0004562043795620438
interacción,1,0.0004562043795620438
amplio,1,0.0004562043795620438
eficiente,1,0.0004562043795620438
necesitar,1,0.0004562043795620438
cualquiera,1,0.0004562043795620438
documentar,1,0.0004562043795620438
dirigir,1,0.0004562043795620438
diseño,1,0.0004562043795620438
objetivo,1,0.0004562043795620438
principal,1,0.0004562043795620438
resolución,1,0.0004562043795620438
público,1,0.0004562043795620438
requerir,1,0.0004562043795620438
depender,1,0.0004562043795620438
presente,1,0.0004562043795620438
corresponder,1,0.0004562043795620438
versión,1,0.0004562043795620438
abrir,1,0.0004562043795620438
ocurrencia,1,0.0004562043795620438
autorizar,1,0.0004562043795620438
acceso,1,0.0004562043795620438
carácter,1,0.0004562043795620438
pensar,1,0.0004562043795620438
niño,1,0.0004562043795620438
b,1,0.0004562043795620438
estudiante,1,0.0004562043795620438
preparatorio,1,0.0004562043795620438
punto,1,0.0004562043795620438
obtener,1,0.0004562043795620438
papel,1,0.0004562043795620438
negociar,1,0.0004562043795620438
distribución,1,0.0004562043795620438
adecuar,1,0.0004562043795620438
libre,1,0.0004562043795620438
par,1,0.0004562043795620438
estrategia,1,0.0004562043795620438
técnica,1,0.0004562043795620438
