Respuesta,Frecuencia,Asociación
pareja,13,0.01925925925925926
persona,7,0.01037037037037037
relación_sexual,6,0.008888888888888889
explicar,4,0.005925925925925926
existir,4,0.005925925925925926
grupo,4,0.005925925925925926
practicar,4,0.005925925925925926
condón,4,0.005925925925925926
proceso,3,0.0044444444444444444
tratar,3,0.0044444444444444444
deber,3,0.0044444444444444444
información,3,0.0044444444444444444
suponer,3,0.0044444444444444444
educación,3,0.0044444444444444444
riesgo,3,0.0044444444444444444
sexual,3,0.0044444444444444444
sistema,3,0.0044444444444444444
conducta,3,0.0044444444444444444
menor,3,0.0044444444444444444
sexo,3,0.0044444444444444444
acompañar,3,0.0044444444444444444
falta,3,0.0044444444444444444
novio,3,0.0044444444444444444
mutuo,3,0.0044444444444444444
exigencia,3,0.0044444444444444444
95,3,0.0044444444444444444
trabajo,2,0.002962962962962963
seguir,2,0.002962962962962963
basar,2,0.002962962962962963
social,2,0.002962962962962963
conocimiento,2,0.002962962962962963
responder,2,0.002962962962962963
mexicano,2,0.002962962962962963
vehículo,2,0.002962962962962963
mundial,2,0.002962962962962963
año,2,0.002962962962962963
2004,2,0.002962962962962963
análisis,2,0.002962962962962963
momento,2,0.002962962962962963
2,2,0.002962962962962963
cuyo,2,0.002962962962962963
joven,2,0.002962962962962963
adulto,2,0.002962962962962963
1,2,0.002962962962962963
género,2,0.002962962962962963
consulta,2,0.002962962962962963
atractivo,2,0.002962962962962963
utilizar,2,0.002962962962962963
hablar,2,0.002962962962962963
número,2,0.002962962962962963
completo,2,0.002962962962962963
caso,2,0.002962962962962963
nivel,2,0.002962962962962963
actualmente,2,0.002962962962962963
razón,2,0.002962962962962963
placer,2,0.002962962962962963
rol,2,0.002962962962962963
masculino,2,0.002962962962962963
femenino,2,0.002962962962962963
fidelidad,2,0.002962962962962963
posibilidad,2,0.002962962962962963
discusión,2,0.002962962962962963
coincidir,2,0.002962962962962963
pertenecer,2,0.002962962962962963
controlar,2,0.002962962962962963
suficiente,2,0.002962962962962963
pleno,2,0.002962962962962963
seleccionar,2,0.002962962962962963
significativo,2,0.002962962962962963
variable,2,0.002962962962962963
valor,2,0.002962962962962963
ende,2,0.002962962962962963
situación,2,0.002962962962962963
prueba,2,0.002962962962962963
adolescente,2,0.002962962962962963
embarazo,2,0.002962962962962963
desear,2,0.002962962962962963
aumentar,2,0.002962962962962963
actitud,2,0.002962962962962963
producir,2,0.002962962962962963
percepción,2,0.002962962962962963
considerar,2,0.002962962962962963
físico,2,0.002962962962962963
entrevista,2,0.002962962962962963
mujer,2,0.002962962962962963
únicamente,2,0.002962962962962963
aportar,2,0.002962962962962963
escolar,2,0.002962962962962963
entrevistar,2,0.002962962962962963
padre,2,0.002962962962962963
influencia,2,0.002962962962962963
hijo,2,0.002962962962962963
interpretar,2,0.002962962962962963
expectativa,2,0.002962962962962963
hombre,2,0.002962962962962963
motivo,2,0.002962962962962963
erótico,2,0.002962962962962963
familiar,2,0.002962962962962963
amor,2,0.002962962962962963
compromiso,2,0.002962962962962963
implícito,2,0.002962962962962963
alguien,2,0.002962962962962963
50,2,0.002962962962962963
afirmativo,2,0.002962962962962963
232,2,0.002962962962962963
906,2,0.002962962962962963
ítem,2,0.002962962962962963
soler,2,0.002962962962962963
amigo,2,0.002962962962962963
preferir,2,0.002962962962962963
noviazgo,2,0.002962962962962963
viéndose,2,0.002962962962962963
seguridad,2,0.002962962962962963
frecuencia,2,0.002962962962962963
igualdad,2,0.002962962962962963
momio,2,0.002962962962962963
rm,2,0.002962962962962963
intervalo,2,0.002962962962962963
contacto,2,0.002962962962962963
its,2,0.002962962962962963
planificación,2,0.002962962962962963
fecha,2,0.002962962962962963
menstruación,2,0.002962962962962963
espermatofagia,2,0.002962962962962963
hallazgo,2,0.002962962962962963
mitofsky,2,0.002962962962962963
casual,2,0.002962962962962963
compensación,2,0.002962962962962963
estimulante,2,0.002962962962962963
comparación,2,0.002962962962962963
sexualidad,1,0.0014814814814814814
término,1,0.0014814814814814814
red,1,0.0014814814814814814
orientar,1,0.0014814814814814814
palabra,1,0.0014814814814814814
diverso,1,0.0014814814814814814
tema,1,0.0014814814814814814
reto,1,0.0014814814814814814
encontrar,1,0.0014814814814814814
elemento,1,0.0014814814814814814
cultural,1,0.0014814814814814814
construcción,1,0.0014814814814814814
acercar,1,0.0014814814814814814
contar,1,0.0014814814814814814
facilitar,1,0.0014814814814814814
permitir,1,0.0014814814814814814
común,1,0.0014814814814814814
comunicación,1,0.0014814814814814814
general,1,0.0014814814814814814
necesidad,1,0.0014814814814814814
conjunto,1,0.0014814814814814814
educación_sexual,1,0.0014814814814814814
forma,1,0.0014814814814814814
factor,1,0.0014814814814814814
ámbito,1,0.0014814814814814814
tender,1,0.0014814814814814814
organización,1,0.0014814814814814814
salud,1,0.0014814814814814814
alternativa,1,0.0014814814814814814
acción,1,0.0014814814814814814
relacionar,1,0.0014814814814814814
fuente,1,0.0014814814814814814
desarrollo,1,0.0014814814814814814
crear,1,0.0014814814814814814
interacción,1,0.0014814814814814814
amplio,1,0.0014814814814814814
necesitar,1,0.0014814814814814814
ayuda,1,0.0014814814814814814
objetivo,1,0.0014814814814814814
contribuir,1,0.0014814814814814814
importante,1,0.0014814814814814814
depender,1,0.0014814814814814814
servir,1,0.0014814814814814814
lugar,1,0.0014814814814814814
contexto,1,0.0014814814814814814
usuario,1,0.0014814814814814814
niño,1,0.0014814814814814814
obtener,1,0.0014814814814814814
papel,1,0.0014814814814814814
negociar,1,0.0014814814814814814
libre,1,0.0014814814814814814
mostrar,1,0.0014814814814814814
estrategia,1,0.0014814814814814814
implicar,1,0.0014814814814814814
asociación,1,0.0014814814814814814
nombre,1,0.0014814814814814814
separar,1,0.0014814814814814814
evaluar,1,0.0014814814814814814
construir,1,0.0014814814814814814
escribir,1,0.0014814814814814814
duda,1,0.0014814814814814814
pasar,1,0.0014814814814814814
establecer,1,0.0014814814814814814
división,1,0.0014814814814814814
trabajar,1,0.0014814814814814814
origen,1,0.0014814814814814814
contenido,1,0.0014814814814814814
estructura,1,0.0014814814814814814
representar,1,0.0014814814814814814
control,1,0.0014814814814814814
psicológico,1,0.0014814814814814814
identidad,1,0.0014814814814814814
sujeto,1,0.0014814814814814814
diferencia,1,0.0014814814814814814
heterosexualidad,1,0.0014814814814814814
comportamiento,1,0.0014814814814814814
relación,1,0.0014814814814814814
individuo,1,0.0014814814814814814
habilidad,1,0.0014814814814814814
abuso,1,0.0014814814814814814
cultura,1,0.0014814814814814814
escuela,1,0.0014814814814814814
familia,1,0.0014814814814814814
edad,1,0.0014814814814814814
tiempo,1,0.0014814814814814814
alto,1,0.0014814814814814814
privar,1,0.0014814814814814814
reconocimiento,1,0.0014814814814814814
educativo,1,0.0014814814814814814
servicio,1,0.0014814814814814814
centro,1,0.0014814814814814814
cuidar,1,0.0014814814814814814
proceder,1,0.0014814814814814814
referir,1,0.0014814814814814814
fenómeno,1,0.0014814814814814814
cosa,1,0.0014814814814814814
dejar,1,0.0014814814814814814
elegir,1,0.0014814814814814814
condición,1,0.0014814814814814814
1999,1,0.0014814814814814814
cercano,1,0.0014814814814814814
importancia,1,0.0014814814814814814
consecuencia,1,0.0014814814814814814
analizar,1,0.0014814814814814814
ayudar,1,0.0014814814814814814
capacidad,1,0.0014814814814814814
futuro,1,0.0014814814814814814
organizar,1,0.0014814814814814814
apoyo,1,0.0014814814814814814
oportunidad,1,0.0014814814814814814
cambio,1,0.0014814814814814814
sentir,1,0.0014814814814814814
aprendizaje,1,0.0014814814814814814
práctica,1,0.0014814814814814814
defender,1,0.0014814814814814814
asociar,1,0.0014814814814814814
cuestionar,1,0.0014814814814814814
plantear,1,0.0014814814814814814
hipótesis,1,0.0014814814814814814
correr,1,0.0014814814814814814
afrontar,1,0.0014814814814814814
8,1,0.0014814814814814814
inicio,1,0.0014814814814814814
regular,1,0.0014814814814814814
secreto,1,0.0014814814814814814
exclusivamente,1,0.0014814814814814814
responsable,1,0.0014814814814814814
preparar,1,0.0014814814814814814
norma,1,0.0014814814814814814
médico,1,0.0014814814814814814
vital,1,0.0014814814814814814
infancia,1,0.0014814814814814814
posteriormente,1,0.0014814814814814814
teoría,1,0.0014814814814814814
fuerza,1,0.0014814814814814814
sufrir,1,0.0014814814814814814
vida,1,0.0014814814814814814
demostrar,1,0.0014814814814814814
manifestar,1,0.0014814814814814814
tradicional,1,0.0014814814814814814
ley,1,0.0014814814814814814
resumen,1,0.0014814814814814814
fuerte,1,0.0014814814814814814
riguroso,1,0.0014814814814814814
participar,1,0.0014814814814814814
socialización,1,0.0014814814814814814
aspecto,1,0.0014814814814814814
j,1,0.0014814814814814814
observar,1,0.0014814814814814814
generación,1,0.0014814814814814814
matrimonio,1,0.0014814814814814814
obligación,1,0.0014814814814814814
admitir,1,0.0014814814814814814
patrón,1,0.0014814814814814814
diferenciar,1,0.0014814814814814814
parecer,1,0.0014814814814814814
historia,1,0.0014814814814814814
máquina,1,0.0014814814814814814
generar,1,0.0014814814814814814
aceptar,1,0.0014814814814814814
compartir,1,0.0014814814814814814
esperar,1,0.0014814814814814814
expresar,1,0.0014814814814814814
ciclo,1,0.0014814814814814814
relevancia,1,0.0014814814814814814
múltiple,1,0.0014814814814814814
práctico,1,0.0014814814814814814
lograr,1,0.0014814814814814814
penetración,1,0.0014814814814814814
tabla,1,0.0014814814814814814
enamoramiento,1,0.0014814814814814814
intenso,1,0.0014814814814814814
adelantar,1,0.0014814814814814814
completar,1,0.0014814814814814814
contradecir,1,0.0014814814814814814
oler,1,0.0014814814814814814
figura,1,0.0014814814814814814
autoritario,1,0.0014814814814814814
sensación,1,0.0014814814814814814
desvelar,1,0.0014814814814814814
voz,1,0.0014814814814814814
intervenir,1,0.0014814814814814814
sano,1,0.0014814814814814814
permiso,1,0.0014814814814814814
regla,1,0.0014814814814814814
asumir,1,0.0014814814814814814
tutor,1,0.0014814814814814814
intervención,1,0.0014814814814814814
reproducción,1,0.0014814814814814814
concernir,1,0.0014814814814814814
140,1,0.0014814814814814814
ramírez,1,0.0014814814814814814
autoconfianza,1,0.0014814814814814814
andrógino,1,0.0014814814814814814
indiferenciado,1,0.0014814814814814814
profesionistas,1,0.0014814814814814814
trato,1,0.0014814814814814814
cálido,1,0.0014814814814814814
brindar,1,0.0014814814814814814
solicitar,1,0.0014814814814814814
castro,1,0.0014814814814814814
1998,1,0.0014814814814814814
denman,1,0.0014814814814814814
et,1,0.0014814814814814814
enunciar,1,0.0014814814814814814
sr,1,0.0014814814814814814
colocar,1,0.0014814814814814814
difícil,1,0.0014814814814814814
vihsida,1,0.0014814814814814814
imposibilidad,1,0.0014814814814814814
terminar,1,0.0014814814814814814
7,1,0.0014814814814814814
incapacidad,1,0.0014814814814814814
implicación,1,0.0014814814814814814
negociación,1,0.0014814814814814814
respeto,1,0.0014814814814814814
supuestamente,1,0.0014814814814814814
emblemático,1,0.0014814814814814814
autogestar,1,0.0014814814814814814
emprendedurismo,1,0.0014814814814814814
criticar,1,0.0014814814814814814
fuertemente,1,0.0014814814814814814
inoperatividad,1,0.0014814814814814814
burocracia,1,0.0014814814814814814
vertical,1,0.0014814814814814814
enaltecer,1,0.0014814814814814814
artífice,1,0.0014814814814814814
personalidad,1,0.0014814814814814814
depositar,1,0.0014814814814814814
autodeterminación,1,0.0014814814814814814
autorrealización,1,0.0014814814814814814
comprometer,1,0.0014814814814814814
investigaciónacción,1,0.0014814814814814814
camaradería,1,0.0014814814814814814
intimidad,1,0.0014814814814814814
afecto,1,0.0014814814814814814
hacendar,1,0.0014814814814814814
traje,1,0.0014814814814814814
vámonos,1,0.0014814814814814814
explayar,1,0.0014814814814814814
gf,1,0.0014814814814814814
disociación,1,0.0014814814814814814
corporal,1,0.0014814814814814814
separación,1,0.0014814814814814814
interior,1,0.0014814814814814814
trabajador_sexual,1,0.0014814814814814814
personal,1,0.0014814814814814814
profesional,1,0.0014814814814814814
cliente,1,0.0014814814814814814
anticonceptivo,1,0.0014814814814814814
bisexual,1,0.0014814814814814814
nuevamente,1,0.0014814814814814814
intercambio,1,0.0014814814814814814
igualitario,1,0.0014814814814814814
miembro,1,0.0014814814814814814
comprensión,1,0.0014814814814814814
erotismo,1,0.0014814814814814814
operar,1,0.0014814814814814814
externo,1,0.0014814814814814814
castidad,1,0.0014814814814814814
previo,1,0.0014814814814814814
unión,1,0.0014814814814814814
similar,1,0.0014814814814814814
violencia,1,0.0014814814814814814
imponer,1,0.0014814814814814814
varón,1,0.0014814814814814814
conyugal,1,0.0014814814814814814
mixto,1,0.0014814814814814814
exclusivo,1,0.0014814814814814814
adquirir,1,0.0014814814814814814
antecedente,1,0.0014814814814814814
romántico,1,0.0014814814814814814
entrega,1,0.0014814814814814814
temporal,1,0.0014814814814814814
emocional,1,0.0014814814814814814
acto_sexual,1,0.0014814814814814814
procreación,1,0.0014814814814814814
recreación,1,0.0014814814814814814
proteger,1,0.0014814814814814814
interés,1,0.0014814814814814814
consideración,1,0.0014814814814814814
reserva,1,0.0014814814814814814
relacionesobjeto,1,0.0014814814814814814
literalidad,1,0.0014814814814814814
relativamente,1,0.0014814814814814814
pequeño,1,0.0014814814814814814
llamada,1,0.0014814814814814814
explícito,1,0.0014814814814814814
vulnerable,1,0.0014814814814814814
dirigente,1,0.0014814814814814814
rey,1,0.0014814814814814814
masculinidad,1,0.0014814814814814814
firmeza,1,0.0014814814814814814
student,1,0.0014814814814814814
aceptación,1,0.0014814814814814814
salpingoclasia,1,0.0014814814814814814
calcular,1,0.0014814814814814814
ic,1,0.0014814814814814814
potencialmente,1,0.0014814814814814814
confusoras,1,0.0014814814814814814
estratificar,1,0.0014814814814814814
ji,1,0.0014814814814814814
escrito,1,0.0014814814814814814
haciéndome,1,0.0014814814814814814
tremendo,1,0.0014814814814814814
tristeza,1,0.0014814814814814814
habilitar,1,0.0014814814814814814
mediar,1,0.0014814814814814814
disculpa,1,0.0014814814814814814
risa,1,0.0014814814814814814
chiste,1,0.0014814814814814814
expresivamente,1,0.0014814814814814814
prioridad,1,0.0014814814814814814
