Respuesta,Frecuencia,Asociación
mujer,13,0.013612565445026177
caso,10,0.010471204188481676
edad,8,0.008376963350785341
adolescente,8,0.008376963350785341
información,7,0.007329842931937173
paciente,7,0.007329842931937173
contar,6,0.0062827225130890054
derecho,6,0.0062827225130890054
respeto,6,0.0062827225130890054
establecer,5,0.005235602094240838
relación,5,0.005235602094240838
persona,5,0.005235602094240838
padre,5,0.005235602094240838
decisión,5,0.005235602094240838
informar,4,0.004188481675392671
obtener,4,0.004188481675392671
relación_sexual,4,0.004188481675392671
pleno,4,0.004188481675392671
ley,4,0.004188481675392671
señalar,4,0.004188481675392671
previo,4,0.004188481675392671
confidencialidad,4,0.004188481675392671
méxico,3,0.0031413612565445027
deber,3,0.0031413612565445027
necesidad,3,0.0031413612565445027
salud,3,0.0031413612565445027
voluntario,3,0.0031413612565445027
decidir,3,0.0031413612565445027
tomar,3,0.0031413612565445027
requisito,3,0.0031413612565445027
nivel,3,0.0031413612565445027
referir,3,0.0031413612565445027
embarazo,3,0.0031413612565445027
iniciar,3,0.0031413612565445027
método_anticonceptivo,3,0.0031413612565445027
menor,3,0.0031413612565445027
entrevista,3,0.0031413612565445027
responsable,3,0.0031413612565445027
hijo,3,0.0031413612565445027
varón,3,0.0031413612565445027
madre,3,0.0031413612565445027
oficial,3,0.0031413612565445027
esterilización,3,0.0031413612565445027
maría,3,0.0031413612565445027
mutuo,3,0.0031413612565445027
especialmente,3,0.0031413612565445027
incesto,3,0.0031413612565445027
rosa,3,0.0031413612565445027
básico,2,0.0020942408376963353
método,2,0.0020942408376963353
diverso,2,0.0020942408376963353
social,2,0.0020942408376963353
cultural,2,0.0020942408376963353
acercar,2,0.0020942408376963353
permitir,2,0.0020942408376963353
general,2,0.0020942408376963353
existir,2,0.0020942408376963353
faltar,2,0.0020942408376963353
suponer,2,0.0020942408376963353
mexicano,2,0.0020942408376963353
relacionar,2,0.0020942408376963353
grupo,2,0.0020942408376963353
año,2,0.0020942408376963353
desarrollo,2,0.0020942408376963353
cualquiera,2,0.0020942408376963353
