Respuesta,Frecuencia,Asociación
producir,3,0.014778325123152709
menor,3,0.014778325123152709
muscular,3,0.014778325123152709
deber,2,0.009852216748768473
orgasmo,2,0.009852216748768473
estimulación,2,0.009852216748768473
edad,2,0.009852216748768473
curso,2,0.009852216748768473
mujer,2,0.009852216748768473
hombre,2,0.009852216748768473
experimentar,2,0.009852216748768473
prolongar,2,0.009852216748768473
vaginal,2,0.009852216748768473
útero,2,0.009852216748768473
disminuir,2,0.009852216748768473
dilatación,2,0.009852216748768473
semejante,2,0.009852216748768473
placentero,2,0.009852216748768473
proceso,1,0.0049261083743842365
seguir,1,0.0049261083743842365
tratar,1,0.0049261083743842365
problema,1,0.0049261083743842365
encontrar,1,0.0049261083743842365
principio,1,0.0049261083743842365
cantidad,1,0.0049261083743842365
común,1,0.0049261083743842365
general,1,0.0049261083743842365
contemplar,1,0.0049261083743842365
forma,1,0.0049261083743842365
informar,1,0.0049261083743842365
acción,1,0.0049261083743842365
desarrollo,1,0.0049261083743842365
momento,1,0.0049261083743842365
2,1,0.0049261083743842365
requerir,1,0.0049261083743842365
adecuar,1,0.0049261083743842365
idea,1,0.0049261083743842365
4,1,0.0049261083743842365
consistir,1,0.0049261083743842365
número,1,0.0049261083743842365
completo,1,0.0049261083743842365
cuerpo,1,0.0049261083743842365
respuesta,1,0.0049261083743842365
razón,1,0.0049261083743842365
cuestión,1,0.0049261083743842365
anal,1,0.0049261083743842365
coito,1,0.0049261083743842365
disminución,1,0.0049261083743842365
desarrollar,1,0.0049261083743842365
gama,1,0.0049261083743842365
prevención,1,0.0049261083743842365
tiempo,1,0.0049261083743842365
posibilidad,1,0.0049261083743842365
persona,1,0.0049261083743842365
desencadenar,1,0.0049261083743842365
fenómeno,1,0.0049261083743842365
eliminar,1,0.0049261083743842365
frecuente,1,0.0049261083743842365
posición,1,0.0049261083743842365
naturaleza,1,0.0049261083743842365
resultado,1,0.0049261083743842365
salir,1,0.0049261083743842365
aborto,1,0.0049261083743842365
practicar,1,0.0049261083743842365
extender,1,0.0049261083743842365
fuerza,1,0.0049261083743842365
utilidad,1,0.0049261083743842365
historia,1,0.0049261083743842365
órgano,1,0.0049261083743842365
vagina,1,0.0049261083743842365
inferior,1,0.0049261083743842365
repetir,1,0.0049261083743842365
lograr,1,0.0049261083743842365
grado,1,0.0049261083743842365
resto,1,0.0049261083743842365
penetración,1,0.0049261083743842365
intenso,1,0.0049261083743842365
pene,1,0.0049261083743842365
sensación,1,0.0049261083743842365
extremo,1,0.0049261083743842365
constricción,1,0.0049261083743842365
viejo,1,0.0049261083743842365
