Respuesta,Frecuencia,Asociación
riesgo,10,0.02680965147453083
mujer,4,0.010723860589812333
embarazo,3,0.00804289544235925
espacio,3,0.00804289544235925
trabajo,2,0.005361930294906166
tratar,2,0.005361930294906166
palabra,2,0.005361930294906166
social,2,0.005361930294906166
cultural,2,0.005361930294906166
general,2,0.005361930294906166
sexual,2,0.005361930294906166
año,2,0.005361930294906166
esquema,2,0.005361930294906166
publicar,2,0.005361930294906166
mostrar,2,0.005361930294906166
establecer,2,0.005361930294906166
identidad,2,0.005361930294906166
relación,2,0.005361930294906166
posibilidad,2,0.005361930294906166
reconocer,2,0.005361930294906166
persona,2,0.005361930294906166
importancia,2,0.005361930294906166
práctica,2,0.005361930294906166
producir,2,0.005361930294906166
suerte,2,0.005361930294906166
causa,2,0.005361930294906166
752,2,0.005361930294906166
homosexualidad,2,0.005361930294906166
trastorno,2,0.005361930294906166
66,2,0.005361930294906166
preservativo,2,0.005361930294906166
seguro,2,0.005361930294906166
colocar,2,0.005361930294906166
justo,2,0.005361930294906166
penetración,2,0.005361930294906166
706,2,0.005361930294906166
diu,2,0.005361930294906166
chico,2,0.005361930294906166
médico,2,0.005361930294906166
654,2,0.005361930294906166
diafragma,2,0.005361930294906166
quitar,2,0.005361930294906166
parto,2,0.005361930294906166
puerperio,2,0.005361930294906166
porno,2,0.005361930294906166
básico,1,0.002680965147453083
sexualidad,1,0.002680965147453083
terreno,1,0.002680965147453083
proceso,1,0.002680965147453083
método,1,0.002680965147453083
red,1,0.002680965147453083
intentar,1,0.002680965147453083
problema,1,0.002680965147453083
específico,1,0.002680965147453083
diverso,1,0.002680965147453083
humano,1,0.002680965147453083
reto,1,0.002680965147453083
encontrar,1,0.002680965147453083
acercar,1,0.002680965147453083
permitir,1,0.002680965147453083
deber,1,0.002680965147453083
población,1,0.002680965147453083
existir,1,0.002680965147453083
principalmente,1,0.002680965147453083
educación,1,0.002680965147453083
impartir,1,0.002680965147453083
factor,1,0.002680965147453083
salud,1,0.002680965147453083
relacionar,1,0.002680965147453083
investigación,1,0.002680965147453083
grupo,1,0.002680965147453083
2004,1,0.002680965147453083
amplio,1,0.002680965147453083
momento,1,0.002680965147453083
2,1,0.002680965147453083
público,1,0.002680965147453083
importante,1,0.002680965147453083
presente,1,0.002680965147453083
lugar,1,0.002680965147453083
destinar,1,0.002680965147453083
tipo,1,0.002680965147453083
niño,1,0.002680965147453083
joven,1,0.002680965147453083
adulto,1,0.002680965147453083
negociar,1,0.002680965147453083
casa,1,0.002680965147453083
camino,1,0.002680965147453083
género,1,0.002680965147453083
nombre,1,0.002680965147453083
fácil,1,0.002680965147453083
4,1,0.002680965147453083
separar,1,0.002680965147453083
construir,1,0.002680965147453083
utilizar,1,0.002680965147453083
complicar,1,0.002680965147453083
realidad,1,0.002680965147453083
completo,1,0.002680965147453083
contenido,1,0.002680965147453083
cincar,1,0.002680965147453083
influir,1,0.002680965147453083
institución,1,0.002680965147453083
representar,1,0.002680965147453083
cuerpo,1,0.002680965147453083
objeto,1,0.002680965147453083
relación_sexual,1,0.002680965147453083
enfermedad,1,0.002680965147453083
transmisión,1,0.002680965147453083
profundo,1,0.002680965147453083
mecanismo,1,0.002680965147453083
pareja,1,0.002680965147453083
fidelidad,1,0.002680965147453083
escuela,1,0.002680965147453083
edad,1,0.002680965147453083
interesar,1,0.002680965147453083
libro,1,0.002680965147453083
privar,1,0.002680965147453083
hoja,1,0.002680965147453083
asignar,1,0.002680965147453083
fenómeno,1,0.002680965147453083
marcar,1,0.002680965147453083
identificar,1,0.002680965147453083
ejemplo,1,0.002680965147453083
dejar,1,0.002680965147453083
significar,1,0.002680965147453083
cercano,1,0.002680965147453083
valor,1,0.002680965147453083
analizar,1,0.002680965147453083
asimismo,1,0.002680965147453083
