Respuesta,Frecuencia,Asociación
mujer,12,0.008174386920980926
deber,8,0.005449591280653951
persona,8,0.005449591280653951
salud,7,0.004768392370572207
derecho,6,0.004087193460490463
encontrar,5,0.0034059945504087193
sexual,5,0.0034059945504087193
grupo,5,0.0034059945504087193
etapa,5,0.0034059945504087193
1,5,0.0034059945504087193
edad,5,0.0034059945504087193
religioso,5,0.0034059945504087193
cambio,5,0.0034059945504087193
deseo,5,0.0034059945504087193
familiar,5,0.0034059945504087193
sexualidad,4,0.0027247956403269754
corpus,4,0.0027247956403269754
humano,4,0.0027247956403269754
social,4,0.0027247956403269754
general,4,0.0027247956403269754
año,4,0.0027247956403269754
voluntario,4,0.0027247956403269754
conducta,4,0.0027247956403269754
joven,4,0.0027247956403269754
actitud,4,0.0027247956403269754
mostrar,4,0.0027247956403269754
pareja,4,0.0027247956403269754
hombre,4,0.0027247956403269754
divino,4,0.0027247956403269754
ángel,4,0.0027247956403269754
hogar,4,0.0027247956403269754
mantener,4,0.0027247956403269754
femenino,4,0.0027247956403269754
fenómeno,4,0.0027247956403269754
pensar,4,0.0027247956403269754
ano,4,0.0027247956403269754
básico,3,0.0020435967302452314
trabajo,3,0.0020435967302452314
específico,3,0.0020435967302452314
conocimiento,3,0.0020435967302452314
acercar,3,0.0020435967302452314
recurso,3,0.0020435967302452314
común,3,0.0020435967302452314
necesidad,3,0.0020435967302452314
estudio,3,0.0020435967302452314
importante,3,0.0020435967302452314
3,3,0.0020435967302452314
completo,3,0.0020435967302452314
18,3,0.0020435967302452314
embarazo,3,0.0020435967302452314
relación,3,0.0020435967302452314
caso,3,0.0020435967302452314
actualidad,3,0.0020435967302452314
número,3,0.0020435967302452314
influencia,3,0.0020435967302452314
elevar,3,0.0020435967302452314
declarar,3,0.0020435967302452314
experiencia,3,0.0020435967302452314
situación,3,0.0020435967302452314
ciento,3,0.0020435967302452314
atención,3,0.0020435967302452314
maternidad,3,0.0020435967302452314
masculino,3,0.0020435967302452314
duda,3,0.0020435967302452314
denominar,3,0.0020435967302452314
llamar,3,0.0020435967302452314
educador,3,0.0020435967302452314
demanda,3,0.0020435967302452314
ascender,3,0.0020435967302452314
planificación,3,0.0020435967302452314
identidad,3,0.0020435967302452314
adolescente,3,0.0020435967302452314
elegir,3,0.0020435967302452314
incorrecto,3,0.0020435967302452314
término,2,0.0013623978201634877
texto,2,0.0013623978201634877
proceso,2,0.0013623978201634877
etcétera,2,0.0013623978201634877
país,2,0.0013623978201634877
comunicación,2,0.0013623978201634877
población,2,0.0013623978201634877
responder,2,0.0013623978201634877
conjunto,2,0.0013623978201634877
particular,2,0.0013623978201634877
programa,2,0.0013623978201634877
educación,2,0.0013623978201634877
educación_sexual,2,0.0013623978201634877
enseñanza,2,0.0013623978201634877
forma,2,0.0013623978201634877
factor,2,0.0013623978201634877
mundial,2,0.0013623978201634877
salud_sexual,2,0.0013623978201634877
caber,2,0.0013623978201634877
presentar,2,0.0013623978201634877
proporcionar,2,0.0013623978201634877
cualquiera,2,0.0013623978201634877
ayuda,2,0.0013623978201634877
2,2,0.0013623978201634877
presente,2,0.0013623978201634877
foro,2,0.0013623978201634877
nivel,2,0.0013623978201634877
reconocer,2,0.0013623978201634877
porcentaje,2,0.0013623978201634877
frecuente,2,0.0013623978201634877
ayudar,2,0.0013623978201634877
indicar,2,0.0013623978201634877
peso,2,0.0013623978201634877
chico,2,0.0013623978201634877
dato,2,0.0013623978201634877
2007,2,0.0013623978201634877
exclusivamente,2,0.0013623978201634877
real,2,0.0013623978201634877
hallazgo,2,0.0013623978201634877
20,2,0.0013623978201634877
obligatorio,2,0.0013623978201634877
formación,2,0.0013623978201634877
ocupacional,2,0.0013623978201634877
género,2,0.0013623978201634877
distribuir,2,0.0013623978201634877
similar,2,0.0013623978201634877
ligeramente,2,0.0013623978201634877
inferior,2,0.0013623978201634877
491,2,0.0013623978201634877
acoger,2,0.0013623978201634877
chicosas,2,0.0013623978201634877
numeroso,2,0.0013623978201634877
sujeto,2,0.0013623978201634877
determinar,2,0.0013623978201634877
creencia,2,0.0013623978201634877
afinidad,2,0.0013623978201634877
creyente,2,0.0013623978201634877
practicante,2,0.0013623978201634877
594,2,0.0013623978201634877
políticamente,2,0.0013623978201634877
definir,2,0.0013623978201634877
573,2,0.0013623978201634877
independiente,2,0.0013623978201634877
incluir,2,0.0013623978201634877
primario,2,0.0013623978201634877
valor,2,0.0013623978201634877
periodo,2,0.0013623978201634877
observar,2,0.0013623978201634877
40,2,0.0013623978201634877
estadio,2,0.0013623978201634877
muerte,2,0.0013623978201634877
querer,2,0.0013623978201634877
biológico,2,0.0013623978201634877
función,2,0.0013623978201634877
hormonal,2,0.0013623978201634877
reportar,2,0.0013623978201634877
desear,2,0.0013623978201634877
sentir,2,0.0013623978201634877
correcto,2,0.0013623978201634877
satisfacción,2,0.0013623978201634877
falta,2,0.0013623978201634877
amor,2,0.0013623978201634877
económico,2,0.0013623978201634877
moral,2,0.0013623978201634877
actividad,2,0.0013623978201634877
anticonceptivo,2,0.0013623978201634877
limitar,2,0.0013623978201634877
do,2,0.0013623978201634877
contacto,2,0.0013623978201634877
categoría,2,0.0013623978201634877
debate,2,0.0013623978201634877
estatus,2,0.0013623978201634877
único,2,0.0013623978201634877
postura,2,0.0013623978201634877
ético,2,0.0013623978201634877
ley,2,0.0013623978201634877
inmutable,2,0.0013623978201634877
vital,2,0.0013623978201634877
misión,2,0.0013623978201634877
desarrollar,2,0.0013623978201634877
paraíso,2,0.0013623978201634877
inocencia,2,0.0013623978201634877
maestro,2,0.0013623978201634877
descifrar,2,0.0013623978201634877
figura,2,0.0013623978201634877
cultura,2,0.0013623978201634877
cristiano,2,0.0013623978201634877
occidental,2,0.0013623978201634877
ministro,2,0.0013623978201634877
dios,2,0.0013623978201634877
ente,2,0.0013623978201634877
satisfacer,2,0.0013623978201634877
equivalente,2,0.0013623978201634877
nacimiento,2,0.0013623978201634877
proporción,2,0.0013623978201634877
menor,2,0.0013623978201634877
padre,2,0.0013623978201634877
hijo,2,0.0013623978201634877
referir,2,0.0013623978201634877
ejemplo,2,0.0013623978201634877
religión,2,0.0013623978201634877
obtener,2,0.0013623978201634877
continuación,2,0.0013623978201634877
respuesta,2,0.0013623978201634877
ítem,2,0.0013623978201634877
fantasía,2,0.0013623978201634877
estructura,2,0.0013623978201634877
adolescencia,2,0.0013623978201634877
dirección,2,0.0013623978201634877
honestidad,2,0.0013623978201634877
elección,2,0.0013623978201634877
frecuencia,2,0.0013623978201634877
comportar,2,0.0013623978201634877
cuestionario,2,0.0013623978201634877
permisividad,2,0.0013623978201634877
utilizar,2,0.0013623978201634877
indicación,2,0.0013623978201634877
opinión,2,0.0013623978201634877
pedir,2,0.0013623978201634877
opción,2,0.0013623978201634877
recordar,2,0.0013623978201634877
anónimo,2,0.0013623978201634877
confidencial,2,0.0013623978201634877
instrumento,2,0.0013623978201634877
promover,2,0.0013623978201634877
médico,2,0.0013623978201634877
interior,2,0.0013623978201634877
escuela,2,0.0013623978201634877
servicio,2,0.0013623978201634877
asociación,2,0.0013623978201634877
matrimonio,2,0.0013623978201634877
extraordinario,2,0.0013623978201634877
capaz,2,0.0013623978201634877
implicar,2,0.0013623978201634877
corte,2,0.0013623978201634877
poseer,2,0.0013623978201634877
especial,2,0.0013623978201634877
familia,2,0.0013623978201634877
disponer,2,0.0013623978201634877
erotismo,2,0.0013623978201634877
especie,2,0.0013623978201634877
continuo,2,0.0013623978201634877
reactivo,2,0.0013623978201634877
violencia,2,0.0013623978201634877
punto,2,0.0013623978201634877
ocupar,2,0.0013623978201634877
espacio,2,0.0013623978201634877
doméstico,2,0.0013623978201634877
juan,2,0.0013623978201634877
ama,2,0.0013623978201634877
casa,2,0.0013623978201634877
millón,2,0.0013623978201634877
quehacer,2,0.0013623978201634877
incompleto,2,0.0013623978201634877
violación,2,0.0013623978201634877
pedofilia,2,0.0013623978201634877
setenta,2,0.0013623978201634877
ochenta,2,0.0013623978201634877
noventa,2,0.0013623978201634877
fecha,2,0.0013623978201634877
web,1,0.0006811989100817438
artículo,1,0.0006811989100817438
proponer,1,0.0006811989100817438
extracción,1,0.0006811989100817438
área,1,0.0006811989100817438
estudiar,1,0.0006811989100817438
tecnología,1,0.0006811989100817438
méxico,1,0.0006811989100817438
extraer,1,0.0006811989100817438
seguir,1,0.0006811989100817438
material,1,0.0006811989100817438
conceptual,1,0.0006811989100817438
tratar,1,0.0006811989100817438
basar,1,0.0006811989100817438
problema,1,0.0006811989100817438
definición,1,0.0006811989100817438
palabra,1,0.0006811989100817438
diverso,1,0.0006811989100817438
tema,1,0.0006811989100817438
principio,1,0.0006811989100817438
cantidad,1,0.0006811989100817438
elemento,1,0.0006811989100817438
cultural,1,0.0006811989100817438
construcción,1,0.0006811989100817438
contar,1,0.0006811989100817438
integración,1,0.0006811989100817438
claridad,1,0.0006811989100817438
concepto,1,0.0006811989100817438
necesario,1,0.0006811989100817438
existir,1,0.0006811989100817438
criterio,1,0.0006811989100817438
información,1,0.0006811989100817438
actual,1,0.0006811989100817438
suponer,1,0.0006811989100817438
principalmente,1,0.0006811989100817438
atender,1,0.0006811989100817438
informar,1,0.0006811989100817438
riesgo,1,0.0006811989100817438
totalidad,1,0.0006811989100817438
constituir,1,0.0006811989100817438
terminológico,1,0.0006811989100817438
