Respuesta,Frecuencia,Asociación
unión,3,0.02631578947368421
proceso,2,0.017543859649122806
femenino,2,0.017543859649122806
amoroso,2,0.017543859649122806
iniciativa,2,0.017543859649122806
autonomía,2,0.017543859649122806
permisividad,2,0.017543859649122806
grado,2,0.017543859649122806
penetración,2,0.017543859649122806
1978,2,0.017543859649122806
1967,2,0.017543859649122806
aceptación,2,0.017543859649122806
1982,2,0.017543859649122806
participación,2,0.017543859649122806
afecto,2,0.017543859649122806
juego_sexual,2,0.017543859649122806
reiss,2,0.017543859649122806
herold,2,0.017543859649122806
goodwin,2,0.017543859649122806
labeff,2,0.017543859649122806
dooder,2,0.017543859649122806
trabajo,1,0.008771929824561403
social,1,0.008771929824561403
sexual,1,0.008771929824561403
relacionar,1,0.008771929824561403
amplio,1,0.008771929824561403
lugar,1,0.008771929824561403
acceso,1,0.008771929824561403
juego,1,0.008771929824561403
1,1,0.008771929824561403
par,1,0.008771929824561403
rasgo,1,0.008771929824561403
número,1,0.008771929824561403
ligar,1,0.008771929824561403
origen,1,0.008771929824561403
procurar,1,0.008771929824561403
comprender,1,0.008771929824561403
control,1,0.008771929824561403
sujeto,1,0.008771929824561403
relación,1,0.008771929824561403
pareja,1,0.008771929824561403
cultura,1,0.008771929824561403
familia,1,0.008771929824561403
tiempo,1,0.008771929824561403
interesar,1,0.008771929824561403
peso,1,0.008771929824561403
embarazo,1,0.008771929824561403
conducta,1,0.008771929824561403
comunitario,1,0.008771929824561403
asociar,1,0.008771929824561403
iniciar,1,0.008771929824561403
regular,1,0.008771929824561403
mujer,1,0.008771929824561403
vida,1,0.008771929824561403
tradicional,1,0.008771929824561403
hijo,1,0.008771929824561403
expectativa,1,0.008771929824561403
mantener,1,0.008771929824561403
cambiar,1,0.008771929824561403
permanecer,1,0.008771929824561403
familiar,1,0.008771929824561403
cotidiano,1,0.008771929824561403
varón,1,0.008771929824561403
trasladar,1,0.008771929824561403
acompañar,1,0.008771929824561403
ritual,1,0.008771929824561403
noticia,1,0.008771929824561403
responsabilidad,1,0.008771929824561403
decisión,1,0.008771929824561403
continuar,1,0.008771929824561403
constitución,1,0.008771929824561403
muchacho,1,0.008771929824561403
circunstancia,1,0.008771929824561403
directo,1,0.008771929824561403
fecundidad,1,0.008771929824561403
ideal,1,0.008771929824561403
determinante,1,0.008771929824561403
procreación,1,0.008771929824561403
culpa,1,0.008771929824561403
toma,1,0.008771929824561403
indirectamente,1,0.008771929824561403
integral,1,0.008771929824561403
evento,1,0.008771929824561403
ajuste,1,0.008771929824561403
planeación,1,0.008771929824561403
confrontar,1,0.008771929824561403
conversar,1,0.008771929824561403
interrelacionar,1,0.008771929824561403
espaciamiento,1,0.008771929824561403
asalariar,1,0.008771929824561403
apareamiento,1,0.008771929824561403
reacomodo,1,0.008771929824561403
