Respuesta,Frecuencia,Asociación
sexo,4,0.03076923076923077
general,2,0.015384615384615385
producir,2,0.015384615384615385
aborto,2,0.015384615384615385
hijo,2,0.015384615384615385
transexualismo,2,0.015384615384615385
problema,1,0.007692307692307693
social,1,0.007692307692307693
deber,1,0.007692307692307693
existir,1,0.007692307692307693
mayoría,1,0.007692307692307693
sexual,1,0.007692307692307693
colegio,1,0.007692307692307693
voluntario,1,0.007692307692307693
estudio,1,0.007692307692307693
carácter,1,0.007692307692307693
niño,1,0.007692307692307693
querer,1,0.007692307692307693
masculino,1,0.007692307692307693
femenino,1,0.007692307692307693
diferencia,1,0.007692307692307693
familia,1,0.007692307692307693
sociedad,1,0.007692307692307693
privar,1,0.007692307692307693
cuidar,1,0.007692307692307693
venir,1,0.007692307692307693
volver,1,0.007692307692307693
significar,1,0.007692307692307693
1999,1,0.007692307692307693
discriminación,1,0.007692307692307693
costo,1,0.007692307692307693
vivir,1,0.007692307692307693
embarazo,1,0.007692307692307693
interrupción,1,0.007692307692307693
actitud,1,0.007692307692307693
convertir,1,0.007692307692307693
enfrentar,1,0.007692307692307693
chico,1,0.007692307692307693
normal,1,0.007692307692307693
rechazar,1,0.007692307692307693
mujer,1,0.007692307692307693
sufrir,1,0.007692307692307693
nacer,1,0.007692307692307693
oponer,1,0.007692307692307693
concretamente,1,0.007692307692307693
fundamentalmente,1,0.007692307692307693
padre,1,0.007692307692307693
prohibición,1,0.007692307692307693
obligación,1,0.007692307692307693
casar,1,0.007692307692307693
inseguridad,1,0.007692307692307693
hombre,1,0.007692307692307693
actuar,1,0.007692307692307693
parecer,1,0.007692307692307693
aceptar,1,0.007692307692307693
característico,1,0.007692307692307693
progenitor,1,0.007692307692307693
sentimiento,1,0.007692307692307693
carecer,1,0.007692307692307693
probablemente,1,0.007692307692307693
obligar,1,0.007692307692307693
madre,1,0.007692307692307693
decisión,1,0.007692307692307693
recientemente,1,0.007692307692307693
asumir,1,0.007692307692307693
mandar,1,0.007692307692307693
económico,1,0.007692307692307693
educar,1,0.007692307692307693
sostener,1,0.007692307692307693
abandonar,1,0.007692307692307693
consideración,1,0.007692307692307693
interés,1,0.007692307692307693
liberalización,1,0.007692307692307693
legislación,1,0.007692307692307693
equivaler,1,0.007692307692307693
soportar,1,0.007692307692307693
parir,1,0.007692307692307693
85,1,0.007692307692307693
subsanar,1,0.007692307692307693
destacar,1,0.007692307692307693
instru,1,0.007692307692307693
incesto,1,0.007692307692307693
aversión,1,0.007692307692307693
convivencia,1,0.007692307692307693
remontar,1,0.007692307692307693
westermark,1,0.007692307692307693
1922,1,0.007692307692307693
1889,1,0.007692307692307693
kibbutz,1,0.007692307692307693
shepher,1,0.007692307692307693
1971,1,0.007692307692307693
indicador,1,0.007692307692307693
innato,1,0.007692307692307693
rechazo,1,0.007692307692307693
tejer,1,0.007692307692307693
silenciosamente,1,0.007692307692307693
abuelo,1,0.007692307692307693
pariente,1,0.007692307692307693
padreabuelo,1,0.007692307692307693
preñar,1,0.007692307692307693
viajante,1,0.007692307692307693
alcohólico,1,0.007692307692307693
ciudad,1,0.007692307692307693
honestidad,1,0.007692307692307693
paradigma,1,0.007692307692307693
mesada,1,0.007692307692307693
mensualmente,1,0.007692307692307693
genitales,1,0.007692307692307693
claramente,1,0.007692307692307693
identidad_de_género,1,0.007692307692307693
definitivamente,1,0.007692307692307693
genético,1,0.007692307692307693
trastorno,1,0.007692307692307693
agresividad,1,0.007692307692307693
poseer,1,0.007692307692307693
incapacidad,1,0.007692307692307693
inmaduro,1,0.007692307692307693
puritano,1,0.007692307692307693
regla,1,0.007692307692307693
rígido,1,0.007692307692307693
poderoso,1,0.007692307692307693
absorbente,1,0.007692307692307693
