Respuesta,Frecuencia,Asociación
útero,3,0.022058823529411766
representar,2,0.014705882352941176
resistencia,2,0.014705882352941176
secreción_vaginal,2,0.014705882352941176
méxico,1,0.007352941176470588
seguir,1,0.007352941176470588
material,1,0.007352941176470588
etcétera,1,0.007352941176470588
problema,1,0.007352941176470588
reto,1,0.007352941176470588
existir,1,0.007352941176470588
forma,1,0.007352941176470588
informar,1,0.007352941176470588
salud,1,0.007352941176470588
disponible,1,0.007352941176470588
presentar,1,0.007352941176470588
año,1,0.007352941176470588
análisis,1,0.007352941176470588
momento,1,0.007352941176470588
principal,1,0.007352941176470588
solución,1,0.007352941176470588
énfasis,1,0.007352941176470588
juego,1,0.007352941176470588
mejorar,1,0.007352941176470588
tamaño,1,0.007352941176470588
posterior,1,0.007352941176470588
nivel,1,0.007352941176470588
medicina,1,0.007352941176470588
incluir,1,0.007352941176470588
orgasmo,1,0.007352941176470588
disminución,1,0.007352941176470588
placer,1,0.007352941176470588
femenino,1,0.007352941176470588
identificación,1,0.007352941176470588
atracción,1,0.007352941176470588
pareja,1,0.007352941176470588
ampliamente,1,0.007352941176470588
medida,1,0.007352941176470588
persona,1,0.007352941176470588
mezclar,1,0.007352941176470588
sistema,1,0.007352941176470588
aumentar,1,0.007352941176470588
práctica,1,0.007352941176470588
considerar,1,0.007352941176470588
normal,1,0.007352941176470588
mujer,1,0.007352941176470588
fuerte,1,0.007352941176470588
aspecto,1,0.007352941176470588
causa,1,0.007352941176470588
violación,1,0.007352941176470588
vagina,1,0.007352941176470588
ropa,1,0.007352941176470588
potencia,1,0.007352941176470588
amor,1,0.007352941176470588
diagnóstico,1,0.007352941176470588
resto,1,0.007352941176470588
pene,1,0.007352941176470588
botella,1,0.007352941176470588
intervenir,1,0.007352941176470588
legal,1,0.007352941176470588
oficial,1,0.007352941176470588
consentimiento,1,0.007352941176470588
sumar,1,0.007352941176470588
detección,1,0.007352941176470588
cerrar,1,0.007352941176470588
uterino,1,0.007352941176470588
difundir,1,0.007352941176470588
directo,1,0.007352941176470588
vaginal,1,0.007352941176470588
cáncer,1,0.007352941176470588
abdominal,1,0.007352941176470588
externo,1,0.007352941176470588
genitales,1,0.007352941176470588
disuria,1,0.007352941176470588
paciente,1,0.007352941176470588
reporte,1,0.007352941176470588
poseer,1,0.007352941176470588
vencer,1,0.007352941176470588
temporal,1,0.007352941176470588
lesión,1,0.007352941176470588
dispareunia,1,0.007352941176470588
configuración,1,0.007352941176470588
delito,1,0.007352941176470588
cerebro,1,0.007352941176470588
observación,1,0.007352941176470588
nudo,1,0.007352941176470588
tacto,1,0.007352941176470588
típico,1,0.007352941176470588
grueso,1,0.007352941176470588
consistencia,1,0.007352941176470588
falda,1,0.007352941176470588
autoaplicación,1,0.007352941176470588
ops,1,0.007352941176470588
aporte,1,0.007352941176470588
pan,1,0.007352941176470588
prurito,1,0.007352941176470588
dedo,1,0.007352941176470588
himen,1,0.007352941176470588
parcialmente,1,0.007352941176470588
eritema,1,0.007352941176470588
pelo,1,0.007352941176470588
consejería,1,0.007352941176470588
oxígeno,1,0.007352941176470588
incontinencia,1,0.007352941176470588
lésbico,1,0.007352941176470588
estupro,1,0.007352941176470588
desvirgar,1,0.007352941176470588
verificación,1,0.007352941176470588
tapón,1,0.007352941176470588
abertura,1,0.007352941176470588
cicatriz,1,0.007352941176470588
carúncula,1,0.007352941176470588
ln_cm90,1,0.007352941176470588
normotónicanormotérmica,1,0.007352941176470588
retroversoflexión,1,0.007352941176470588
intrapélvico,1,0.007352941176470588
sínfisis,1,0.007352941176470588
hemorrágico,1,0.007352941176470588
puntiforme,1,0.007352941176470588
frambuesa,1,0.007352941176470588
microscópico,1,0.007352941176470588
asfixiofilia,1,0.007352941176470588
asfixiar,1,0.007352941176470588
estrangular,1,0.007352941176470588
corredizo,1,0.007352941176470588
intensificador,1,0.007352941176470588
confeccionar,1,0.007352941176470588
toalla,1,0.007352941176470588
delantal,1,0.007352941176470588
pasatiempo,1,0.007352941176470588
ninas,1,0.007352941176470588
