Respuesta,Frecuencia,Asociación
sexual,1,0.02564102564102564
presente,1,0.02564102564102564
utilizar,1,0.02564102564102564
exponer,1,0.02564102564102564
biológico,1,0.02564102564102564
objeto,1,0.02564102564102564
expresión,1,0.02564102564102564
razón,1,0.02564102564102564
anal,1,0.02564102564102564
ejemplo,1,0.02564102564102564
sexo,1,0.02564102564102564
heterosexual,1,0.02564102564102564
observar,1,0.02564102564102564
matrimonio,1,0.02564102564102564
vagina,1,0.02564102564102564
frente,1,0.02564102564102564
pene,1,0.02564102564102564
presencia,1,0.02564102564102564
evidencia,1,0.02564102564102564
reproducción,1,0.02564102564102564
marco,1,0.02564102564102564
efectuar,1,0.02564102564102564
suavemente,1,0.02564102564102564
tocar,1,0.02564102564102564
nino,1,0.02564102564102564
no_heterosexual,1,0.02564102564102564
boca,1,0.02564102564102564
acariciar,1,0.02564102564102564
masturbar,1,0.02564102564102564
penetrar,1,0.02564102564102564
dedo,1,0.02564102564102564
reproductor,1,0.02564102564102564
cerámica,1,0.02564102564102564
arqueológico,1,0.02564102564102564
felación,1,0.02564102564102564
mochar,1,0.02564102564102564
chimú,1,0.02564102564102564
ano,1,0.02564102564102564
extranos,1,0.02564102564102564
