Respuesta,Frecuencia,Asociación
mujer,2,0.037037037037037035
vagina,2,0.037037037037037035
ocasión,2,0.037037037037037035
lesión,2,0.037037037037037035
periné,2,0.037037037037037035
presentar,1,0.018518518518518517
establecer,1,0.018518518518518517
anal,1,0.018518518518518517
identificar,1,0.018518518518518517
llamar,1,0.018518518518518517
cambio,1,0.018518518518518517
menor,1,0.018518518518518517
clínico,1,0.018518518518518517
formar,1,0.018518518518518517
ropa,1,0.018518518518518517
diagnóstico,1,0.018518518518518517
situar,1,0.018518518518518517
pequeño,1,0.018518518518518517
acompañar,1,0.018518518518518517
evidente,1,0.018518518518518517
atención,1,0.018518518518518517
presencia,1,0.018518518518518517
formación,1,0.018518518518518517
discreto,1,0.018518518518518517
interno,1,0.018518518518518517
zona,1,0.018518518518518517
margen,1,0.018518518518518517
labio,1,0.018518518518518517
sangrado,1,0.018518518518518517
frecuencia,1,0.018518518518518517
interior,1,0.018518518518518517
asintomático,1,0.018518518518518517
manchar,1,0.018518518518518517
papanicolaou,1,0.018518518518518517
recto,1,0.018518518518518517
introito,1,0.018518518518518517
labio_mayor,1,0.018518518518518517
tinción,1,0.018518518518518517
ulcerar,1,0.018518518518518517
citología,1,0.018518518518518517
placa,1,0.018518518518518517
leucorrea,1,0.018518518518518517
balanoprepucial,1,0.018518518518518517
signología,1,0.018518518518518517
queratósicas,1,0.018518518518518517
exofíticas,1,0.018518518518518517
sangrar,1,0.018518518518518517
fácilmente29,1,0.018518518518518517
coilocitóticas,1,0.018518518518518517
