Respuesta,Frecuencia,Asociación
hijo,13,0.03002309468822171
derecho,7,0.016166281755196306
caso,6,0.013856812933025405
alimento,6,0.013856812933025405
culpable,6,0.013856812933025405
deber,5,0.011547344110854504
divorcio,5,0.011547344110854504
conservar,5,0.011547344110854504
método,4,0.009237875288683603
otorgar,4,0.009237875288683603
ley,4,0.009237875288683603
reclamar,4,0.009237875288683603
relación,3,0.006928406466512702
padre,3,0.006928406466512702
obligar,3,0.006928406466512702
sentencia,3,0.006928406466512702
separación,3,0.006928406466512702
declarar,3,0.006928406466512702
constante,3,0.006928406466512702
violencia,3,0.006928406466512702
perder,3,0.006928406466512702
trato,3,0.006928406466512702
amar,3,0.006928406466512702
cruel,3,0.006928406466512702
delito,3,0.006928406466512702
incumplimiento,3,0.006928406466512702
provecho,3,0.006928406466512702
embriaguez,3,0.006928406466512702
pactar,3,0.006928406466512702
común,2,0.004618937644341801
existir,2,0.004618937644341801
educación,2,0.004618937644341801
decidir,2,0.004618937644341801
realidad,2,0.004618937644341801
trabajar,2,0.004618937644341801
cumplir,2,0.004618937644341801
cuerpo,2,0.004618937644341801
desarrollar,2,0.004618937644341801
edad,2,0.004618937644341801
medida,2,0.004618937644341801
persona,2,0.004618937644341801
consecuencia,2,0.004618937644341801
vivir,2,0.004618937644341801
conducta,2,0.004618937644341801
plantear,2,0.004618937644341801
considerar,2,0.004618937644341801
deseo,2,0.004618937644341801
mujer,2,0.004618937644341801
especial,2,0.004618937644341801
concebir,2,0.004618937644341801
intervenir,2,0.004618937644341801
heredar,2,0.004618937644341801
madre,2,0.004618937644341801
legislación,2,0.004618937644341801
corte,2,0.004618937644341801
civil,2,0.004618937644341801
inocente,2,0.004618937644341801
sostenimiento,2,0.004618937644341801
prometer,2,0.004618937644341801
entrega,2,0.004618937644341801
droga,2,0.004618937644341801
anterioridad,2,0.004618937644341801
marido,2,0.004618937644341801
mutuo,2,0.004618937644341801
fertilidad,2,0.004618937644341801
hogar,2,0.004618937644341801
alimentación,2,0.004618937644341801
prostituir,2,0.004618937644341801
adulterio,2,0.004618937644341801
concubina,2,0.004618937644341801
sexualidad,1,0.0023094688221709007
méxico,1,0.0023094688221709007
proceso,1,0.0023094688221709007
humano,1,0.0023094688221709007
encontrar,1,0.0023094688221709007
social,1,0.0023094688221709007
permitir,1,0.0023094688221709007
comunicación,1,0.0023094688221709007
general,1,0.0023094688221709007
ejercicio,1,0.0023094688221709007
propuesta,1,0.0023094688221709007
conjunto,1,0.0023094688221709007
mexicano,1,0.0023094688221709007
factor,1,0.0023094688221709007
sexual,1,0.0023094688221709007
constituir,1,0.0023094688221709007
año,1,0.0023094688221709007
nacional,1,0.0023094688221709007
crear,1,0.0023094688221709007
estudio,1,0.0023094688221709007
análisis,1,0.0023094688221709007
2,1,0.0023094688221709007
principal,1,0.0023094688221709007
contribuir,1,0.0023094688221709007
importante,1,0.0023094688221709007
presente,1,0.0023094688221709007
corresponder,1,0.0023094688221709007
abrir,1,0.0023094688221709007
registrar,1,0.0023094688221709007
acceso,1,0.0023094688221709007
tipo,1,0.0023094688221709007
niño,1,0.0023094688221709007
obtener,1,0.0023094688221709007
asegurar,1,0.0023094688221709007
histórico,1,0.0023094688221709007
implicar,1,0.0023094688221709007
nombre,1,0.0023094688221709007
3,1,0.0023094688221709007
4,1,0.0023094688221709007
utilizar,1,0.0023094688221709007
hablar,1,0.0023094688221709007
número,1,0.0023094688221709007
opinión,1,0.0023094688221709007
registro,1,0.0023094688221709007
establecer,1,0.0023094688221709007
dividir,1,0.0023094688221709007
cincar,1,0.0023094688221709007
biológico,1,0.0023094688221709007
natalidad,1,0.0023094688221709007
incluir,1,0.0023094688221709007
aumento,1,0.0023094688221709007
relación_sexual,1,0.0023094688221709007
diferencia,1,0.0023094688221709007
pareja,1,0.0023094688221709007
familia,1,0.0023094688221709007
sociedad,1,0.0023094688221709007
posibilidad,1,0.0023094688221709007
página,1,0.0023094688221709007
servicio,1,0.0023094688221709007
centro,1,0.0023094688221709007
defecto,1,0.0023094688221709007
ejemplo,1,0.0023094688221709007
agregar,1,0.0023094688221709007
cualidad,1,0.0023094688221709007
determinar,1,0.0023094688221709007
apuntar,1,0.0023094688221709007
do,1,0.0023094688221709007
importancia,1,0.0023094688221709007
asimismo,1,0.0023094688221709007
capacidad,1,0.0023094688221709007
futuro,1,0.0023094688221709007
situación,1,0.0023094688221709007
manejo,1,0.0023094688221709007
aplicar,1,0.0023094688221709007
recibir,1,0.0023094688221709007
aprender,1,0.0023094688221709007
luz,1,0.0023094688221709007
menor,1,0.0023094688221709007
junio,1,0.0023094688221709007
18,1,0.0023094688221709007
comunidad,1,0.0023094688221709007
20,1,0.0023094688221709007
positivo,1,0.0023094688221709007
regular,1,0.0023094688221709007
negar,1,0.0023094688221709007
vida,1,0.0023094688221709007
período,1,0.0023094688221709007
regulación,1,0.0023094688221709007
1997,1,0.0023094688221709007
mitad,1,0.0023094688221709007
matrimonio,1,0.0023094688221709007
causa,1,0.0023094688221709007
violación,1,0.0023094688221709007
obligación,1,0.0023094688221709007
casar,1,0.0023094688221709007
expectativa,1,0.0023094688221709007
hombre,1,0.0023094688221709007
natural,1,0.0023094688221709007
historia,1,0.0023094688221709007
ratificar,1,0.0023094688221709007
disponer,1,0.0023094688221709007
durar,1,0.0023094688221709007
erótico,1,0.0023094688221709007
integrante,1,0.0023094688221709007
unir,1,0.0023094688221709007
familiar,1,0.0023094688221709007
materia,1,0.0023094688221709007
amor,1,0.0023094688221709007
felicidad,1,0.0023094688221709007
quedar,1,0.0023094688221709007
16,1,0.0023094688221709007
apreciar,1,0.0023094688221709007
proporción,1,0.0023094688221709007
varón,1,0.0023094688221709007
amigo,1,0.0023094688221709007
independientemente,1,0.0023094688221709007
compañero,1,0.0023094688221709007
surgir,1,0.0023094688221709007
favor,1,0.0023094688221709007
evidencia,1,0.0023094688221709007
1994,1,0.0023094688221709007
unión,1,0.0023094688221709007
cometer,1,0.0023094688221709007
cuidado,1,0.0023094688221709007
decisión,1,0.0023094688221709007
justicia,1,0.0023094688221709007
entregar,1,0.0023094688221709007
legalmente,1,0.0023094688221709007
causal,1,0.0023094688221709007
supremo,1,0.0023094688221709007
regla,1,0.0023094688221709007
consentimiento,1,0.0023094688221709007
respeto,1,0.0023094688221709007
ocurrir,1,0.0023094688221709007
ejercer,1,0.0023094688221709007
morir,1,0.0023094688221709007
circunstancia,1,0.0023094688221709007
marco,1,0.0023094688221709007
probar,1,0.0023094688221709007
convivencia,1,0.0023094688221709007
doméstico,1,0.0023094688221709007
régimen,1,0.0023094688221709007
grave,1,0.0023094688221709007
dinero,1,0.0023094688221709007
alimentario,1,0.0023094688221709007
traer,1,0.0023094688221709007
distrito,1,0.0023094688221709007
gasto,1,0.0023094688221709007
1995,1,0.0023094688221709007
administrar,1,0.0023094688221709007
federal,1,0.0023094688221709007
precaución,1,0.0023094688221709007
miembro,1,0.0023094688221709007
reportar,1,0.0023094688221709007
manifestación,1,0.0023094688221709007
igualmente,1,0.0023094688221709007
licenciatura,1,0.0023094688221709007
docente,1,0.0023094688221709007
específicamente,1,0.0023094688221709007
