Respuesta,Frecuencia,Asociación
seguir,1,0.02631578947368421
crear,1,0.02631578947368421
llegar,1,0.02631578947368421
desembocar,1,0.02631578947368421
cuerpo,1,0.02631578947368421
organizar,1,0.02631578947368421
hombre,1,0.02631578947368421
parecer,1,0.02631578947368421
sentimiento,1,0.02631578947368421
blanco,1,0.02631578947368421
absolutamente,1,0.02631578947368421
pueblo,1,0.02631578947368421
increíble,1,0.02631578947368421
25,1,0.02631578947368421
flor,1,0.02631578947368421
pierna,1,0.02631578947368421
admirar,1,0.02631578947368421
amar,1,0.02631578947368421
rápidamente,1,0.02631578947368421
aire,1,0.02631578947368421
fiesta,1,0.02631578947368421
virginidad,1,0.02631578947368421
sima,1,0.02631578947368421
acariciar,1,0.02631578947368421
orgía,1,0.02631578947368421
carcajada,1,0.02631578947368421
ebrio,1,0.02631578947368421
caída,1,0.02631578947368421
culo,1,0.02631578947368421
falda,1,0.02631578947368421
mojar,1,0.02631578947368421
semen,1,0.02631578947368421
1885,1,0.02631578947368421
bello,1,0.02631578947368421
sublime,1,0.02631578947368421
céfiro,1,0.02631578947368421
avieso,1,0.02631578947368421
felizmente,1,0.02631578947368421
