Respuesta,Frecuencia,Asociación
madre,2,0.03636363636363636
hijo,2,0.03636363636363636
sexualidad,1,0.01818181818181818
término,1,0.01818181818181818
basar,1,0.01818181818181818
específico,1,0.01818181818181818
deber,1,0.01818181818181818
población,1,0.01818181818181818
forma,1,0.01818181818181818
salud,1,0.01818181818181818
2000,1,0.01818181818181818
lugar,1,0.01818181818181818
establecer,1,0.01818181818181818
actualmente,1,0.01818181818181818
influir,1,0.01818181818181818
masturbación,1,0.01818181818181818
relación,1,0.01818181818181818
persona,1,0.01818181818181818
llamar,1,0.01818181818181818
do,1,0.01818181818181818
conducta,1,0.01818181818181818
torno,1,0.01818181818181818
entender,1,0.01818181818181818
aportación,1,0.01818181818181818
hábito,1,0.01818181818181818
real,1,0.01818181818181818
prematrimonial,1,0.01818181818181818
excepción,1,0.01818181818181818
patológico,1,0.01818181818181818
gente,1,0.01818181818181818
centerwall,1,0.01818181818181818
teórico,1,0.01818181818181818
ejercer,1,0.01818181818181818
condenar,1,0.01818181818181818
delito,1,0.01818181818181818
grave,1,0.01818181818181818
abandono,1,0.01818181818181818
mes,1,0.01818181818181818
constumbres,1,0.01818181818181818
padre,1,0.01818181818181818
malo,1,0.01818181818181818
trato,1,0.01818181818181818
comprometer,1,0.01818181818181818
seguridad,1,0.01818181818181818
moralidad,1,0.01818181818181818
atención,1,0.01818181818181818
costumbre,1,0.01818181818181818
sentencia,1,0.01818181818181818
condenatorio,1,0.01818181818181818
pérdida,1,0.01818181818181818
patria,1,0.01818181818181818
potestad,1,0.01818181818181818
concubinato,1,0.01818181818181818
